Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Collaboration,Students will enhance their ability to work in teams and collaborate on programming projects involving data structures.,Data Structures,3,,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Collaboration,Students will enhance their ability to work in teams and collaborate on programming projects involving data structures.,Data Structures,3,,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Communication,Students will improve their ability to communicate their ideas and solutions related to data structures effectively.,Data Structures,3,Communication,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Communication,Students will improve their ability to communicate their ideas and solutions related to data structures effectively.,Data Structures,3,Communication,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,Data Structures,3,Problem-solving,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,Data Structures,3,Problem-solving,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Programming,Students will enhance their programming abilities by implementing various data structures and algorithms in Java.,Data Structures,3,Programming,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Programming,Students will enhance their programming abilities by implementing various data structures and algorithms in Java.,Data Structures,3,Programming,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency of different data structure operations.,Data Structures,3,Cognitive Skills,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency of different data structure operations.,Data Structures,3,Cognitive Skills,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Communication,Students will enhance their ability to communicate their ideas and solutions related to data structures.,Data Structures,3,Communication,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Communication,Students will enhance their ability to communicate their ideas and solutions related to data structures.,Data Structures,3,Communication,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Collaboration,Students will develop the ability to work collaboratively in teams to solve complex problems involving data structures.,Data Structures,3,,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Collaboration,Students will develop the ability to work collaboratively in teams to solve complex problems involving data structures.,Data Structures,3,,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Problem-solving,Students will develop strong problem-solving skills through hands-on programming assignments and projects.,Advanced Programming,4,Problem-solving,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Problem-solving,Students will develop strong problem-solving skills through hands-on programming assignments and projects.,Advanced Programming,4,Problem-solving,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Collaboration,"Students will enhance their ability to work effectively in teams, as they will be required to collaborate on group projects and participate in code reviews.",Advanced Programming,4,Collaboration and Teamwork,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Collaboration,"Students will enhance their ability to work effectively in teams, as they will be required to collaborate on group projects and participate in code reviews.",Advanced Programming,4,Collaboration and Teamwork,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Critical thinking,Students will develop critical thinking skills by analyzing and evaluating different programming solutions and making informed decisions.,Advanced Programming,4,Cognitive Skills,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Critical thinking,Students will develop critical thinking skills by analyzing and evaluating different programming solutions and making informed decisions.,Advanced Programming,4,Cognitive Skills,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Code documentation,Students will learn how to write clear and concise code documentation to improve code readability and maintainability.,Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Code documentation,Students will learn how to write clear and concise code documentation to improve code readability and maintainability.,Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Software testing,"Students will gain the ability to design and implement effective software testing strategies, including unit testing, integration testing, and regression testing.",Advanced Programming,4,Software testing,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Software testing,"Students will gain the ability to design and implement effective software testing strategies, including unit testing, integration testing, and regression testing.",Advanced Programming,4,Software testing,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Problem-solving,"Students will develop strong problem-solving skills through hands-on programming assignments and projects, where they will encounter and overcome various challenges and obstacles.",Advanced Programming,4,Problem-solving,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Problem-solving,"Students will develop strong problem-solving skills through hands-on programming assignments and projects, where they will encounter and overcome various challenges and obstacles.",Advanced Programming,4,Problem-solving,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Collaboration,"Students will enhance their ability to work effectively in teams, collaborating with peers on group projects and utilizing version control systems like Git to manage collaborative coding efforts.",Advanced Programming,4,Collaboration and Teamwork,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Collaboration,"Students will enhance their ability to work effectively in teams, collaborating with peers on group projects and utilizing version control systems like Git to manage collaborative coding efforts.",Advanced Programming,4,Collaboration and Teamwork,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Critical thinking,"Students will develop critical thinking skills by analyzing and evaluating different programming solutions, identifying potential issues, and making informed decisions to optimize code efficiency and functionality.",Advanced Programming,4,Cognitive Skills,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Critical thinking,"Students will develop critical thinking skills by analyzing and evaluating different programming solutions, identifying potential issues, and making informed decisions to optimize code efficiency and functionality.",Advanced Programming,4,Cognitive Skills,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Code optimization,"Students will learn how to optimize their code for performance, efficiency, and readability, improving their ability to write clean, concise, and maintainable code.",Advanced Programming,4,Code optimization,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Code optimization,"Students will learn how to optimize their code for performance, efficiency, and readability, improving their ability to write clean, concise, and maintainable code.",Advanced Programming,4,Code optimization,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Documentation,"Students will enhance their ability to document their code effectively, including writing clear and concise comments, creating user manuals, and providing comprehensive documentation for future reference.",Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Documentation,"Students will enhance their ability to document their code effectively, including writing clear and concise comments, creating user manuals, and providing comprehensive documentation for future reference.",Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Problem-solving,Students will develop the ability to apply logical reasoning and mathematical techniques to solve complex problems in discrete mathematics and related areas.,Discrete Math,3,Problem-solving,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Problem-solving,Students will develop the ability to apply logical reasoning and mathematical techniques to solve complex problems in discrete mathematics and related areas.,Discrete Math,3,Problem-solving,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Analytical thinking,"Students will enhance their ability to analyze and break down complex problems into smaller, more manageable components, which is crucial in discrete mathematics and computer science.",Discrete Math,3,Cognitive Skills,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Analytical thinking,"Students will enhance their ability to analyze and break down complex problems into smaller, more manageable components, which is crucial in discrete mathematics and computer science.",Discrete Math,3,Cognitive Skills,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Abstract reasoning,"Students will improve their ability to think abstractly and conceptually, as discrete mathematics often deals with mathematical structures and concepts that are not directly observable in the physical world.",Discrete Math,3,,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Abstract reasoning,"Students will improve their ability to think abstractly and conceptually, as discrete mathematics often deals with mathematical structures and concepts that are not directly observable in the physical world.",Discrete Math,3,,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
