Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Java programming,Students will develop introductory Java programming skills through the course.,Intro to CS,3,Java programming,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Java programming,Students will develop introductory Java programming skills through the course.,Intro to CS,3,Java programming,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Algorithmic problem-solving,Students will learn and practice problem-solving techniques in the context of computer science.,Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Algorithmic problem-solving,Students will learn and practice problem-solving techniques in the context of computer science.,Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Database design,"Although not explicitly mentioned in the course description, the course covers fundamental concepts of computer science, which includes database design.",Intro to CS,3,Database design,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Database design,"Although not explicitly mentioned in the course description, the course covers fundamental concepts of computer science, which includes database design.",Intro to CS,3,Database design,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
XML,Students will learn about XML (eXtensible Markup Language) and its use in databases.,Intro to CS,3,XML,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
XML,Students will learn about XML (eXtensible Markup Language) and its use in databases.,Intro to CS,3,XML,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases.",Intro to CS,3,SQL,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases.",Intro to CS,3,SQL,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3,Java programming,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3,Java programming,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3,Sorting and searching,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3,Sorting and searching,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3,Hashing,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3,Hashing,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3,Garbage collection,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3,Garbage collection,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3,Analysis of algorithms,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3,Analysis of algorithms,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3,Java programming,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3,Java programming,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3,Sorting and searching,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3,Sorting and searching,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3,Hashing,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3,Hashing,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3,Garbage collection,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3,Garbage collection,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3,Analysis of algorithms,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3,Analysis of algorithms,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4,C programming,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4,C programming,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4,Unix systems programming,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4,Unix systems programming,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4,Git,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4,Git,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4,Make,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4,Make,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4,TCP/IP networking basics,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4,TCP/IP networking basics,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4,C programming,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4,C programming,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4,Unix systems programming,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4,Unix systems programming,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4,Git,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4,Git,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4,Make,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4,Make,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4,TCP/IP networking basics,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4,TCP/IP networking basics,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in mathematics and computer science.",Discrete Math,3,Logic and formal proofs,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in mathematics and computer science.",Discrete Math,3,Logic and formal proofs,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics and have applications in various areas of computer science.",Discrete Math,3,Sequences and summation,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics and have applications in various areas of computer science.",Discrete Math,3,Sequences and summation,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Mathematical induction,"Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects, which is a powerful technique in mathematics and computer science.",Discrete Math,3,Mathematical induction,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Mathematical induction,"Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects, which is a powerful technique in mathematics and computer science.",Discrete Math,3,Mathematical induction,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Recurrence relations,"Students will gain proficiency in solving recurrence relations, which are mathematical equations that describe the relationship between terms in a sequence, and are commonly used in analyzing the time complexity of algorithms.",Discrete Math,3,Recurrence relations,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
