Skill,Explanation,Related Course,Credits
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in computer programming and problem-solving.",Discrete Math,3
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics and computer science.",Discrete Math,3
Mathematical induction,"Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects, which is a key technique in algorithm design and analysis.",Discrete Math,3
Recurrence relations,"Students will gain proficiency in solving recurrence relations, which are used to describe the time complexity of recursive algorithms and the behavior of recursive data structures.",Discrete Math,3
Graph theory,"Students will learn about the basic concepts and techniques in graph theory, such as isomorphism, traversability, planarity, and colorings, which are widely applicable in various areas of computer science, including network analysis, optimization, and data visualization.",Discrete Math,3
Finite automata,"Students will learn how to handle and manipulate deterministic and non-deterministic finite automata, which are essential concepts in computer science theory.",CS Theory,3
Regular expressions,"Students will gain proficiency in using regular expressions, a powerful tool for pattern matching and text manipulation.",CS Theory,3
Context-free grammars,"Students will develop the skill of working with context-free grammars, which are used to describe the syntax of programming languages and other formal languages.",CS Theory,3
Turing machines,"Students will learn how to handle and manipulate Turing machines, a theoretical model of computation that forms the basis of modern computer science.",CS Theory,3
Complexity theory,"Students will acquire the skill of understanding and analyzing the complexity of algorithms and problems, which is crucial in designing efficient solutions.",CS Theory,3
Digital logic design,"Students will learn how to design and manipulate digital circuits using Boolean algebra, Karnaugh maps, and basic gates.",Fundamentals of Computer Systems,3
Assembly language programming,Students will gain proficiency in programming in assembly language and understanding instruction sets.,Fundamentals of Computer Systems,3
Processor design,"Students will learn about the design and implementation of processors, including single-cycle and multi-cycle designs.",Fundamentals of Computer Systems,3
Pipelining,Students will understand the concept of pipelined processors and their advantages.,Fundamentals of Computer Systems,3
Cache and virtual memory,Students will learn about the principles and implementation of cache memory and virtual memory systems.,Fundamentals of Computer Systems,3
Matrix operations,"Students will learn how to perform operations on matrices, such as addition, subtraction, multiplication, and inversion.",Linear Algebra,3
Probability calculations,"Students will develop the skill of calculating probabilities using linear algebra concepts, such as conditional probability and probability distributions.",Linear Algebra,3
Statistical analysis,Students will gain proficiency in conducting statistical analysis using various methods and techniques.,Introduction to Statistics,3
Data interpretation,Students will learn how to interpret and analyze data to draw meaningful conclusions.,Introduction to Statistics,3
Statistical software,Students will develop proficiency in using statistical software for data analysis and visualization.,Introduction to Statistics,3
Study design,Students will learn how to design studies and experiments to collect relevant data for statistical analysis.,Introduction to Statistics,3
Quantitative reasoning,Students will enhance their ability to think critically and make logical decisions based on quantitative data.,Introduction to Statistics,3
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases and querying data.",Introduction to Databases,3
XML,"Students will learn about XML (eXtensible Markup Language) and its use in databases, allowing them to work with XML data and integrate it into database systems.",Introduction to Databases,3
Computer vision,Students will learn how to analyze and interpret visual input as data.,"VISUAL INTERFACES TO COMP
",3
Algorithm design,Students will gain proficiency in designing algorithms for visual recognition and interpretation.,"VISUAL INTERFACES TO COMP
",3
Human-computer interaction,Students will learn how to design visual interfaces for computer systems.,"VISUAL INTERFACES TO COMP
",3
Data analysis,Students will develop skills in analyzing imagery such as fingerprint or iris patterns.,"VISUAL INTERFACES TO COMP
",3
Natural language processing,Students will learn how to generate natural language descriptions of medical or map imagery.,"VISUAL INTERFACES TO COMP
",3
MATLAB,Students will gain proficiency in using MATLAB for implementing machine learning algorithms.,Machine Learning,3
Machine learning algorithms,"Students will learn and understand various machine learning algorithms such as support vector machines, neural networks, and Bayesian networks.",Machine Learning,3
Data analysis,Students will develop skills in analyzing and interpreting data to make informed decisions in the context of machine learning.,Machine Learning,3
Programming,Students will enhance their programming skills through implementing machine learning algorithms in MATLAB.,Machine Learning,3
Statistical analysis,Students will learn how to apply statistical methods and techniques to analyze and interpret data in the field of machine learning.,Machine Learning,3
Ruby on Rails,"Students will gain proficiency in Ruby on Rails, a popular web application framework, through hands-on projects and exercises.",Engineering Software-as-a-Service,3
Agile Development,"Students will learn and apply Agile development methodologies, including iterative and incremental development, to effectively manage software projects.",Engineering Software-as-a-Service,3
Behavior-driven Development,"Students will learn and practice behavior-driven development (BDD) techniques, which involve collaboration between developers, testers, and business stakeholders to define and validate software requirements.",Engineering Software-as-a-Service,3
Dev/ops,"Students will acquire skills in Dev/ops, which involves the integration of development and operations teams to streamline software deployment and improve overall software quality.",Engineering Software-as-a-Service,3
Service-oriented Architecture,Students will understand the principles and practices of service-oriented architecture (SOA) and its role in building scalable and modular software systems.,Engineering Software-as-a-Service,3
Robotic programming languages,Students will learn how to design and use programming languages specifically for robotics. This skill is important as it allows students to effectively program and control robots.,Computation Aspects of Robotics,3
Sensor integration,Students will gain proficiency in integrating sensors into robotic systems. This skill is essential for robots to perceive and interact with their environment.,Computation Aspects of Robotics,3
Artificial intelligence for planning,Students will learn how to apply artificial intelligence techniques to plan and optimize robot movements and actions. This skill enables robots to make intelligent decisions and adapt to changing situations.,Computation Aspects of Robotics,3
Coordinate frames and kinematics,Students will develop a solid understanding of coordinate frames and kinematics in robotics. This skill is crucial for accurately controlling robot movements and positions.,Computation Aspects of Robotics,3
Computer architectures for robotics,Students will learn about the different computer architectures used in robotics systems. This skill is important for designing efficient and reliable robotic systems.,Computation Aspects of Robotics,3
Cryptographic protocol design,Students will learn how to design secure cryptographic protocols to protect sensitive information.,Security II,3
Security testing and fuzzing,Students will gain proficiency in testing and fuzzing techniques to identify vulnerabilities in security systems.,Security II,3
Blockchain,Students will learn about the fundamentals of blockchain technology and its applications in ensuring secure transactions.,Security II,3
Hardware and software security techniques,Students will acquire knowledge and practical skills in implementing security measures for both hardware and software systems.,Security II,3
"Centralized, distributed, and cloud system security","Students will develop the ability to secure different types of systems, including centralized, distributed, and cloud-based architectures.",Security II,3
Convolutional networks and back-propagation,"Students will gain proficiency in understanding and implementing convolutional networks and back-propagation algorithms, which are fundamental techniques in computer vision.",Computer Vision,3
Object and action recognition,Students will learn how to develop algorithms and models for recognizing and classifying objects and actions in images or videos.,Computer Vision,3
Image synthesis and generative models,Students will acquire the skills to generate realistic images and learn about generative models such as GANs (Generative Adversarial Networks).,Computer Vision,3
Object tracking,Students will learn techniques for tracking objects in videos and develop the ability to implement object tracking algorithms.,Computer Vision,3
Vision and language,"Students will develop skills in integrating computer vision with natural language processing, enabling them to understand and analyze visual content based on textual descriptions.",Computer Vision,3
Python programming,"Students will develop proficiency in Python programming, which is recommended prior knowledge for the course.",Natural Language Processing,3
Natural Language Processing (NLP),Students will gain practical skills in NLP techniques and algorithms used for processing and analyzing human language.,Natural Language Processing,3
Problem-solving,Students will enhance their problem-solving skills through the application of NLP techniques to real-world language processing tasks.,Natural Language Processing,3
Machine learning,"Students will learn and apply machine learning algorithms and models to NLP tasks, such as text classification and sentiment analysis.",Natural Language Processing,3
Data analysis,Students will acquire skills in analyzing and interpreting large amounts of textual data using NLP tools and techniques.,Natural Language Processing,3
