Skill,Explanation,Related Course,Credits
Church-Turing thesis,"Students will acquire knowledge about the Church-Turing thesis, which states the equivalence of different models of computation.",CS Theory,3
NP-Completeness,"Students will learn about the concept of NP-Completeness, a fundamental topic in computational complexity theory that deals with the difficulty of solving certain types of problems.",CS Theory,3
Computer organization,Students will acquire knowledge about the fundamental principles and components of computer systems.,Fundamentals of Computer Systems,3
Boolean algebra,"Students will learn the principles and techniques of Boolean algebra, which is essential for digital logic design.",Fundamentals of Computer Systems,3
Instruction sets,Students will gain knowledge about different instruction sets used in computer systems.,Fundamentals of Computer Systems,3
Combinational and sequential digital design,Students will learn the basics of designing combinational and sequential circuits.,Fundamentals of Computer Systems,3
Memory systems,Students will acquire knowledge about cache memory and virtual memory systems and their role in computer architecture.,Fundamentals of Computer Systems,3
Systems of linear equations,Students will gain knowledge of solving systems of linear equations using matrix methods.,Linear Algebra,3
Eigenvalues and eigenvectors,Students will learn about eigenvalues and eigenvectors and their applications in linear algebra and probability.,Linear Algebra,3
Probability theory,Students will learn the principles and concepts of probability theory and its application in statistical analysis.,Introduction to Statistics,3
Sampling distributions,Students will gain knowledge about the theory of sampling distributions and its importance in statistical inference.,Introduction to Statistics,3
Linear regression,Students will learn about linear regression models and how to use them to analyze relationships between variables.,Introduction to Statistics,3
Analysis of variance,Students will acquire knowledge of analysis of variance (ANOVA) and its application in comparing group means.,Introduction to Statistics,3
Confidence intervals and hypothesis testing,Students will learn about the concepts of confidence intervals and hypothesis testing and how to apply them in statistical inference.,Introduction to Statistics,3
Database design,"Students will learn how to design a database, including entity-relationship modeling and logical design of relational databases. This knowledge is essential for creating efficient and well-structured databases.",Introduction to Databases,3
Relational data definition and manipulation languages,Students will acquire knowledge of the languages used to define and manipulate relational data in databases. This knowledge is crucial for effectively working with relational databases.,Introduction to Databases,3
Distributed Systems Architecture,"Students will acquire knowledge about the architecture of distributed systems, including concepts like clock synchronization, logical clocks, and distributed mutex.",Distributed Systems Fundamentals,3
Replication and Consistency Models,Students will learn about replication techniques and consistency models used in distributed systems.,Distributed Systems Fundamentals,3
Distributed Transactions,Students will gain knowledge about distributed transactions and the challenges associated with them.,Distributed Systems Fundamentals,3
Paxos-based Consensus,Students will learn about the Paxos algorithm and its role in achieving consensus in distributed systems.,Distributed Systems Fundamentals,3
MapReduce Infrastructures,Students will acquire knowledge about MapReduce infrastructures and their use in distributed systems.,Distributed Systems Fundamentals,3
Linear algebra,"Students will acquire knowledge of linear algebra concepts and techniques, which are essential for understanding and applying machine learning algorithms.",Machine Learning,3
Statistics,"Students will gain knowledge of statistical concepts and methods, which are fundamental for analyzing and interpreting data in machine learning.",Machine Learning,3
Artificial Intelligence,"Students will learn about the principles and techniques of artificial intelligence, which provide a foundation for understanding and applying machine learning algorithms.",Machine Learning,3
Gaussian distributions,Students will learn about Gaussian distributions and their role in probabilistic modeling and inference in machine learning.,Machine Learning,3
Exponential family distributions,Students will acquire knowledge of exponential family distributions and their applications in machine learning models.,Machine Learning,3
Software-as-a-Service (SaaS),"Students will gain knowledge about the concept of Software-as-a-Service and understand its benefits, challenges, and implementation strategies.",Engineering Software-as-a-Service,3
Modern software engineering concepts,"Students will acquire knowledge about modern software engineering concepts, such as software development life cycle, software testing, software maintenance, and software quality assurance.",Engineering Software-as-a-Service,3
Web application development,"Students will learn about the principles and techniques of web application development, including client-server architecture, HTTP protocols, and web security.",Engineering Software-as-a-Service,3
Software project management,"Students will gain knowledge about software project management practices, including project planning, resource allocation, risk management, and project tracking.",Engineering Software-as-a-Service,3
Version control,"Students will learn about version control systems, such as Git, and understand how to effectively manage and collaborate on software development projects using version control tools.",Engineering Software-as-a-Service,3
Human factors,"Students will learn about the psychological and physiological aspects of human-computer interaction, enabling them to design user interfaces that are intuitive and user-friendly.",User Interface Design,3
Interaction styles,"Students will gain knowledge about different interaction styles, such as command-line interfaces, menu-driven interfaces, and graphical user interfaces, and understand when to use each style.",User Interface Design,3
Software infrastructure,"Students will learn about the underlying software infrastructure required for developing user interfaces, including libraries, frameworks, and development tools.",User Interface Design,3
Basic interaction devices and techniques,"Students will acquire knowledge about various input devices (e.g., mouse, keyboard, touchscreens) and interaction techniques (e.g., gestures, voice commands) used in user interfaces.",User Interface Design,3
Design principles,"Students will learn about fundamental design principles, such as visual hierarchy, color theory, and typography, that contribute to effective user interface design.",User Interface Design,3
Security principles and concepts,Students will acquire a comprehensive understanding of the fundamental principles and concepts of security.,Security I,3
Vulnerability assessment,Students will learn how to identify and assess vulnerabilities in computer systems and networks.,Security I,3
Encryption techniques,Students will gain knowledge of various encryption methods used to protect data and communications.,Security I,3
Security policies and procedures,Students will learn about the development and implementation of security policies and procedures.,Security I,3
Risk management,Students will acquire knowledge of risk assessment and management techniques in the context of security.,Security I,3
Image formation and optics,Students will acquire knowledge about the principles of image formation and the optics of cameras.,Computer Vision I,3
Binary images,Students will learn about the representation and processing of binary images.,Computer Vision I,3
Region growing and segmentation,Students will gain knowledge about techniques for segmenting images into meaningful regions.,Computer Vision I,3
Brightness and reflectance,Students will understand the concepts of brightness and reflectance in the context of computer vision.,Computer Vision I,3
Texture analysis,Students will learn about methods for analyzing and describing the texture of images.,Computer Vision I,3
Linguistics background,"Students will acquire knowledge of levels of linguistic representation, ambiguity, and diversity in human languages.",Natural Language Processing,3
Computational semantics,Students will learn about computational approaches to semantic parsing and understanding.,Natural Language Processing,3
Fundamental concepts of computer science,"Students will learn the foundational knowledge of computer science, including algorithms, data structures, and programming principles.",Intro to CS,3
Java programming language,Students will acquire knowledge of the Java programming language and its syntax.,Intro to CS,3
Federal regulations,"Although not explicitly mentioned in the course description, students may gain knowledge of federal regulations related to computer science and engineering practices.",Intro to CS,3
Document preparation practices,"Although not explicitly mentioned in the course description, students may learn about document preparation practices relevant to computer science and engineering.",Intro to CS,3
Engineering practices,"Although not explicitly mentioned in the course description, students may acquire knowledge of engineering practices related to computer science and engineering.",Intro to CS,3
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4
Software development methodologies,"Students will gain knowledge of different software development methodologies, such as agile or waterfall, and understand their application in real-world projects.",Advanced Programming,4
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4
Memory management,"Students will acquire knowledge of memory management techniques, such as dynamic memory allocation and garbage collection, to optimize program performance and prevent memory leaks.",Advanced Programming,4
Software testing,"Students will learn about different software testing techniques and methodologies, including unit testing, integration testing, and regression testing, to ensure the quality and reliability of their code.",Advanced Programming,4
Discrete mathematics,"Students will acquire a solid understanding of the fundamental concepts and principles of discrete mathematics, which is the mathematical foundation of computer science and information technology.",Discrete Math,3
Probability theory,"Students will learn about the elements of finite probability, including basic probability rules, conditional probability, and random variables, which are essential for analyzing and modeling uncertain events and processes.",Discrete Math,3
Equivalence relations and partial orderings,"Students will gain knowledge about equivalence relations and partial orderings, which are important mathematical structures used to classify and compare objects in various domains, such as set theory, database design, and formal languages.",Discrete Math,3
Binomial coefficients,"Students will learn about binomial coefficients, which are used to count the number of combinations and arrangements in combinatorial problems, such as counting subsets or permutations.",Discrete Math,3
Formal logic,"Students will acquire knowledge of formal logic, including propositional logic and predicate logic, which provides a rigorous framework for reasoning and analyzing the validity of logical arguments.",Discrete Math,3
Regular languages,"Students will learn about regular languages, their properties, and their relationship to finite automata and regular expressions.",CS Theory,3
Chomsky hierarchy,"Students will gain knowledge of the Chomsky hierarchy, a classification of formal languages based on their generative power.",CS Theory,3
Church-Turing thesis,"Students will understand the Church-Turing thesis, which states the equivalence of different models of computation.",CS Theory,3
Complexity theory,"Students will acquire knowledge of complexity classes, such as P, NP, and NP-Completeness, and their implications in solving computational problems.",CS Theory,3
Formal language theory,"Students will learn about the theoretical foundations of formal languages, including regular and context-free languages, and their applications in computer science.",CS Theory,3
Computer organization,Students will acquire knowledge about the fundamental principles and components of computer systems.,Fundamentals of Computer Systems,3
Boolean algebra,"Students will learn the principles and techniques of Boolean algebra, which is essential for digital logic design.",Fundamentals of Computer Systems,3
Instruction sets,Students will gain knowledge about different instruction sets used in computer systems.,Fundamentals of Computer Systems,3
Combinational and sequential digital design,Students will learn the basics of designing combinational and sequential circuits.,Fundamentals of Computer Systems,3
Memory systems,Students will acquire knowledge about cache memory and virtual memory systems and their role in computer architecture.,Fundamentals of Computer Systems,3
Systems of linear equations,Students will gain knowledge of solving systems of linear equations using matrix methods.,Linear Algebra,3
Eigenvalues and eigenvectors,Students will learn about eigenvalues and eigenvectors and their applications in linear algebra and probability.,Linear Algebra,3
Probability theory,Students will learn the principles and concepts of probability theory and its application in statistical analysis.,Introduction to Statistics,3
Sampling distributions,Students will gain knowledge about the theory of sampling distributions and its importance in statistical inference.,Introduction to Statistics,3
Linear regression,Students will learn about linear regression models and how to use them to analyze relationships between variables.,Introduction to Statistics,3
Analysis of variance,Students will gain knowledge of analysis of variance (ANOVA) and its application in comparing means across different groups.,Introduction to Statistics,3
Confidence intervals and hypothesis testing,Students will learn about the concepts of confidence intervals and hypothesis testing and how to apply them in statistical inference.,Introduction to Statistics,3
Database design,"Students will learn how to design a database, including entity-relationship modeling and logical design of relational databases. This knowledge is essential for creating efficient and well-structured databases.",Introduction to Databases,3
Relational data definition and manipulation languages,Students will acquire knowledge of the languages used to define and manipulate relational data in databases. This knowledge is crucial for effectively working with relational databases.,Introduction to Databases,3
Human psychophysics,Students will gain knowledge of the foundations of human psychophysics and its relevance to visual interfaces.,"VISUAL INTERFACES TO COMP
",3
Cognitive science,Students will learn about the principles of cognitive science and how they apply to visual interfaces.,"VISUAL INTERFACES TO COMP
",3
Artificial intelligence,Students will acquire knowledge of artificial intelligence techniques used in visual recognition and interpretation.,"VISUAL INTERFACES TO COMP
",3
Computer architecture,Students will learn about the architecture of computer systems that handle visual input.,"VISUAL INTERFACES TO COMP
",3
Research systems,Students will gain knowledge of existing commercial and research systems in the field of visual interfaces.,"VISUAL INTERFACES TO COMP
",3
Linear algebra,"Students will acquire knowledge of linear algebra concepts and techniques, which are essential for understanding and applying machine learning algorithms.",Machine Learning,3
Statistics,"Students will gain knowledge of statistical concepts and methods, which are fundamental for analyzing and interpreting data in machine learning.",Machine Learning,3
Artificial Intelligence,"Students will learn about the principles and techniques of artificial intelligence, which provide a foundation for understanding and applying machine learning algorithms.",Machine Learning,3
Gaussian distributions,Students will learn about Gaussian distributions and their role in probabilistic modeling and inference in machine learning.,Machine Learning,3
Exponential family distributions,Students will acquire knowledge of exponential family distributions and their applications in machine learning models.,Machine Learning,3
Software-as-a-Service (SaaS),Students will gain knowledge about the concept of Software-as-a-Service and its implications for software development and deployment.,Engineering Software-as-a-Service,3
Modern software engineering concepts,"Students will learn about the latest trends and practices in software engineering, including continuous integration, test-driven development, and cloud computing.",Engineering Software-as-a-Service,3
Web application development,"Students will acquire knowledge of web application development principles and techniques, including client-server architecture, HTTP protocols, and RESTful APIs.",Engineering Software-as-a-Service,3
Software testing and quality assurance,Students will understand the importance of software testing and quality assurance in ensuring the reliability and functionality of software systems.,Engineering Software-as-a-Service,3
Project management,"Students will learn the fundamentals of project management, including planning, scheduling, and resource allocation, to effectively manage software development projects.",Engineering Software-as-a-Service,3
Robotics principles,Students will acquire knowledge about the fundamental principles and concepts in robotics. This knowledge provides a foundation for understanding and working with robots.,Computation Aspects of Robotics,3
World modeling systems,Students will learn about world modeling systems used in robotics. This knowledge is essential for robots to perceive and interpret their surroundings.,Computation Aspects of Robotics,3
Artificial intelligence techniques,"Students will gain knowledge about various artificial intelligence techniques used in robotics, such as planning and decision-making algorithms. This knowledge enables students to apply AI methods to solve robotics problems.",Computation Aspects of Robotics,3
Computer science principles,"Students will acquire knowledge of computer science principles relevant to robotics, including algorithms, data structures, and programming paradigms. This knowledge is essential for developing efficient and robust robotic systems.",Computation Aspects of Robotics,3
Assembly and manipulation,Students will learn about the principles and techniques of robot assembly and manipulation. This knowledge is important for designing robots that can perform complex tasks involving object manipulation.,Computation Aspects of Robotics,3
Advanced security concepts,Students will gain a deep understanding of advanced security concepts and principles.,Security II,3
Human security issues,"Students will learn about the social and psychological aspects of security, including human factors that can impact system security.",Security II,3
Security regulations and compliance,Students will acquire knowledge of relevant security regulations and compliance standards to ensure adherence to legal and industry requirements.,Security II,3
Security best practices,Students will learn about industry-standard security practices and methodologies to effectively protect systems and data.,Security II,3
Threat modeling,Students will gain knowledge of threat modeling techniques to identify potential security threats and vulnerabilities.,Security II,3
Computer vision principles and techniques,"Students will gain a comprehensive understanding of the principles and techniques used in computer vision, including image processing, feature extraction, and object detection.",Computer Vision,3
3D representations,Students will learn about various methods and representations used for 3D object reconstruction and understanding.,Computer Vision,3
Interpretability and bias,Students will acquire knowledge about interpretability in computer vision models and the ethical considerations related to bias and fairness in visual recognition systems.,Computer Vision,3
Ethics in computer vision,"Students will learn about the ethical implications and challenges associated with computer vision technologies, including privacy concerns and potential misuse.",Computer Vision,3
Media deception,"Students will gain knowledge about the detection and prevention of media deception techniques, such as deepfake videos and image manipulation.",Computer Vision,3
State-space problem representations,Students will learn about representing problems as states and how to navigate through these states using various algorithms.,Natural Language Processing,3
Predicate calculus,"Students will gain knowledge of predicate calculus, a formal system used for representing and reasoning about logical statements.",Natural Language Processing,3
AI systems and languages,Students will learn about different AI systems and programming languages used for building intelligent computer systems.,Natural Language Processing,3
Machine learning and concept formation,Students will acquire knowledge of machine learning algorithms and techniques used for concept formation and pattern recognition in NLP.,Natural Language Processing,3
Natural language processing,"Students will gain a comprehensive understanding of the principles, techniques, and applications of natural language processing.",Natural Language Processing,3
