Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3,Storage management,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3,Storage management,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3,Algorithm analysis,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3,Algorithm analysis,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3,Java programming language,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3,Java programming language,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3,Prerequisites,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3,Prerequisites,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3,Data types and structures,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3,Data types and structures,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3,Storage management,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3,Storage management,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3,Algorithm analysis,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3,Algorithm analysis,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3,Java programming language,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3,Java programming language,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3,Prerequisites,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3,Prerequisites,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4,Advanced programming concepts,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4,Advanced programming concepts,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Software development methodologies,"Students will gain knowledge about different software development methodologies, such as agile and waterfall, and how to apply them in practice.",Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Software development methodologies,"Students will gain knowledge about different software development methodologies, such as agile and waterfall, and how to apply them in practice.",Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4,Debugging and troubleshooting,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4,Debugging and troubleshooting,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Memory management,"Students will understand memory management concepts, including dynamic memory allocation and deallocation, and how to avoid memory leaks and other memory-related issues.",Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Memory management,"Students will understand memory management concepts, including dynamic memory allocation and deallocation, and how to avoid memory leaks and other memory-related issues.",Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Performance optimization,"Students will learn techniques for optimizing the performance of their code, including profiling, benchmarking, and code refactoring.",Advanced Programming,4,Performance optimization,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Performance optimization,"Students will learn techniques for optimizing the performance of their code, including profiling, benchmarking, and code refactoring.",Advanced Programming,4,Performance optimization,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4,Advanced programming concepts,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4,Advanced programming concepts,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Software development methodologies,"Students will gain knowledge of different software development methodologies, such as agile or waterfall, and understand their application in real-world projects.",Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Software development methodologies,"Students will gain knowledge of different software development methodologies, such as agile or waterfall, and understand their application in real-world projects.",Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4,Debugging and troubleshooting,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4,Debugging and troubleshooting,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Memory management,"Students will acquire knowledge of memory management techniques, such as dynamic memory allocation and garbage collection, to optimize program performance and prevent memory leaks.",Advanced Programming,4,,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Memory management,"Students will acquire knowledge of memory management techniques, such as dynamic memory allocation and garbage collection, to optimize program performance and prevent memory leaks.",Advanced Programming,4,,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Software testing,"Students will learn about different software testing techniques and methodologies, including unit testing, integration testing, and regression testing, to ensure the quality and reliability of their code.",Advanced Programming,4,Software Testing and Quality Assurance,COMS,Advanced Programming,Jae W Lee,7694.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Fall 2023
Software testing,"Students will learn about different software testing techniques and methodologies, including unit testing, integration testing, and regression testing, to ensure the quality and reliability of their code.",Advanced Programming,4,Software Testing and Quality Assurance,COMS,Advanced Programming,Brian Borowski,195.0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",Spring 2023
Discrete mathematics,"Students will acquire a comprehensive understanding of the fundamental concepts and principles of discrete mathematics, which is the branch of mathematics that deals with countable sets and mathematical structures that are fundamentally discrete rather than continuous.",Discrete Math,3,Discrete mathematics,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Discrete mathematics,"Students will acquire a comprehensive understanding of the fundamental concepts and principles of discrete mathematics, which is the branch of mathematics that deals with countable sets and mathematical structures that are fundamentally discrete rather than continuous.",Discrete Math,3,Discrete mathematics,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
Probability theory,"Students will learn about the elements of finite probability, including basic concepts such as sample spaces, events, and probability distributions, which are essential in analyzing and modeling uncertainty in various fields, including computer science and data analysis.",Discrete Math,3,Probability theory,COMS,Discrete Math,Tony B Dear,158.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Fall 2023
Probability theory,"Students will learn about the elements of finite probability, including basic concepts such as sample spaces, events, and probability distributions, which are essential in analyzing and modeling uncertainty in various fields, including computer science and data analysis.",Discrete Math,3,Probability theory,COMS,Discrete Math,Ansaf Salleb-Aouissi,1302.0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",Spring 2023
