Skill,Explanation,Related Course,Credits,Semester
Problem-solving,Students will enhance their problem-solving skills through the multi-person project on compiler design and implementation.,"6.1100 Computer Language Engineering
",1,Fall 2023
Teamwork,Students will learn how to collaborate effectively in a multi-person project.,"6.1100 Computer Language Engineering
",1,Fall 2023
Dynamic programming languages,"Students will gain proficiency in designing and implementing modern, dynamic programming languages.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Parsing,"Students will learn fundamental approaches for parsing, which involves analyzing the structure of a program.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Semantics and interpretation,Students will develop the ability to understand and interpret the meaning of programming language constructs.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Virtual machines,"Students will learn about the design and implementation of virtual machines, which execute programs written in a specific programming language.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Garbage collection,"Students will gain knowledge and skills in implementing garbage collection techniques, which manage memory allocation and deallocation in programming languages.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Programming,"Students will gain proficiency in programming languages such as Haskell and Ocaml, as they implement techniques covered in class and build simple verifiers.","6.5110 Foundations of Program Analysis
",1,Fall 2023
Program analysis,"Students will learn and apply major principles and techniques for program analysis, including formal semantics, type systems, type-based program analysis, abstract interpretation, and model checking and synthesis.","6.5110 Foundations of Program Analysis
",1,Fall 2023
Logical reasoning,Students will develop the skill of analyzing and evaluating logical arguments.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Programming,Students will gain proficiency in programming languages and techniques used in formal reasoning about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Model checking,Students will learn how to use model checking techniques to verify the correctness of software.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Abstract interpretation,Students will learn how to apply abstract interpretation techniques to analyze and reason about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Coq proof assistant,Students will develop proficiency in using the Coq proof assistant for interactive computer theorem proving.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve complex problems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Database management,Students will learn how to manage databases and manipulate data using SQL.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Problem-solving,Students will develop the ability to analyze and solve problems related to large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Communication,Students will enhance their communication skills through assignments and projects that require clear and effective communication of ideas and concepts.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Software design,Students will learn how to design and implement large software systems that can be adapted to various uses.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Programming,Students will develop proficiency in programming languages and techniques to design and implement large software systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Database management,Students will learn how to manage and manipulate data in large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on designing and implementing large software systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Communication,Students will enhance their communication skills through collaborative projects and presentations.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Analytical thinking,Students will develop the ability to analyze complex issues and make informed decisions in the context of large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Programming,Students will develop programming skills through extensive use of computation for simulation and symbolic analysis.,"6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
Computational analysis,Students will gain proficiency in using computation to capture methods and analyze physical systems.,"6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
SQL,"Although not explicitly mentioned in the course description, programming experience is required, indicating that students will likely develop skills in SQL or a similar database query language.","6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
Logical notation,Students will learn how to use logical notation to express mathematical statements and proofs.,"6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Graph theory,"Students will gain proficiency in analyzing and manipulating graphs, which are essential in computer science.","6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Induction and proofs by contradiction,Students will develop the ability to use mathematical induction and proofs by contradiction to solve problems and prove theorems.,"6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Elementary analysis of algorithms,Students will learn how to analyze the efficiency and complexity of algorithms using mathematical techniques.,"6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Discrete probability,"Students will acquire the skill of applying probability concepts to discrete scenarios, which is crucial in computer science.","6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Logical reasoning,Students will develop the skill of logical reasoning as they learn about logical notation and proofs by contradiction.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Problem-solving,Students will enhance their problem-solving skills through the application of mathematical concepts in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Algorithm analysis,Students will gain proficiency in analyzing the efficiency of algorithms through the study of asymptotic notation and elementary analysis of algorithms.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Combinatorial thinking,Students will learn how to think combinatorially and develop the skill of counting tools as they study permutations and combinations.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Graph theory,Students will acquire the skill of understanding and manipulating graphs as they learn about elementary graph theory.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms to solve computational problems.,"6.1210 Introduction to Algorithms
",1,Fall 2023
Programming,Students will gain proficiency in programming as they implement algorithms in code.,"6.1210 Introduction to Algorithms
",1,Fall 2023
Algorithm design,Students will learn how to design efficient algorithms to solve various problems.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Sorting,Students will gain proficiency in sorting algorithms and their implementation.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Dynamic programming,Students will learn the technique of dynamic programming to solve optimization problems.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Graph algorithms,Students will develop skills in designing and analyzing algorithms for graph-related problems.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Amortized analysis,Students will learn the concept of amortized analysis and its application in analyzing algorithms.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on classifying computational tasks in terms of their difficulty and exploring fundamental issues in computing.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Analytical thinking,Students will learn to analyze and evaluate different computational tasks and their complexity.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Logical reasoning,"Students will develop logical reasoning skills as they study the theory of computing and solve problems related to finite automata, circuits, Turing machines, and communication complexity.","6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Data analysis,Students will gain skills in analyzing data and information related to computational tasks and open problems in mathematics.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Critical thinking,"Students will enhance their critical thinking skills as they evaluate and discuss fundamental issues in computing, such as the Halting Problem, the Church-Turing Thesis, and the P versus NP problem.","6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Problem-solving,"Students will develop problem-solving skills as they learn about parameterized algorithms and fine-grained complexity, which require finding efficient solutions to computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms that are parameterized and can handle complex computational problems.,"6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Data analysis,Students will gain proficiency in analyzing data and identifying patterns and structures in order to solve computational problems.,"6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Critical thinking,Students will develop critical thinking skills as they analyze the difficulty and feasibility of solving computational problems using parameterized algorithms and fine-grained complexity.,"6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Programming,Students will enhance their programming skills as they implement and optimize algorithms for solving computational problems.,"6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms to solve complex computational problems.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Algorithm analysis,Students will gain proficiency in analyzing the efficiency and correctness of algorithms.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Data structure implementation,Students will develop the skill of implementing various data structures to optimize algorithm performance.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Computational geometry,Students will learn how to manipulate geometric objects and solve geometric problems using algorithms.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Parallel algorithm design,Students will learn how to design algorithms that can be executed in parallel on multiple processors.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms using randomization techniques.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Random sampling,Students will gain proficiency in using random sampling as a method to simplify and improve algorithms.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Symmetry breaking,Students will learn how to break symmetries in algorithms to improve efficiency.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Markov chains,Students will learn about Markov chains and their application in randomized algorithms.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Data structure implementation,Students will develop the skill of implementing data structures such as hash tables and skip lists.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Data structure design,Students will learn how to design advanced and powerful data structures for efficient algorithms.,"6.5230 Advanced Data Structures
",1,Fall 2023
SQL,"Students will gain proficiency in SQL, which is essential for querying and manipulating data in databases.","6.5230 Advanced Data Structures
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1,Fall 2023
Programming,Students will enhance their programming skills through hands-on projects and assignments.,"6.5230 Advanced Data Structures
",1,Fall 2023
Analytical thinking,Students will develop the ability to analyze complex problems and find optimal solutions using data structures.,"6.5230 Advanced Data Structures
",1,Fall 2023
Algorithm analysis,Students will learn how to analyze algorithms and understand their efficiency in sublinear time.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Statistical analysis,Students will gain proficiency in statistical analysis techniques used in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Optimization theory,Students will learn about optimization theory and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Distributed algorithms,Students will learn about distributed algorithms and their role in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms that can be executed concurrently in distributed networks.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Process synchronization,Students will gain proficiency in synchronizing processes in a distributed system to ensure proper execution.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Distributed consensus,Students will learn techniques for achieving consensus among multiple processes in a distributed network.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Deadlock detection,Students will develop the ability to detect and resolve deadlocks in distributed systems.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Concurrency control,Students will learn methods for managing concurrent access to shared resources in a distributed environment.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Algorithmic origami design,"Students will learn how to design origami using algorithms, which involves manipulating and folding paper to create specific shapes and patterns.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023
Database design,"Although not explicitly mentioned in the course description, the mention of ""reconfiguration of foldable structures"" and ""applications to robotics, manufacturing, and biology"" suggests that students may need to design and manipulate databases to store and analyze data related to foldable structures and their applications.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023
Algorithm design and analysis,Students will learn how to design and analyze algorithms for geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023
Convex hulls,Students will gain proficiency in implementing algorithms for finding convex hulls.,"6.5320 Geometric Computing
",1,Fall 2023
Delaunay triangulation,Students will learn about Delaunay triangulation and its application in geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023
Motion planning,Students will develop the skill of motion planning in geometric spaces.,"6.5320 Geometric Computing
",1,Fall 2023
Pattern matching,Students will learn how to apply pattern matching algorithms to solve geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023
Algorithm design,Students will learn how to design algorithms for equilibria and fixed points in game theory.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Computational complexity,Students will gain proficiency in understanding the complexity of algorithms and their impact on system performance.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Mechanism design,"Students will learn algorithmic tools used in mechanism design, which involves designing systems that are robust in the face of conflicts of interest.","6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Learning in games,Students will develop skills in understanding and analyzing learning processes in game theory.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Price of anarchy,Students will learn how to calculate and analyze the price of anarchy in game-theoretic systems.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Matrix multiplication,"Students will gain proficiency in performing matrix multiplication, a fundamental skill in linear algebra and graph algorithms.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Graph algorithms,"Students will learn and develop skills in implementing and analyzing various graph algorithms, such as transitive closure, shortest paths, and graph matching.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Algorithm analysis,"Students will learn how to analyze the efficiency and complexity of graph algorithms, including understanding time and space complexity, and making informed decisions about algorithm selection.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Programming,"Students will develop programming skills in implementing graph algorithms, using programming languages such as Python or Java.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Computational complexity theory,Students will develop a proficiency in understanding and analyzing the complexity of computational problems.,"6.5400[J] Theory of Computation
",1,Fall 2023
Reducibility,"Students will learn how to reduce one problem to another, which is a fundamental skill in computational theory.","6.5400[J] Theory of Computation
",1,Fall 2023
Recursive function theory,"Students will gain the ability to understand and analyze recursive functions, which are essential in computation.","6.5400[J] Theory of Computation
",1,Fall 2023
Probabilistic computation,Students will learn how to incorporate randomness and probability into computational algorithms.,"6.5400[J] Theory of Computation
",1,Fall 2023
Interactive proof systems,"Students will develop the skill of designing and analyzing interactive proof systems, which are used to verify the correctness of computations.","6.5400[J] Theory of Computation
",1,Fall 2023
Problem-solving,Students will develop advanced problem-solving skills as they study and analyze complex computational complexity theory topics.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Logical reasoning,Students will learn how to apply logical reasoning to solve complex computational problems and analyze computational models.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Algorithm design,Students will gain proficiency in designing algorithms to solve computational complexity problems.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Mathematical modeling,Students will learn how to use mathematical models to analyze and understand computational complexity.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Critical thinking,Students will enhance their critical thinking skills as they evaluate and analyze different computational complexity theories and concepts.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Probabilistic proofs,"Students will learn how to construct and analyze probabilistic proofs, which involve using randomness to prove the correctness of algorithms or mathematical statements.","6.5420 Randomness and Computation
",1,Fall 2023
Uniform generation and approximate counting,Students will gain proficiency in generating random samples from a given distribution and estimating the size of a set or the probability of an event using random sampling techniques.,"6.5420 Randomness and Computation
",1,Fall 2023
Fourier analysis of Boolean functions,"Students will learn how to analyze Boolean functions using Fourier analysis, which involves decomposing a function into a sum of simpler functions and studying their properties.","6.5420 Randomness and Computation
",1,Fall 2023
Computational learning theory,"Students will develop skills in understanding and applying computational learning theory, which deals with the design and analysis of algorithms that learn from data.","6.5420 Randomness and Computation
",1,Fall 2023
Pseudorandom generators,"Students will learn about pseudorandom generators, which are algorithms that generate sequences of numbers that appear random but are actually deterministic.","6.5420 Randomness and Computation
",1,Fall 2023
Quantum computing,"Students will gain proficiency in understanding and working with quantum computers, including their capabilities and limitations.","6.5430 Quantum Complexity Theory
",1,Fall 2023
Complexity theory,Students will learn about complexity classes and lower bounds in the context of quantum computing.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Communication complexity,Students will develop skills in understanding and analyzing communication complexity in quantum systems.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Proofs and advice,Students will learn how to construct and analyze proofs and advice in the quantum world.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Interactive proof systems,Students will gain proficiency in understanding and working with interactive proof systems in the context of quantum computing.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Cryptography,"Students will gain proficiency in cryptographic foundations such as pseudorandomness, collision-resistant hash functions, authentication codes, signatures, authenticated encryption, and public-key encryption.","6.1600 Foundations of Computer Security
",1,Fall 2023
Database design,"Although not explicitly mentioned in the course description, the implementation techniques and case studies in the course may involve the design and manipulation of databases.","6.1600 Foundations of Computer Security
",1,Fall 2023
Programming,Students will develop programming skills through lab assignments that involve building secure systems and implementing security measures.,"6.1600 Foundations of Computer Security
",1,Fall 2023
Problem-solving,The lab assignments and case studies in the course will require students to apply problem-solving skills to identify vulnerabilities and develop solutions.,"6.1600 Foundations of Computer Security
",1,Fall 2023
Communication,"While not explicitly mentioned, effective communication skills may be necessary for presenting findings and discussing security concepts with peers and instructors.","6.1600 Foundations of Computer Security
",1,Fall 2023
Cryptographic algorithms,"Students will gain proficiency in various cryptographic algorithms such as symmetric cryptography, public-key cryptography, and elliptic curve cryptography.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Message authentication codes,Students will learn how to use message authentication codes to ensure the integrity and authenticity of messages.,"6.5610 Applied Cryptography and Security
",1,Fall 2023
Fully homomorphic encryption,"Students will develop the skill of implementing fully homomorphic encryption, which allows computations to be performed on encrypted data without decrypting it.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Zero-knowledge proofs,"Students will learn how to construct and verify zero-knowledge proofs, which allow one party to prove knowledge of a secret without revealing the secret itself.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Electronic voting,"Students will acquire the skill of designing secure electronic voting systems, considering the challenges and cryptographic techniques involved.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Cryptography,"Students will gain proficiency in the principles and techniques of cryptography, including public-key encryption, digital signatures, and pseudo-random number generation.","6.5620[J] Cryptography and Cryptanalysis
",1,Fall 2023
Cryptanalysis,"Students will learn how to analyze and break cryptographic systems, including identifying vulnerabilities and weaknesses in encryption algorithms.","6.5620[J] Cryptography and Cryptanalysis
",1,Fall 2023
Cryptographic algorithms,Students will gain proficiency in understanding and implementing advanced cryptographic algorithms.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Cryptanalysis,Students will learn techniques for analyzing and breaking cryptographic systems.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Programming,Students will develop programming skills to implement cryptographic algorithms and protocols.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Mathematical reasoning,Students will enhance their ability to apply mathematical reasoning in cryptography.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Research skills,Students will learn how to conduct research in the field of cryptography and stay updated with recent advancements.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Secure system design,"Students will learn how to design computer systems with a focus on security, including techniques for achieving security based on recent research papers.","6.5660 Computer Systems Security
",1,Fall 2023
Operating system security,Students will gain proficiency in understanding and implementing security measures in operating systems.,"6.5660 Computer Systems Security
",1,Fall 2023
Cryptographic network protocols,Students will learn about cryptographic protocols used in network security and gain the ability to implement and analyze them.,"6.5660 Computer Systems Security
",1,Fall 2023
Web application security,"Students will develop skills in securing web applications, including techniques for sandboxing arbitrary code.","6.5660 Computer Systems Security
",1,Fall 2023
Mobile phone security,Students will learn about security measures specific to mobile phones and gain the ability to implement them.,"6.5660 Computer Systems Security
",1,Fall 2023
Client-server design,"Students will learn techniques for designing and implementing client-server systems, which involves handling and manipulating data and communication between clients and servers.","6.1800 Computer Systems Engineering
",1,Fall 2023
Operating systems,"Students will gain proficiency in understanding and working with operating systems, including handling and manipulating hardware and software resources.","6.1800 Computer Systems Engineering
",1,Fall 2023
Performance optimization,"Students will learn techniques for optimizing the performance of computer systems, which involves manipulating and analyzing data and system resources.","6.1800 Computer Systems Engineering
",1,Fall 2023
Network management,"Students will develop skills in managing computer networks, including handling and manipulating network configurations and troubleshooting network issues.","6.1800 Computer Systems Engineering
",1,Fall 2023
Security and privacy,"Students will learn about security and privacy measures in computer systems, including handling and manipulating security protocols and implementing privacy controls.","6.1800 Computer Systems Engineering
",1,Fall 2023
Operating system design and implementation,"Students will learn how to design and implement operating systems, including topics such as virtual memory, file systems, threads, and system calls.","6.1810 Operating System Engineering
",1,Fall 2023
Systems programming,"Students will develop skills in systems programming, which involves writing low-level code to interact with hardware and manage system resources.","6.1810 Operating System Engineering
",1,Fall 2023
Programming in RISC-V,"Students will gain proficiency in programming in the RISC-V instruction set architecture, which is used in the xv6 operating system.","6.1810 Operating System Engineering
",1,Fall 2023
Extending operating systems,"Students will learn how to extend the functionality of an operating system, such as adding support for advanced virtual memory features and networking.","6.1810 Operating System Engineering
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on laboratory assignments that involve solving complex issues related to operating system design and implementation.,"6.1810 Operating System Engineering
",1,Fall 2023
Sensor programming,Students will learn how to program and manipulate sensors in IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1,Fall 2023
Data analysis,Students will develop skills in analyzing data collected from sensors in order to extract meaningful insights.,"6.1820[J] Mobile and Sensor Computing
",1,Fall 2023
