Skill,Explanation,Related Course,Credits,Semester
Problem-solving strategies,Students will acquire knowledge of problem-solving strategies and techniques used in programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Specifications and invariants,"Students will learn how to define specifications and invariants for software systems, ensuring that the code meets the desired requirements.","6.1020 Software Construction
",1,Fall 2023
Abstract data types,"Students will gain knowledge of abstract data types and representation independence, allowing them to design efficient and flexible data structures.","6.1020 Software Construction
",1,Fall 2023
Design patterns,"Students will learn various design patterns used in object-oriented programming, enabling them to solve common software design problems effectively.","6.1020 Software Construction
",1,Fall 2023
Concurrent programming techniques,"Students will acquire knowledge of different techniques for concurrent programming, such as message passing and shared memory concurrency.","6.1020 Software Construction
",1,Fall 2023
Functional programming concepts,"Students will learn the principles and concepts of functional programming, including working with immutable data and higher-order functions.","6.1020 Software Construction
",1,Fall 2023
Abstract data modeling,Students will learn about abstract data modeling and its application in software design.,"6.1040 Software Design
",1,Fall 2023
Social and ethical implications,Students will gain knowledge of the social and ethical considerations involved in software design and development.,"6.1040 Software Design
",1,Fall 2023
Web services,Students will acquire knowledge of web services and their role in building web applications.,"6.1040 Software Design
",1,Fall 2023
Reactive front-ends,"Students will learn about reactive front-end development, understanding how to create responsive user interfaces.","6.1040 Software Design
",1,Fall 2023
Visual design,"Students will gain knowledge of visual design principles and techniques, enabling them to create visually appealing software interfaces.","6.1040 Software Design
",1,Fall 2023
Performance engineering principles,Students will acquire knowledge of the principles and concepts of software performance engineering.,"6.1060 Software Performance Engineering
",1,Fall 2023
Software optimization techniques,Students will learn about different techniques used to optimize software performance.,"6.1060 Software Performance Engineering
",1,Fall 2023
Cache and memory hierarchy optimization,Students will gain knowledge of optimizing software by optimizing cache and memory usage.,"6.1060 Software Performance Engineering
",1,Fall 2023
Scalability,Students will learn about designing software systems that can scale effectively.,"6.1060 Software Performance Engineering
",1,Fall 2023
High-performance computing,Students will acquire knowledge of the field of high-performance computing and its applications.,"6.1060 Software Performance Engineering
",1,Fall 2023
Models of computation,Students will learn about different models of computation and their implications in algorithm design.,"6.5060 Algorithm Engineering
",1,Fall 2023
Data structures,Students will acquire knowledge about various data structures and their applications in algorithm engineering.,"6.5060 Algorithm Engineering
",1,Fall 2023
Graph problems,Students will learn about different graph problems and algorithms used to solve them.,"6.5060 Algorithm Engineering
",1,Fall 2023
Cache-efficient algorithms,Students will gain knowledge about designing algorithms that effectively utilize cache memory.,"6.5060 Algorithm Engineering
",1,Fall 2023
Computational complexity,Students will understand the concept of computational complexity and its importance in algorithm analysis.,"6.5060 Algorithm Engineering
",1,Fall 2023
Principles of multicore programming,"Students will learn the fundamental principles and concepts of programming multicore machines, including understanding the challenges and considerations specific to multicore architectures.","6.5080 Multicore Programming
",1,Fall 2023
Concurrent data structures,Students will acquire knowledge about concurrent data structures and how to design and implement them in multicore programming.,"6.5080 Multicore Programming
",1,Fall 2023
Multicore machine architecture,Students will acquire knowledge about the architecture of multicore machines and how they function.,"6.5081 Multicore Programming
",1,Fall 2023
Locking and synchronization,Students will learn about locking and synchronization mechanisms used in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023
Scalability,Students will gain knowledge about scalability issues and techniques in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023
Concurrent data structures,Students will learn about concurrent data structures and their implementation in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023
Higher-level programming languages,"Students will acquire knowledge about the concepts, functions, and structures of higher-level programming languages.","6.1100 Computer Language Engineering
",1,Fall 2023
Compiler theory,Students will learn about the theoretical foundations of compilers and their role in software development.,"6.1100 Computer Language Engineering
",1,Fall 2023
Software engineering principles,Students will gain knowledge of software engineering principles and practices.,"6.1100 Computer Language Engineering
",1,Fall 2023
Programming paradigms,Students will acquire knowledge about different programming paradigms and their application in language engineering.,"6.1100 Computer Language Engineering
",1,Fall 2023
Tools and technologies,Students will learn about various tools and technologies used in language engineering and compiler design.,"6.1100 Computer Language Engineering
",1,Fall 2023
Design and implementation of programming languages,Students will acquire knowledge about the principles and techniques involved in designing and implementing programming languages.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Just-in-time machine code generation,"Students will learn about the process of generating machine code at runtime, optimizing program execution.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Optimization,Students will gain knowledge about techniques for improving the performance and efficiency of programs.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Fundamental approaches for parsing,Students will learn various methods and algorithms for parsing programming language syntax.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Memory management,"Students will acquire knowledge about memory management techniques, including garbage collection, in programming languages.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023
Formal semantics,"Students will acquire knowledge of formal semantics, which is the study of the meaning of programming languages.","6.5110 Foundations of Program Analysis
",1,Fall 2023
Type systems,"Students will learn about type systems, which are used to classify and ensure the correctness of program behavior.","6.5110 Foundations of Program Analysis
",1,Fall 2023
Operational semantics,Students will learn about operational semantics and its application in formal reasoning about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Type systems,Students will gain knowledge of type systems and their role in ensuring program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Program logics,Students will learn about program logics and their use in reasoning about program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Functional programming,Students will gain knowledge of functional programming paradigms and their application in formal reasoning about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Concurrency,Students will learn about concurrency and its impact on program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023
Database design,Students will learn the principles and techniques of designing databases for large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Programming languages,Students will acquire knowledge of various programming languages and their features.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Symbolic systems,Students will gain knowledge about the concepts and theories behind large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Software development methodologies,Students will learn about different methodologies and approaches used in the development of large software systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Artificial intelligence,Students will acquire knowledge of artificial intelligence concepts and their applications in symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023
Software design,Students will learn concepts and techniques for designing large software systems that can be adapted to unforeseen uses.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Artificial intelligence,Students will gain knowledge of artificial intelligence applications and their integration into large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Compiler design,Students will learn about the design and implementation of compilers within the context of large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Computer-algebra systems,Students will acquire knowledge of computer-algebra systems and their role in large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Deductive systems,Students will learn about deductive systems and their application in large-scale symbolic systems.,"6.5151 Large-scale Symbolic Systems
",1,Fall 2023
Classical mechanics,Students will acquire knowledge of classical mechanics and its computational approach.,"6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
Lagrangian formulation,Students will learn about the Lagrangian formulation of classical mechanics.,"6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
Hamiltonian formulation,Students will gain knowledge of the Hamiltonian formulation of classical mechanics.,"6.5160[J] Classical Mechanics: A Computational Approach
",1,Fall 2023
Mathematical tools and proof techniques,Students will acquire a body of knowledge regarding various mathematical tools and proof techniques used in computer science.,"6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Elementary number theory and cryptography,Students will learn about the fundamental concepts of number theory and their applications in cryptography.,"6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Permutations and combinations,"Students will gain knowledge about permutations and combinations, which are important in counting and probability problems.","6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Counting tools,"Students will learn different counting techniques, such as the rule of product and the rule of sum, to solve combinatorial problems.","6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Sets and relations,"Students will acquire knowledge about sets and relations, which are foundational concepts in discrete mathematics and computer science.","6.1200[J] Mathematics for Computer Science
",1,Fall 2023
Discrete mathematics,"Students will gain knowledge of the fundamental concepts and principles of discrete mathematics, which is essential for computer science.","6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Sets and relations,Students will learn about sets and relations and their applications in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
State machines,Students will acquire knowledge of state machines and their role in modeling computational systems.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Number theory and cryptography,Students will learn about elementary number theory and its applications in cryptography.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Recurrences,Students will gain knowledge of recurrences and their use in solving problems in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1,Fall 2023
Mathematical modeling,Students will learn how to model computational problems using mathematical concepts.,"6.1210 Introduction to Algorithms
",1,Fall 2023
Algorithmic paradigms,Students will learn about different approaches and strategies for solving computational problems.,"6.1210 Introduction to Algorithms
",1,Fall 2023
Search trees,Students will acquire knowledge about different types of search trees and their properties.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Hashing,Students will learn about hashing techniques and their use in efficient data retrieval.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Divide-and-conquer,Students will gain knowledge of the divide-and-conquer technique for problem-solving.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Greedy algorithms,Students will understand the concept of greedy algorithms and their application in solving optimization problems.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Network flow,Students may be exposed to advanced topics such as network flow algorithms and their applications.,"6.1220[J] Design and Analysis of Algorithms
",1,Fall 2023
Theory of computing,"Students will gain knowledge about the theory of computing, including concepts related to finite automata, circuits, Turing machines, and communication complexity.","6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Computational complexity,Students will learn about the classification of computational tasks in terms of their difficulty and the factors that determine their complexity.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Open problems in mathematics,Students will acquire knowledge about major open problems in mathematics and their relevance to computing.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Fundamental issues in computing,"Students will gain knowledge about fundamental issues in computing, such as the Halting Problem, the Church-Turing Thesis, and the P versus NP problem.","6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Mathematical foundations,Students will develop a solid understanding of mathematical foundations underlying computability and complexity theory.,"6.1400[J] Computability and Complexity Theory
",1,Fall 2023
Parameterized algorithms,"Students will learn the theory and techniques behind parameterized algorithms, which involve solving computational problems by considering additional parameters.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Fine-grained complexity,"Students will gain knowledge about the theory of fine-grained complexity, which provides a new perspective on measuring the difficulty and feasibility of solving computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
W-hierarchy,"Students will learn about the W-hierarchy, including W[1], W[2], W[P], and other levels, which classify the complexity of computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
3-sum-hardness,"Students will gain knowledge about the concept of 3-sum-hardness, which is a measure of the computational hardness of a problem.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
All-pairs shortest paths (APSP)-equivalences,"Students will learn about the equivalence between all-pairs shortest paths problems and other computational problems, providing insights into their complexity.","6.1420 Fixed Parameter and Fine-grained Computation
",1,Fall 2023
Computational models,Students will learn about different computational models and their applications in solving computational problems.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Network flows,Students will gain knowledge about network flow algorithms and their applications in optimizing flow in networks.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Linear programming,Students will learn about linear programming techniques and their applications in optimization problems.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Approximation algorithms,Students will gain knowledge about approximation algorithms and their use in solving NP-hard problems.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
External memory,Students will learn about algorithms and data structures that are designed to efficiently handle large datasets stored in external memory.,"6.5210[J] Advanced Algorithms
",1,Fall 2023
Randomized computation models,Students will acquire knowledge about different models of randomized computation.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Graph algorithms,"Students will learn about graph algorithms, including minimum spanning trees, shortest paths, and minimum cuts.","6.5220[J] Randomized Algorithms
",1,Fall 2023
Geometric algorithms,"Students will gain knowledge about geometric algorithms, such as convex hulls and linear programming in fixed or arbitrary dimensions.","6.5220[J] Randomized Algorithms
",1,Fall 2023
Approximate counting,Students will learn about techniques for approximate counting in algorithms.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Parallel algorithms,Students will acquire knowledge about parallel algorithms and their implementation.,"6.5220[J] Randomized Algorithms
",1,Fall 2023
Dictionaries,Students will learn about dictionaries and their use in data structures for efficient searching and retrieval.,"6.5230 Advanced Data Structures
",1,Fall 2023
Hashing,Students will gain knowledge of hashing techniques and their application in data structures.,"6.5230 Advanced Data Structures
",1,Fall 2023
Search trees,Students will learn about different types of search trees and their properties for efficient data retrieval.,"6.5230 Advanced Data Structures
",1,Fall 2023
Integer data structures,Students will gain knowledge of data structures specifically designed for handling integer values.,"6.5230 Advanced Data Structures
",1,Fall 2023
Text indexing,Students will learn about text indexing techniques such as suffix arrays and suffix trees for efficient text searching.,"6.5230 Advanced Data Structures
",1,Fall 2023
Number theory,Students will learn about number theory and its relevance in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Combinatorics,Students will gain knowledge of combinatorics and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Linear algebra,Students will learn about linear algebra concepts and their use in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Probability theory,Students will gain knowledge of probability theory and its role in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Graph theory,Students will learn about graph theory and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023
Distributed systems,Students will acquire knowledge about the principles and concepts of distributed systems.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Formal models for distributed computation,Students will learn about formal models used to analyze and reason about distributed algorithms.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Fault tolerance,Students will gain knowledge about techniques for designing fault-tolerant distributed algorithms.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Communication protocols,Students will learn about different communication protocols used in distributed systems.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Clock synchronization,Students will acquire knowledge about methods for synchronizing clocks in a distributed network.,"6.5250[J] Distributed Algorithms
",1,Fall 2023
Geometric folding algorithms,"Students will gain knowledge of the algorithms and techniques used in geometric folding, which involves manipulating and folding two-dimensional and three-dimensional objects.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023
Protein folding,"Students will learn about the process of protein folding, which is relevant to the study of foldable structures and their applications in biology.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023
Geometric data structures,"Students will learn about point location, Voronoi diagrams, and Binary Space Partitions as fundamental geometric data structures.","6.5320 Geometric Computing
",1,Fall 2023
Linear programming,Students will acquire knowledge of linear programming techniques and their application in solving geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023
Closest pair problems,Students will learn about the concept of closest pair problems and various algorithms to solve them.,"6.5320 Geometric Computing
",1,Fall 2023
High-dimensional nearest neighbor search,Students will gain knowledge of techniques for performing nearest neighbor search in high-dimensional spaces.,"6.5320 Geometric Computing
",1,Fall 2023
Low-distortion embeddings,Students will learn about low-distortion embeddings between metric spaces and their significance in geometric computing.,"6.5320 Geometric Computing
",1,Fall 2023
Game theory,Students will acquire knowledge of game theory principles and concepts.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Computer systems,Students will learn about the application of game-theoretic tools in computer systems.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Equilibria and fixed points,Students will gain knowledge of equilibria and fixed points in game theory and their significance in system design.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Algorithmic game theory,Students will learn about the field of algorithmic game theory and its intersection with computer science.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Conflict of interest,Students will acquire knowledge of conflicts of interest and their impact on system performance.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023
Matrix operations,"Students will acquire knowledge of matrix operations, including matrix multiplication, addition, and subtraction, which are essential for understanding and implementing graph algorithms.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Graph theory,"Students will learn the fundamental concepts and principles of graph theory, including graph representation, connectivity, paths, and cycles, providing them with a solid foundation for studying and solving graph algorithm problems.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Linear algebra,"Students will gain knowledge of basic linear algebra concepts, such as vectors, matrices, and linear transformations, which are necessary for understanding and analyzing matrix multiplication and its applications in graph algorithms.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Algorithm design,"Students will acquire knowledge of various algorithm design techniques, such as divide and conquer, dynamic programming, and greedy algorithms, which can be applied to solve graph algorithm problems effectively.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Computational complexity,"Students will learn about computational complexity theory, including the classification of problems into different complexity classes (e.g., P, NP, NP-complete), enabling them to understand the inherent difficulty of graph algorithm problems and the limitations of efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023
Regular and context-free languages,"Students will acquire knowledge about regular and context-free languages, which are important concepts in formal language theory.","6.5400[J] Theory of Computation
",1,Fall 2023
Decidable and undecidable problems,"Students will learn about the distinction between problems that can be solved by an algorithm and those that cannot, providing them with a foundational understanding of computability theory.","6.5400[J] Theory of Computation
",1,Fall 2023
Time and space measures on computation,"Students will gain knowledge about different measures of computational resources, such as time and space, and their impact on the efficiency of algorithms.","6.5400[J] Theory of Computation
",1,Fall 2023
Inherently complex problems,"Students will learn about problems that are inherently difficult to solve, regardless of the algorithm used, providing them with an understanding of the limits of computation.","6.5400[J] Theory of Computation
",1,Fall 2023
Oracles,"Students will acquire knowledge about oracles, which are hypothetical computational devices used to study the power of different types of computations.","6.5400[J] Theory of Computation
",1,Fall 2023
Computational complexity theory,"Students will acquire in-depth knowledge of computational complexity theory, including complexity classes, complete sets, and the polynomial-time hierarchy.","6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Nondeterministic computation,Students will learn about the concept of nondeterministic computation and its role in computational complexity theory.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Probabilistic computation,Students will gain knowledge of probabilistic computation models and their applications in computational complexity.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Parallel computation,Students will learn about parallel computation models and their significance in computational complexity theory.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Interactive proof systems,Students will acquire knowledge of interactive proof systems and their use in computational complexity theory.,"6.5410[J] Advanced Complexity Theory
",1,Fall 2023
Computational complexity,"Students will gain knowledge about computational complexity theory, which studies the inherent difficulty of solving computational problems.","6.5420 Randomness and Computation
",1,Fall 2023
Cryptography,"Students will learn about the principles and techniques of cryptography, which involves secure communication and data protection.","6.5420 Randomness and Computation
",1,Fall 2023
Combinatorics,"Students will acquire knowledge in combinatorics, which is the branch of mathematics that deals with counting, arranging, and organizing objects.","6.5420 Randomness and Computation
",1,Fall 2023
Randomness in computation,"Students will learn about the role and significance of randomness in computation, including its applications in various areas of computer science.","6.5420 Randomness and Computation
",1,Fall 2023
Expander graphs,"Students will gain knowledge about expander graphs, which are highly connected graphs with useful properties in various applications, such as error-correcting codes and network design.","6.5420 Randomness and Computation
",1,Fall 2023
Quantum computational complexity theory,Students will acquire knowledge about the fundamental concepts and principles of quantum computational complexity theory.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Classical simulation of quantum circuits,Students will learn about the techniques and methods used for simulating quantum circuits using classical computers.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Complexity classes,Students will gain knowledge about different complexity classes and their significance in quantum complexity theory.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Lower bounds,Students will acquire knowledge about lower bounds and their importance in analyzing the capabilities of quantum computers.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Research frontier,Students will gain knowledge about the current research trends and advancements in quantum complexity theory.,"6.5430 Quantum Complexity Theory
",1,Fall 2023
Cryptographic foundations,"Students will learn about the principles and techniques of cryptography, including pseudorandomness, collision-resistant hash functions, authentication codes, signatures, authenticated encryption, and public-key encryption.","6.1600 Foundations of Computer Security
",1,Fall 2023
Systems security,"Students will acquire knowledge about systems ideas such as isolation, non-interference, authentication, access control, delegation, and trust, and how these concepts contribute to achieving security in computer systems.","6.1600 Foundations of Computer Security
",1,Fall 2023
Implementation techniques,"Students will learn about various implementation techniques used in computer security, including privilege separation, fuzzing, symbolic execution, runtime defenses, and side-channel attacks.","6.1600 Foundations of Computer Security
",1,Fall 2023
Case studies,"Through case studies, students will gain knowledge about real-world examples of how security ideas and techniques are applied in deployed systems.","6.1600 Foundations of Computer Security
",1,Fall 2023
Security vulnerabilities,Students will learn about common security vulnerabilities and how to identify and address them in computer systems.,"6.1600 Foundations of Computer Security
",1,Fall 2023
Systems security,"Students will gain knowledge about the basic notions of systems security, including the principles and techniques used to protect computer systems from unauthorized access and attacks.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Cryptographic hash functions,Students will learn about cryptographic hash functions and their applications in ensuring data integrity and password storage.,"6.5610 Applied Cryptography and Security
",1,Fall 2023
Key-exchange,"Students will acquire knowledge about key-exchange protocols, which enable secure communication between two parties over an insecure channel.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Secret-sharing,"Students will learn about secret-sharing schemes, which distribute a secret among multiple participants in such a way that cooperation is required to reconstruct the secret.","6.5610 Applied Cryptography and Security
",1,Fall 2023
Electronic voting,Students will gain knowledge about the challenges and cryptographic techniques involved in designing secure electronic voting systems.,"6.5610 Applied Cryptography and Security
",1,Fall 2023
Cryptographic primitives,"Students will acquire knowledge of the fundamental cryptographic primitives used in modern cryptography, such as public-key encryption, digital signatures, and pseudo-random number generation.","6.5620[J] Cryptography and Cryptanalysis
",1,Fall 2023
Computational complexity,"Students will learn about the computational complexity requirements of cryptographic protocols, including understanding the efficiency and security trade-offs in different algorithms.","6.5620[J] Cryptography and Cryptanalysis
",1,Fall 2023
Cryptographic protocols,Students will learn about various cryptographic protocols used in secure communication.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Number theory,Students will acquire knowledge of number theory concepts and their applications in cryptography.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Cryptographic primitives,"Students will gain knowledge of different cryptographic primitives such as hash functions, symmetric and asymmetric encryption algorithms.","6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Cryptographic attacks,Students will learn about different types of cryptographic attacks and their countermeasures.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Cryptographic standards,Students will become familiar with industry standards and best practices in cryptography.,"6.5630 Advanced Topics in Cryptography
",1,Fall 2023
Attacks compromising security,Students will acquire knowledge about various types of attacks that can compromise the security of computer systems.,"6.5660 Computer Systems Security
",1,Fall 2023
Privilege separation,Students will learn about the concept of privilege separation and its importance in system security.,"6.5660 Computer Systems Security
",1,Fall 2023
Language-based security,Students will gain knowledge about language-based security and its applications in securing computer systems.,"6.5660 Computer Systems Security
",1,Fall 2023
Trusted hardware,Students will learn about the use of trusted hardware in enhancing system security.,"6.5660 Computer Systems Security
",1,Fall 2023
Recent research papers,Students will be exposed to and gain knowledge about recent research papers in the field of computer systems security.,"6.5660 Computer Systems Security
",1,Fall 2023
Complexity control,"Students will learn about techniques for controlling complexity in computer software and hardware systems, which involves applying knowledge of system design principles and practices.","6.1800 Computer Systems Engineering
",1,Fall 2023
Naming conventions,"Students will gain knowledge of naming conventions used in computer systems, which involves understanding and applying standardized naming practices.","6.1800 Computer Systems Engineering
",1,Fall 2023
Fault-tolerant systems,"Students will learn about designing and implementing fault-tolerant systems, which involves understanding and applying knowledge of system redundancy and error handling techniques.","6.1800 Computer Systems Engineering
",1,Fall 2023
Impact of computer systems on society,"Students will gain knowledge of the social and ethical implications of computer systems, which involves understanding and analyzing the effects of technology on individuals and society.","6.1800 Computer Systems Engineering
",1,Fall 2023
Current literature analysis,"Students will develop the ability to analyze and compare case studies and readings from the current literature, which requires knowledge of relevant research and industry trends.","6.1800 Computer Systems Engineering
",1,Fall 2023
Virtual memory,Students will learn about virtual memory and its role in managing memory resources in an operating system.,"6.1810 Operating System Engineering
",1,Fall 2023
File systems,Students will gain knowledge about file systems and their organization within an operating system.,"6.1810 Operating System Engineering
",1,Fall 2023
Interprocess communication,"Students will learn about different mechanisms for interprocess communication, such as shared memory and message passing.","6.1810 Operating System Engineering
",1,Fall 2023
Hardware-software interaction,"Students will acquire knowledge about the interaction between software and hardware in an operating system, including topics such as interrupts and context switches.","6.1810 Operating System Engineering
",1,Fall 2023
Networking,"Students will learn about networking concepts and protocols, and how they can be integrated into an operating system.","6.1810 Operating System Engineering
",1,Fall 2023
IoT technologies,Students will gain knowledge about the different technologies and protocols used in IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1,Fall 2023
Sensor technologies,Students will learn about various sensor technologies used in IoT applications.,"6.1820[J] Mobile and Sensor Computing
",1,Fall 2023
