Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill,Title,Professor,Professor Google Scholar Citations,Description
Programming,Students will develop programming skills using Python to solve problems and implement algorithms.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Programming and Coding,"6.100L Introduction to Computer Science and Programming
", ,0,"(, )
Prereq: None
Units: 3-0-6
Credit cannot also be received for 6.100A
https://introcomp.mit.edu/6.100L_fa23
Lecture: MW3-4.30 (2-190)

Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity.
A. BellTextbooks (Fall 2023)"
Computational techniques,Students will learn and apply computational techniques to analyze and solve problems.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,,"6.100L Introduction to Computer Science and Programming
", ,0,"(, )
Prereq: None
Units: 3-0-6
Credit cannot also be received for 6.100A
https://introcomp.mit.edu/6.100L_fa23
Lecture: MW3-4.30 (2-190)

Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity.
A. BellTextbooks (Fall 2023)"
Algorithm design,Students will gain the skill of designing algorithms to solve specific tasks efficiently.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,,"6.100L Introduction to Computer Science and Programming
", ,0,"(, )
Prereq: None
Units: 3-0-6
Credit cannot also be received for 6.100A
https://introcomp.mit.edu/6.100L_fa23
Lecture: MW3-4.30 (2-190)

Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity.
A. BellTextbooks (Fall 2023)"
Testing and debugging,Students will learn how to test and debug their programs to ensure their correctness and efficiency.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Software Testing and Debugging,"6.100L Introduction to Computer Science and Programming
", ,0,"(, )
Prereq: None
Units: 3-0-6
Credit cannot also be received for 6.100A
https://introcomp.mit.edu/6.100L_fa23
Lecture: MW3-4.30 (2-190)

Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity.
A. BellTextbooks (Fall 2023)"
Data structures,"Students will learn about and manipulate various data structures such as lists, arrays, and dictionaries.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Data Structures and Manipulation,"6.100L Introduction to Computer Science and Programming
", ,0,"(, )
Prereq: None
Units: 3-0-6
Credit cannot also be received for 6.100A
https://introcomp.mit.edu/6.100L_fa23
Lecture: MW3-4.30 (2-190)

Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity.
A. BellTextbooks (Fall 2023)"
Programming,"Students will gain proficiency in programming languages, specifically Python, and learn how to apply programming methods to solve abstract problems.","6.1010 Fundamentals of Programming
",1,Fall 2023,Programming and Coding,"6.1010 Fundamentals of Programming
", ,0,"(, ) 
Prereq: 6.100A
Units: 2-4-6
https://py.mit.edu
Lecture: MW9 (36-156) or MW10 (36-156) or MW11 (2-190, 36-155) or MW1 (36-112, 3-270) or MW2 (36-112, 26-100) or MW3 (36-156) or MW10 (36-155) Lab: F10-1 (34-501) or F2-5 (34-501) +final

Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.
A. HartzNo textbook information available"
Software engineering,"Students will develop skills in software design, construction, and implementation.","6.1010 Fundamentals of Programming
",1,Fall 2023,,"6.1010 Fundamentals of Programming
", ,0,"(, ) 
Prereq: 6.100A
Units: 2-4-6
https://py.mit.edu
Lecture: MW9 (36-156) or MW10 (36-156) or MW11 (2-190, 36-155) or MW1 (36-112, 3-270) or MW2 (36-112, 26-100) or MW3 (36-156) or MW10 (36-155) Lab: F10-1 (34-501) or F2-5 (34-501) +final

Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.
A. HartzNo textbook information available"
Algorithmic techniques,Students will learn various algorithmic techniques used in programming to solve complex problems efficiently.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Algorithmic Techniques,"6.1010 Fundamentals of Programming
", ,0,"(, ) 
Prereq: 6.100A
Units: 2-4-6
https://py.mit.edu
Lecture: MW9 (36-156) or MW10 (36-156) or MW11 (2-190, 36-155) or MW1 (36-112, 3-270) or MW2 (36-112, 26-100) or MW3 (36-156) or MW10 (36-155) Lab: F10-1 (34-501) or F2-5 (34-501) +final

Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.
A. HartzNo textbook information available"
Data types,Students will learn about different data types and how to manipulate and store data in programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Data Structures and Manipulation,"6.1010 Fundamentals of Programming
", ,0,"(, ) 
Prereq: 6.100A
Units: 2-4-6
https://py.mit.edu
Lecture: MW9 (36-156) or MW10 (36-156) or MW11 (2-190, 36-155) or MW1 (36-112, 3-270) or MW2 (36-112, 26-100) or MW3 (36-156) or MW10 (36-155) Lab: F10-1 (34-501) or F2-5 (34-501) +final

Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.
A. HartzNo textbook information available"
Recursion,Students will learn the concept of recursion and how to use it in programming to solve repetitive problems.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Recursion,"6.1010 Fundamentals of Programming
", ,0,"(, ) 
Prereq: 6.100A
Units: 2-4-6
https://py.mit.edu
Lecture: MW9 (36-156) or MW10 (36-156) or MW11 (2-190, 36-155) or MW1 (36-112, 3-270) or MW2 (36-112, 26-100) or MW3 (36-156) or MW10 (36-155) Lab: F10-1 (34-501) or F2-5 (34-501) +final

Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.
A. HartzNo textbook information available"
Software development,"Students will learn the fundamental principles and techniques of software development, including writing safe and bug-free code.","6.1020 Software Construction
",1,Fall 2023,Software Development and Web Application Security,"6.1020 Software Construction
", ,0,"()
Prereq: 6.1010
Units: 3-0-12

Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.
Staff"
Testing and test-case generation,Students will gain proficiency in testing software and generating test cases to ensure the quality and reliability of their code.,"6.1020 Software Construction
",1,Fall 2023,Software Testing and Debugging,"6.1020 Software Construction
", ,0,"()
Prereq: 6.1010
Units: 3-0-12

Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.
Staff"
Object-oriented programming,"Students will learn design patterns and techniques for object-oriented programming, enabling them to write modular and reusable code.","6.1020 Software Construction
",1,Fall 2023,Object-oriented programming,"6.1020 Software Construction
", ,0,"()
Prereq: 6.1010
Units: 3-0-12

Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.
Staff"
Concurrent programming,"Students will develop skills in concurrent programming, including message passing and shared memory concurrency, and learn how to defend against races and deadlock.","6.1020 Software Construction
",1,Fall 2023,,"6.1020 Software Construction
", ,0,"()
Prereq: 6.1010
Units: 3-0-12

Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.
Staff"
Functional programming,"Students will learn the concepts of functional programming, including working with immutable data and higher-order functions.","6.1020 Software Construction
",1,Fall 2023,Functional programming,"6.1020 Software Construction
", ,0,"()
Prereq: 6.1010
Units: 3-0-12

Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.
Staff"
Web application development,"Students will learn how to design and build full-stack web applications, gaining proficiency in developing web-based software.","6.1040 Software Design
",1,Fall 2023,,"6.1040 Software Design
", ,0,"()
Prereq: 6.1020 and 6.1200
Units: 4-0-14
https://61040-fa23.github.io
Lecture: MW2.30-4 (1-190) Recitation: R10 (38-166) or R11 (56-191) or R12 (26-314) or R1 (34-303) or R2 (34-301) or R3 (34-301)

Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.
D. JacksonTextbooks (Fall 2023)"
Human-computer interaction (HCI) design,"Students will acquire skills in classic HCI design tactics such as need finding, heuristic evaluation, prototyping, and user testing.","6.1040 Software Design
",1,Fall 2023,,"6.1040 Software Design
", ,0,"()
Prereq: 6.1020 and 6.1200
Units: 4-0-14
https://61040-fa23.github.io
Lecture: MW2.30-4 (1-190) Recitation: R10 (38-166) or R11 (56-191) or R12 (26-314) or R1 (34-303) or R2 (34-301) or R3 (34-301)

Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.
D. JacksonTextbooks (Fall 2023)"
Database management,"Students will develop proficiency in working with databases, including topics such as database design and web services.","6.1040 Software Design
",1,Fall 2023,,"6.1040 Software Design
", ,0,"()
Prereq: 6.1020 and 6.1200
Units: 4-0-14
https://61040-fa23.github.io
Lecture: MW2.30-4 (1-190) Recitation: R10 (38-166) or R11 (56-191) or R12 (26-314) or R1 (34-303) or R2 (34-301) or R3 (34-301)

Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.
D. JacksonTextbooks (Fall 2023)"
Problem-solving,"Through programming projects, students will enhance their problem-solving abilities, applying their skills to solve complex software development challenges.","6.1040 Software Design
",1,Fall 2023,Problem-solving,"6.1040 Software Design
", ,0,"()
Prereq: 6.1020 and 6.1200
Units: 4-0-14
https://61040-fa23.github.io
Lecture: MW2.30-4 (1-190) Recitation: R10 (38-166) or R11 (56-191) or R12 (26-314) or R1 (34-303) or R2 (34-301) or R3 (34-301)

Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.
D. JacksonTextbooks (Fall 2023)"
Communication,"Students will improve their communication skills as they collaborate on individual and team projects, effectively conveying their ideas and collaborating with others.","6.1040 Software Design
",1,Fall 2023,Communication,"6.1040 Software Design
", ,0,"()
Prereq: 6.1020 and 6.1200
Units: 4-0-14
https://61040-fa23.github.io
Lecture: MW2.30-4 (1-190) Recitation: R10 (38-166) or R11 (56-191) or R12 (26-314) or R1 (34-303) or R2 (34-301) or R3 (34-301)

Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.
D. JacksonTextbooks (Fall 2023)"
Performance analysis,Students will learn how to analyze the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023,,"6.1060 Software Performance Engineering
", ,0,"()
Prereq: 6.1020, 6.1210, and 6.1910
Units: 3-12-3
Lecture: TR9.30-11 (26-100) Lab: F10-12 (4-265) or F1-3 (34-302) or F3-5 (34-302) or F10-12 (26-322) or F1-3 (34-301) or F3-5 (34-301) or F3-5 (34-304)

Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.
C. LeisersonNo textbook information available"
Algorithmic techniques for high performance,Students will learn various algorithms and techniques to optimize the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023,,"6.1060 Software Performance Engineering
", ,0,"()
Prereq: 6.1020, 6.1210, and 6.1910
Units: 3-12-3
Lecture: TR9.30-11 (26-100) Lab: F10-12 (4-265) or F1-3 (34-302) or F3-5 (34-302) or F10-12 (26-322) or F1-3 (34-301) or F3-5 (34-301) or F3-5 (34-304)

Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.
C. LeisersonNo textbook information available"
Instruction-level optimizations,Students will gain proficiency in optimizing software at the instruction level.,"6.1060 Software Performance Engineering
",1,Fall 2023,Instruction-level optimizations,"6.1060 Software Performance Engineering
", ,0,"()
Prereq: 6.1020, 6.1210, and 6.1910
Units: 3-12-3
Lecture: TR9.30-11 (26-100) Lab: F10-12 (4-265) or F1-3 (34-302) or F3-5 (34-302) or F10-12 (26-322) or F1-3 (34-301) or F3-5 (34-301) or F3-5 (34-304)

Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.
C. LeisersonNo textbook information available"
Vectorization,Students will learn how to utilize vectorization to improve the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023,Vectorization,"6.1060 Software Performance Engineering
", ,0,"()
Prereq: 6.1020, 6.1210, and 6.1910
Units: 3-12-3
Lecture: TR9.30-11 (26-100) Lab: F10-12 (4-265) or F1-3 (34-302) or F3-5 (34-302) or F10-12 (26-322) or F1-3 (34-301) or F3-5 (34-301) or F3-5 (34-304)

Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.
C. LeisersonNo textbook information available"
Parallel programming,Students will develop skills in programming for parallel computing.,"6.1060 Software Performance Engineering
",1,Fall 2023,Parallel Computing,"6.1060 Software Performance Engineering
", ,0,"()
Prereq: 6.1020, 6.1210, and 6.1910
Units: 3-12-3
Lecture: TR9.30-11 (26-100) Lab: F10-12 (4-265) or F1-3 (34-302) or F3-5 (34-302) or F10-12 (26-322) or F1-3 (34-301) or F3-5 (34-301) or F3-5 (34-304)

Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.
C. LeisersonNo textbook information available"
Algorithm design and analysis,Students will learn how to design and analyze algorithms to solve various computational problems.,"6.5060 Algorithm Engineering
",1,Fall 2023,Algorithm Analysis and Design,"6.5060 Algorithm Engineering
", ,0,"()
Prereq: 6.1060 and 6.1220
Units: 3-0-9

Covers the theory and practice of algorithms and data structures. Topics include models of computation, algorithm design and analysis, and performance engineering of algorithm implementations. Presents the design and implementation of sequential, parallel, cache-efficient, and external-memory algorithms. Illustrates many of the principles of algorithm engineering in the context of parallel algorithms and graph problems.
Staff"
Performance engineering,Students will gain the ability to optimize and improve the performance of algorithm implementations.,"6.5060 Algorithm Engineering
",1,Fall 2023,Performance Analysis and Optimization,"6.5060 Algorithm Engineering
", ,0,"()
Prereq: 6.1060 and 6.1220
Units: 3-0-9

Covers the theory and practice of algorithms and data structures. Topics include models of computation, algorithm design and analysis, and performance engineering of algorithm implementations. Presents the design and implementation of sequential, parallel, cache-efficient, and external-memory algorithms. Illustrates many of the principles of algorithm engineering in the context of parallel algorithms and graph problems.
Staff"
