Skill,Explanation,Related Course,Credits
Complexity theory,"Students will gain knowledge about the measures of complexity, complexity classes (P, NP, L, NL, PSPACE, BPP, IP), complete problems, hierarchy theorems, and probabilistic computation.",Theory of Computation,1
Regular and context-free languages,Students will learn about regular and context-free languages and their applications in computational theory.,Theory of Computation,1
Time and space measures on computation,Students will gain knowledge about time and space complexity measures and their significance in analyzing algorithms and problems.,Theory of Computation,1
Interactive proof systems,Students will learn about interactive proof systems and their role in complexity theory.,Theory of Computation,1
Database design,"Students will learn how to design a database, which is a body of information that can be applied in helping them to design and create databases.",Database Systems,1
Query optimization,"Students will learn about query optimization, which is a body of information that can be applied in helping them to optimize the performance of database queries.",Database Systems,1
Computational biology,Students will gain knowledge of foundational topics in computational biology and current research frontiers.,Computational Systems Biology: Deep Learning in the Life Sciences,1
Algorithms,Students will learn about algorithms and their application in computational biology.,Computational Systems Biology: Deep Learning in the Life Sciences,1
Molecular biology,Students will acquire knowledge of molecular biology concepts and their relevance to computational biology.,Computational Systems Biology: Deep Learning in the Life Sciences,1
Probabilistic inference,Students will learn about probabilistic inference and its use in computational biology.,Computational Systems Biology: Deep Learning in the Life Sciences,1
Bioinformatics tools,Students will gain knowledge of bioinformatics tools and their application in analyzing biological data.,Computational Systems Biology: Deep Learning in the Life Sciences,1
Machine learning concepts,"Students will acquire knowledge of fundamental concepts, techniques, and algorithms in machine learning.",Machine Learning,1
Statistical inference,Students will learn about statistical inference and its role in machine learning methods.,Machine Learning,1
Classification algorithms,Students will gain knowledge of different classification algorithms and their applications.,Machine Learning,1
Linear regression analysis,Students will learn about linear regression analysis and its use in machine learning.,Machine Learning,1
Data analysis,Students will acquire knowledge of data analysis techniques and their application in machine learning.,Machine Learning,1
Architectural design principles,Students will learn the fundamental principles and concepts of architectural design.,Architectural Construction And Computation,1
Construction methods,Students will gain knowledge of various construction techniques and methods used in architectural projects.,Architectural Construction And Computation,1
Building codes and regulations,Students will learn about the codes and regulations that govern architectural construction.,Architectural Construction And Computation,1
Computer-aided design software,Students will acquire knowledge of specific software used in architectural design and construction.,Architectural Construction And Computation,1
Material selection,"Students will learn about different building materials and their properties, and how to select appropriate materials for construction projects.",Architectural Construction And Computation,1
