Skill,Explanation,Related Course,Credits,Collapsed Skill
Data visualization,Students will learn how to create and interpret scatter plots and histograms to visually represent data.,Introduction to Probability and Statistics,1,Data analysis
Bayesian inference,Students will learn the skill of performing Bayesian updating with both discrete and continuous priors to compute posterior distributions and odds.,Introduction to Probability and Statistics,1,Bayesian inference
Statistical modeling,Students will develop the skill of constructing estimates and predictions using the posterior distribution.,Introduction to Probability and Statistics,1,Data modeling
System analysis,Students will develop the skill of analyzing flaws and limitations in simple systems implemented using different disciplines.,Computation Structures,1,System analysis
Problem-solving,Students will enhance their problem-solving skills as they identify flaws and limitations in digital systems.,Computation Structures,1,Problem-solving
Abstraction,Students will learn the skill of understanding the role of abstraction in the design of large digital systems.,Computation Structures,1,Abstraction
Performance analysis,Students will gain proficiency in analyzing the performance of digital systems using measures such as latency and throughput.,Computation Structures,1,Performance analysis
Python programming,"Students will gain proficiency in programming using the Python language, which is widely used in the industry.",Fundamentals of Programming,1,Python programming
Algorithmic techniques,Students will learn various algorithmic techniques to solve abstract problems efficiently.,Fundamentals of Programming,1,Algorithmic design paradigms
Software design,Students will develop skills in designing software solutions to real-world problems.,Fundamentals of Programming,1,Software testing
Data types,Students will learn about different data types and how to manipulate and store data effectively.,Fundamentals of Programming,1,Data types
Recursion,Students will learn the concept of recursion and how to use it to solve complex problems.,Fundamentals of Programming,1,Recursion
Python programming,"Students will further develop their programming skills in Python 3, building upon the knowledge gained in the prerequisite course.",Introduction to Algorithms,1,Python programming
Database management,"Students will learn how to handle and manipulate databases, including querying and modifying data using SQL.",Introduction to Algorithms,1,Database management
Data analysis,"Students will gain proficiency in analyzing and interpreting data, using various techniques and tools.",Introduction to Algorithms,1,Data analysis
Problem-solving,Students will enhance their problem-solving skills through programming projects and assignments.,Introduction to Algorithms,1,Problem-solving
Collaboration,"Students will develop the ability to work effectively in teams, collaborating with others to solve complex problems.",Introduction to Algorithms,1,Collaboration
Programming,Students will gain proficiency in programming languages such as Java or C++.,Software Construction,1,Programming
Software testing,Students will learn how to write and execute test cases to ensure the quality of software.,Software Construction,1,Software testing
Object-oriented design,Students will learn how to design software using object-oriented principles and design patterns.,Software Construction,1,Object-oriented design
Version control,Students will learn how to use version control systems like Git to manage and track changes in software projects.,Software Construction,1,Version control
Debugging,Students will develop the skill of identifying and fixing bugs in software code.,Software Construction,1,Debugging
Algorithm analysis,Students will gain proficiency in analyzing the asymptotic performance of algorithms.,Design and Analysis of Algorithms,1,Algorithm design
Algorithm design,Students will learn how to synthesize efficient algorithms in common engineering design situations.,Design and Analysis of Algorithms,1,Algorithm design
Proof writing,Students will develop the skill of writing rigorous correctness proofs for algorithms.,Design and Analysis of Algorithms,1,Proof writing
Familiarity with algorithms and data structures,Students will acquire knowledge of major algorithms and data structures.,Design and Analysis of Algorithms,1,Familiarity with algorithms and data structures
Algorithmic design paradigms,Students will learn and apply important algorithmic design paradigms and methods of analysis.,Design and Analysis of Algorithms,1,Algorithmic design paradigms
Application of technical material,Students will learn how to apply the technical material taught in lecture to new system components. This skill is important as it demonstrates the ability to transfer knowledge and adapt it to different scenarios.,Computer Systems Engineering,1,Application of technical material
Recognition and description of design patterns,"Students will develop the skill of recognizing and describing common design patterns in computer systems, such as abstraction and modularity. This skill is valuable in understanding how to structure and organize complex systems.",Computer Systems Engineering,1,Recognition and description of design patterns
Understanding of virtualization and abstraction,Students will gain knowledge and proficiency in understanding how operating systems use virtualization and abstraction to enforce modularity. This skill is essential in designing and managing efficient and scalable computer systems.,Computer Systems Engineering,1,Understanding of virtualization and abstraction
Communication of technical concepts,Students will enhance their ability to communicate technical concepts to different audiences. This skill is important in effectively conveying complex information and ideas.,Computer Systems Engineering,1,Communication of technical concepts
Writing and presentation skills,Students will develop strategies and skills needed to present technical concepts through writing and presentations. This skill is crucial in effectively communicating ideas and findings in a professional manner.,Computer Systems Engineering,1,Writing and presentation skills
SQL,"Students will gain proficiency in SQL, which is a valuable skill in database management and data analysis.",Theory of Computation,1,SQL
XML,"Students will learn about XML (eXtensible Markup Language) and its use in databases, enabling them to work with structured data and exchange information between different systems.",Theory of Computation,1,XML
Problem-solving,"Through programming projects, students will develop problem-solving skills, which are essential in various professional fields.",Theory of Computation,1,Problem-solving
Data analysis,"Students will learn how to analyze data using appropriate tools and techniques, enhancing their ability to make informed decisions based on data.",Theory of Computation,1,Computational analysis
Communication,"The course may involve group projects or presentations, allowing students to improve their communication skills, which are crucial in collaborating with others and conveying ideas effectively.",Theory of Computation,1,Communication
Research,Students will learn how to conduct research to gather information and support their class projects.,Database Systems,1,Research
Java programming,Students will develop proficiency in Java programming through completing programming labs and assignments.,Database Systems,1,Java programming
Problem-solving,Students will enhance their problem-solving skills as they work on programming labs and problem sets.,Database Systems,1,Problem-solving
Database management,Students will gain proficiency in managing databases through the semester-long project and assignments.,Database Systems,1,Database administration
Teamwork,Students will develop teamwork skills as they work in groups and meet with each other throughout the semester.,Database Systems,1,Collaboration
Technical writing,Students will develop the skill of writing clear and concise scribe notes for the course textbook.,Computational Systems Biology: Deep Learning in the Life Sciences,1,Technical writing
Research,Students will learn how to gather information and conduct research to accurately document the lecture content.,Computational Systems Biology: Deep Learning in the Life Sciences,1,Research
Collaboration,Students will practice working in teams and collaborating with other scribes to create comprehensive and cohesive course materials.,Computational Systems Biology: Deep Learning in the Life Sciences,1,Collaboration
Organization,Students will develop the skill of organizing information and presenting it in a structured manner in the scribe notes.,Computational Systems Biology: Deep Learning in the Life Sciences,1,Organization
Attention to detail,Students will learn to pay close attention to details and ensure accuracy in the scribe notes.,Computational Systems Biology: Deep Learning in the Life Sciences,1,Attention to detail
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases.",Machine Learning,1,SQL
Data modeling,"Students will learn how to design and create effective data models for databases, enabling them to organize and structure data efficiently.",Machine Learning,1,Data modeling
Database administration,"Students will develop skills in managing and maintaining databases, including tasks such as backup and recovery, security, and performance tuning.",Machine Learning,1,Database administration
Query optimization,"Students will learn techniques for optimizing database queries, improving the efficiency and speed of data retrieval.",Machine Learning,1,Query optimization
Relational database management systems,Students will gain knowledge and hands-on experience with popular relational database management systems (RDBMS) such as MySQL or Oracle.,Machine Learning,1,Relational database management systems
Computer-aided design (CAD),Students will learn how to use CAD software to create architectural designs and models.,Architectural Construction And Computation,1,Computer-aided design (CAD)
Computational analysis,Students will develop the skill of using computational tools to analyze and optimize architectural designs.,Architectural Construction And Computation,1,Computational analysis
Structural design,Students will gain proficiency in designing and analyzing the structural components of buildings.,Architectural Construction And Computation,1,Structural design
Legal knowledge,Students will learn about the legal regulations and requirements related to architectural design and construction.,Architectural Construction And Computation,1,Legal knowledge
Problem-solving,Students will develop problem-solving skills as they navigate the challenges and complexities of architectural design and construction projects.,Architectural Construction And Computation,1,Problem-solving
