Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
INTRO TO INFORMATION SCIE,3,Adam H Cannon,"Basic introduction to concepts and skills in Information Sciences: human-computer interfaces, representing information digitally, organizing and searching information on the internet, principles of algorithmic problem solving, introduction to database concepts, and introduction to programming in Python.","The course ""Introduction to Information Science"" is offered at Columbia University and is designed to provide students with an understanding of how information is organized, accessed, stored, distributed, and processed in strategic segments of today’s society
2
. The course is an interdisciplinary major that covers a range of topics, including human-computer interfaces, representing information digitally, organizing and searching information on the internet, principles of algorithmic problem-solving, introduction to database concepts, and introduction to programming in Python
2
3
4
6
. The course is intended for science and engineering students interested in majoring in computer science or engineering, and it assumes no prior programming background
6
.
The course is taught through lectures and seminars, and students are expected to participate in discussions and present papers
6
. The course covers the legal and social framework for privacy, data mining and databases, anonymous commerce and internet usage, traffic analysis, and policy and national security considerations
6
. The course is designed to provide students with the appropriate computer science background necessary for graduate study or a professional career
2
.
The course is worth 3 points and is taught by Dr. Jae Woo Lee
2
. Students may receive credit for only one of the following two courses: 1004 or 1005
2
. The course is offered in the spring semester of 2023
2
. By the end of the course, students will have gained skills in human-computer interfaces, digital information representation, information organization and search, algorithmic problem-solving, database concepts, and programming in Python
2
3
4
6
.",,
COMPUTING IN ECONOMICS,4,Adam H Cannon,"Introduction to elementary computing concepts and Python programming with domain-specific applications. Shared CS concepts and Python programming lectures with track-specific sections. Track themes will vary but may include computing for the social sciences, computing for economics and finance, digital humanities, and more. Intended for nonmajors. Students may only receive credit for one of ENGI E1006 or COMS W1002.","The course ""Computing in Economics"" is not listed in the search results. However, there are some related courses and resources offered by Columbia University's Economics Department that can provide insight into the use of computing in economics.
The Economics Department offers a general economics major in addition to five interdisciplinary majors structured to suit the interests and professional goals of students
1
. The department also offers courses in computer science and programming, such as ""Introduction to Computer Science and Programming in Java"" and ""Introduction to Computer Science and Programming in MATLAB""
1
.
Students who are planning on pursuing research careers in economics are strongly advised to attend workshops on computing and data resources offered by the department
2
. The department also offers courses in applied statistical computing and econometrics
1
.
The course ""Applied Statistical Computing"" provides an introduction to the economics principles underlying the financial decisions of firms, including bond and stock valuations, capital budgeting, dividend policy, market efficiency, risk valuation, and risk management
1
.
The course ""Economics Seminar"" covers a range of topics in microeconomics, including consumer theory, producer theory, general equilibrium and welfare, social choice theory, game theory, and information economics
1
.
Overall, students who take courses in computing and data resources offered by Columbia University's Economics Department will learn how to apply computing skills to economics research and analysis. They will gain knowledge of statistical computing, econometrics, and financial decision-making principles. These skills and knowledge will be useful for students considering graduate work in economics or pursuing research careers in the field.",,
COMPUTING IN ART,4,Adam H Cannon,"Introduction to elementary computing concepts and Python programming with domain-specific applications. Shared CS concepts and Python programming lectures with track-specific sections. Track themes will vary but may include computing for the social sciences, computing for economics and finance, digital humanities, and more. Intended for nonmajors. Students may only receive credit for one of ENGI E1006 or COMS W1002.","The Department of Computer Science at Columbia University offers a course called ""Computing in Context"" (COMS W1002)
2
. This course is designed for non-majors and emphasizes computational methods for text analysis while teaching Python programming. The course combines lectures in basic computer science with lectures and projects applying those methods to multiple disciplines within the liberal arts, including digital humanities, social science, and econ financing. The course aims to teach students fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Python programming skills. The course is taught in the Fall semester and is worth 3 points.
The course description on the Columbia University website does not provide a detailed syllabus, but it does mention that the course will cover the following topics
2
:
Computational methods for text analysis
Basic computer science concepts
Introductory Python programming skills
The course will also include lectures and projects applying those methods to multiple disciplines within the liberal arts, including digital humanities, social science, and econ financing.
In addition to ""Computing in Context,"" Columbia University offers other courses related to computing and art. For example, the Teachers College at Columbia University offers a studio course called ""Physical Computing and Creative Coding"" (A&HA 4281)
3
. This course introduces students to the foundations of physical computing, electronics, and creative coding. Using tools such as micro-controllers, sensors, and actuators, students will develop a critical and creative eye for interactive forms of artistic expression. Weekly hands-on labs, assignments, and readings will help students gain technical proficiency with digital making.
Overall, students who take ""Computing in Context"" will learn fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Python programming skills. They will also learn how to apply these skills to multiple disciplines within the liberal arts. Students who take ""Physical Computing and Creative Coding"" will learn the foundations of physical computing, electronics, and creative coding, and will gain technical proficiency with digital making.",,
COMPUTING IN LINGUISTICS,4,Adam H Cannon,"Introduction to elementary computing concepts and Python programming with domain-specific applications. Shared CS concepts and Python programming lectures with track-specific sections. Track themes will vary but may include computing for the social sciences, computing for economics and finance, digital humanities, and more. Intended for nonmajors. Students may only receive credit for one of ENGI E1006 or COMS W1002.","After researching the course ""Computing in Linguistics"" at Columbia University, it appears that there is no specific course with that exact title. However, there are related courses and tracks that may be of interest to students interested in the intersection of linguistics and computing.
One relevant track is the Natural Language Processing (NLP) track offered by the Department of Computer Science. This track is intended for students who wish to gain expertise in NLP technologies and applications, which are of central importance in automating the analysis of text and speech databases and in enabling man-machine interactions through natural language
3
. Students in this track will develop leading-edge knowledge of these technologies and must complete at least 30 graduate credits and maintain at least a 2.7 overall GPA in order to be eligible for the MS degree in Computer Science
3
. The track includes breadth courses, elective track courses, and a project in computer science
3
. Some of the courses that may be of interest to students in this track include:
Breadth Courses:
Introduction to Computer Science and Programming in Java (COMS W1004)
Data Structures in Java (COMS W3134)
Discrete Mathematics (COMS W3203)
Spoken Language Processing (COMS 4706)
Advanced Spoken Language Processing (COMS 6998)
Fundamentals of Speech Recognition (COMS E6998.004)
One additional topics course that focuses on NLP
Elective Track Courses:
Artificial Intelligence (COMS W4771 or W4721*)
Machine Learning or Machine Learning for Data Science (COMS W4772)
Advanced Machine Learning (COMS 4995)
Projects in Computer Science (COMS E6901)
One additional topics course that focuses on NLP
Another relevant program is the MA in Applied Linguistics offered by the Teachers College. This program offers a 36-point Masters of Arts degree for students wishing to pursue research in applied linguistics
5
. The program includes general courses, track-specific courses, elective courses within Applied Linguistics and TESOL, out-of-program breadth courses, and an exit project
5
. Some of the courses that may be of interest to students in this program include:
General Courses:
Educational Linguistics
Pedagogical English grammar
Introduction to second language acquisition
Second language assessment
One language use course from a list of options
Track-Specific Courses for the MA in Applied Linguistics:
TESOL classroom practices
Practicum I: Integrated skills
Research literacy in applied linguistics and TESOL
Elective Courses:
Phonetics and phonology
Advanced syntax
Sociolinguistics and education
Discourse analysis
Conversation analysis
Text and textuality
Interactional sociolinguistics
Classroom discourse
Overall, students interested in the intersection of linguistics and computing may find relevant courses and programs at Columbia University, including the Natural Language Processing track offered by the Department of Computer Science and the MA in Applied Linguistics offered by the Teachers College. These programs offer courses in topics such as NLP technologies, speech processing, syntax, and discourse analysis, and provide opportunities for students to develop skills in programming, research, and analysis.",,
COMPUTING IN BIOLOGY,4,Adam H Cannon,"Introduction to elementary computing concepts and Python programming with domain-specific applications. Shared CS concepts and Python programming lectures with track-specific sections. Track themes will vary but may include computing for the social sciences, computing for economics and finance, digital humanities, and more. Intended for nonmajors. Students may only receive credit for one of ENGI E1006 or COMS W1002.","The Department of Computer Science at Columbia University offers a Computational Biology track as part of its Master of Science program
1
4
. The course is designed to provide students with a working knowledge of computational techniques and their applications to biological research. The course covers a range of topics, including bioinformatics, genomics, next-generation sequencing, and computational genomics
2
4
.
The course consists of required and elective courses, as well as a breadth requirement
4
. The required courses include COMS W4761 (Computational Genomics) and either COMS W4771 or SIEO W4150
4
. Students must also complete six elective points at the 6000-level, with at least three of these points selected from the list of Elective Track Courses
4
. Additionally, students must complete six credits of general elective graduate courses at the 4000 level or above, with at least three of these points being CS graduate courses
4
. Finally, all students must complete the Breadth Requirement, which involves taking courses in a range of areas, including algorithms, programming languages, and systems
4
.
The course is designed to provide students with a range of skills and knowledge in computational biology. Students will learn how to analyze high-throughput experimental data, develop computational models of biological systems, and apply these models to a range of biological problems
1
2
4
. Students will also learn how to use a range of computational tools and techniques, including machine learning, data visualization, and statistical analysis
1
2
4
.
The course includes a range of projects and assignments designed to help students develop their skills and apply their knowledge to real-world problems
1
2
4
. Students will work on projects in areas such as genome assembly, gene expression analysis, and protein structure prediction
1
2
4
. The course also includes opportunities for students to work on research projects with faculty members in the Department of Computer Science and the Center for Computational Biology and Bioinformatics
1
3
5
6
.
Overall, the Computational Biology track at Columbia University is designed to provide students with a strong foundation in computational biology and prepare them for careers in a range of fields, including biotechnology, pharmaceuticals, and academic research
1
4
.",,
INTRO-COMPUT SCI/PROG IN,3,Paul S Blaer,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.","The course ""INTRO-COMPUT SCI/PROG IN"" is a general introduction to computer science for science and engineering students interested in majoring in computer science or engineering at Columbia University
1
4
. The course covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. The course assumes no prior programming background
1
4
.
The course is designed to teach students the basics of computer science, including programming, data structures, algorithms, and software engineering principles. Students will learn how to write programs in Java, a popular programming language used in industry and academia. The course will cover topics such as variables, control structures, functions, arrays, strings, classes, objects, inheritance, polymorphism, and exception handling
4
5
.
The course will also include several programming projects that will allow students to apply the concepts they have learned in class. These projects will involve designing, implementing, testing, and debugging Java programs that solve real-world problems. The projects will be graded based on correctness, efficiency, readability, and style
5
.
By the end of the course, students will have gained a solid foundation in computer science and programming. They will have learned how to write programs in Java, how to design and implement algorithms, how to use data structures to solve problems, and how to work collaboratively on programming projects. They will also have developed skills in problem-solving, critical thinking, and logical reasoning, which are essential for success in computer science and related fields
1
4
5
.",,
COMPUTING IN ECON,COMPUTING,Adam H Cannon,,"After researching the course ""Computing in Econ"" from Columbia University, it appears that there is no specific course with that exact title. However, there are several courses related to computing and data resources in the Economics department that may be of interest to students.
The Department of Economics offers a general economics major in addition to five interdisciplinary majors structured to suit the interests and professional goals of students
3
. Students who are planning on pursuing research careers in economics are strongly advised to attend workshops on computing and data resources
2
.
Below are some courses that may be relevant to students interested in computing in economics:
COMS W1002 Computing in Context: This course is primarily intended for humanities students and provides an introduction to elementary computing concepts and Python programming with domain-specific applications. Track themes will vary but may include computing for the social sciences, computing for economics and finance, digital humanities, and more. Intended for non-majors
5
.
ECON UN3025 Financial Economics: This course covers the principles of finance and their application to financial markets. Topics include the time value of money, asset pricing models, portfolio theory, and the capital asset pricing model. Prerequisites include ECON UN1105 and ECON UN3211
5
.
ECON UN3265 Money and Banking: This course covers the principles of money and banking, including the role of money in the economy, the banking system, and the Federal Reserve System. Prerequisites include ECON UN1105 and ECON UN3211
5
.
ECON GU4280 Corporate Finance: This course provides an introduction to the economics principles underlying the financial decisions of firms. Topics covered include bond and stock valuations, capital budgeting, dividend policy, market efficiency, risk valuation, and risk management. Prerequisites include ECON UN3211 and ECON UN3213
3
.
ECON GU4412 Advanced Econometrics: This course covers advanced topics in econometrics, including panel data models, instrumental variables, and time series analysis. Prerequisites include ECON UN3211, ECON UN3213, and STAT UN1201
3
.
Overall, students who take these courses will learn skills related to computing and data analysis, as well as gain a deeper understanding of economics principles and their application to financial markets. They will also learn how to think critically and analyze data to make informed decisions.",,
COMPUTING IN ART,COMPUTING,Adam H Cannon,,"The Department of Computer Science at Columbia University offers a course called ""Computing in Context"" (COMS W1002)
2
. This course is designed for non-majors and emphasizes computational methods for text analysis while teaching Python programming. The course combines lectures in basic computer science with lectures and projects applying those methods to multiple disciplines within the liberal arts, including digital humanities, social science, and econ financing. The course aims to teach students fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Python programming skills. The course is taught in the Fall semester and is worth 3 points.
The course description on the Columbia University website does not provide a detailed syllabus, but it does mention that the course will cover the following topics
2
:
Computational methods for text analysis
Basic computer science concepts
Introductory Python programming skills
The course will also include lectures and projects applying those methods to multiple disciplines within the liberal arts, including digital humanities, social science, and econ financing.
In addition to ""Computing in Context,"" Columbia University offers other courses related to computing and art. For example, the Teachers College at Columbia University offers a studio course called ""Physical Computing and Creative Coding"" (A&HA 4281)
3
. This course introduces students to the foundations of physical computing, electronics, and creative coding. Using tools such as micro-controllers, sensors, and actuators, students will develop a critical and creative eye for interactive forms of artistic expression. Weekly hands-on labs, assignments, and readings will help students gain technical proficiency with digital making.
Overall, students who take ""Computing in Context"" will learn fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Python programming skills. They will also learn how to apply these skills to multiple disciplines within the liberal arts. Students who take ""Physical Computing and Creative Coding"" will learn the foundations of physical computing, electronics, and creative coding, and will gain technical proficiency with digital making.",,
COMPUTATIONAL LINGUISTICS,COMPUTING,Adam H Cannon,,"After researching the course ""Computational Linguistics"" from Columbia University, it appears that there is no course with that exact name. However, there are related courses and tracks that cover topics in computational linguistics and natural language processing (NLP). Here is a summary of the relevant information found in the search results:
The Linguistics department at Columbia College offers an ""Introduction to Linguistics"" course, which covers the scientific study of language
1
.
The Business School at Columbia University offers a course called ""Natural Language Processing,"" which introduces students to NLP and its applications in finance. The course covers a wide range of NLP topics, including language models, text classification, tagging, dependency parsing, topic modeling, word embeddings, transformers, coreference resolution, named entity recognition, and sentiment analysis. Students will also learn about machine learning approaches used in NLP, such as neural networks. The course includes guided lab sessions where students will gain practical experience implementing NLP methods in Python. By the end of the course, students will be able to implement the knowledge gained in their own research work
2
.
The Computer Science department at Columbia University offers a Natural Language Processing track for students who wish to gain expertise in NLP technologies and applications. NLP technologies are important for automating the analysis of text and speech databases and enabling man-machine interactions through natural language. The track requires students to complete at least 30 graduate credits, including breadth courses, required track courses, elective track courses, and general electives. Required track courses include ""NLP,"" ""Spoken Language Processing,"" and ""Advanced NLP Topics."" Elective track courses include courses such as ""User Interface Design"" and ""Introduction to Computational Learning Theory."" Students will also need to complete a qualifying exam
3
.
The Applied Linguistics & TESOL program at Teachers College, Columbia University offers a course called ""Comparative Linguistic Analysis,"" which examines major approaches to linguistic analysis, including systematic and transformational approaches
4
.
The Computer Science Master's Degree - Natural Language Processing program at Columbia University is an online program that requires students to complete at least 30 points of graduate coursework. The program includes breadth courses, required track courses, track electives, and general electives. Required track courses include ""NLP,"" ""Spoken Language Processing,"" and ""Advanced NLP Topics."" Students will also need to complete a qualifying exam. Examples of computer science courses that can count towards the program include ""Intro to Computer Science,"" ""Advanced Programming,"" ""Data Structures and Algorithms,"" and ""Discrete Math""
5
.
Overall, students who take courses or tracks related to computational linguistics and NLP at Columbia University can expect to learn about the scientific study of language, NLP technologies and applications, machine learning approaches used in NLP, and major approaches to linguistic analysis. They will also gain practical experience implementing NLP methods in Python and may need to complete a qualifying exam.",,
COMPUTING IN BIOLOGY,COMPUTING,Adam H Cannon,,"The Department of Computer Science at Columbia University offers a Computational Biology track as part of its Master of Science program
1
4
. The course is designed to provide students with a working knowledge of computational techniques and their applications to biological research. The course covers a range of topics, including bioinformatics, genomics, next-generation sequencing, and computational genomics
2
4
.
The course consists of required and elective courses, as well as a breadth requirement
4
. The required courses include COMS W4761 (Computational Genomics) and either COMS W4771 or SIEO W4150
4
. Students must also complete six elective points at the 6000-level, with at least three of these points selected from the list of Elective Track Courses
4
. Additionally, students must complete six credits of general elective graduate courses at the 4000 level or above, with at least three of these points being CS graduate courses
4
. Finally, all students must complete the Breadth Requirement, which involves taking courses in a range of areas, including algorithms, programming languages, and systems
4
.
The course is designed to provide students with a range of skills and knowledge in computational biology. Students will learn how to analyze high-throughput experimental data, develop computational models of biological systems, and apply these models to a range of biological problems
1
2
4
. Students will also learn how to use a range of computational tools and techniques, including machine learning, data visualization, and statistical analysis
1
2
4
.
The course includes a range of projects and assignments designed to help students develop their skills and apply their knowledge to real-world problems
1
2
4
. Students will work on projects in areas such as genome assembly, gene expression analysis, and protein structure prediction
1
2
4
. The course also includes opportunities for students to work on research projects with faculty members in the Department of Computer Science and the Center for Computational Biology and Bioinformatics
1
3
5
6
.
Overall, the Computational Biology track at Columbia University is designed to provide students with a strong foundation in computational biology and prepare them for careers in a range of fields, including biotechnology, pharmaceuticals, and academic research
1
4
.",,
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.","The Emerging Scholars Program (ESP) at Columbia University is a peer-led workshop designed to encourage talented students to stay in the computer science major after introductory classes
4
. The course is a 1-point, pass/fail, semester-long program that concentrates on the collaborative and problem-solving aspects of computer science
2
. The course is intended for first-year SEAS students
2
. The course is a once-a-week, 75-minute workshop and discussion section that can be taken in parallel with the introductory computer science course
1
. The course is taught by Adam H. Cannon, who is also the instructor for Computing in Context
2
.
The course is designed to give students an extra opportunity to explore computer science-related topics and fields
2
. The course content includes team-oriented projects, student presentations, and in-class participation
3
. The course aims to show students that computer science is a collaborative field and to help them develop the skills necessary to work effectively in teams
4
.
The course syllabus is not available in the search results, but it is clear that students will learn the following skills, knowledge, and abilities:
Collaborative problem-solving skills
Teamwork skills
Presentation skills
In-depth knowledge of computer science-related topics and fields
Overall, the Emerging Scholars Program at Columbia University is a course designed to help talented students stay in the computer science major after introductory classes by providing them with an extra opportunity to explore computer science-related topics and fields, develop collaborative problem-solving and teamwork skills, and gain in-depth knowledge of computer science.",,
OBSERVABILITY,1,"Shoaib Ahamed, Emily Stolfo","Prerequisites: Fluency in at least one programming language. Introduction to software development tools and environments. Each section devoted to a specific tool or environment. One-point sections meet for two hours each week for half a semester, and two point sections include an additional two-hour lab.","Unfortunately, none of the search results provide information about a course called ""Observability"" at Columbia University. It is possible that the course is not offered or that it is a new course that has not yet been added to the university's course catalog. Without more information, it is not possible to summarize the description of the course or its syllabus.",,
FULL STACK WEB DEVELOP,1,"Shoaib Ahamed, Emily Stolfo","Prerequisites: Fluency in at least one programming language. Introduction to software development tools and environments. Each section devoted to a specific tool or environment. One-point sections meet for two hours each week for half a semester, and two point sections include an additional two-hour lab.","The Columbia Engineering Coding Boot Camp offers a course in Full Stack Web Development that teaches specialized skills for web development
1
. The course covers a full-stack curriculum that includes HTML5, CSS3, JavaScript, jQuery, Express.js, React.js, Node.js, progressive web apps, agile methodology, computer science, database theory, MongoDB, MySQL, Git, and more
1
. The course is designed to be completed in either 12 or 24 weeks, with classes beginning quarterly
1
. Students can study part-time while maintaining their work schedule or study at an accelerated pace through the full-time format
1
.
The course is divided into two phases: Foundation and Application
1
. The Foundation phase equips students with the fundamental concepts of web development, including HTML, CSS, and JavaScript
1
. The Application phase builds on the Foundation phase and covers more advanced topics such as React, Node.js, and MongoDB
1
.
Throughout the course, students will work on several projects to build their portfolio, including a personal portfolio, a group project, and a final project
1
. The final project is a culmination of the skills learned throughout the course and is designed to showcase the student's abilities to potential employers
1
.
By the end of the course, students will have gained in-demand full-stack development skills, including JavaScript, databases like MySQL and MongoDB, progressive web applications, browser-based technologies, deployment/command-line fundamentals, and API interactions
1
. They will also have learned agile methodology, computer science, and database theory
1
.
In summary, the Full Stack Web Development course at Columbia University covers a comprehensive curriculum that includes both front-end and back-end web development skills. Students will work on several projects throughout the course to build their portfolio and showcase their abilities to potential employers. By the end of the course, students will have gained in-demand skills and knowledge in full-stack web development, agile methodology, computer science, and database theory.",,
Clean Object-Oriented Des,3,John R Kender,"A course in designing, documenting, coding, and testing robust computer software, according to object-oriented design patterns and clean coding practices. Taught in Java.Object-oriented design principles include: use cases; CRC; UML; javadoc; patterns (adapter, builder, command, composite, decorator, facade, factory, iterator, lazy evaluation, observer, singleton, strategy, template, visitor); design by contract; loop invariants; interfaces and inheritance hierarchies; anonymous classes and null objects; graphical widgets; events and listeners; Java's Object class; generic types; reflection; timers, threads, and locks.","Clean Object-Oriented Design is a course offered at Columbia University that teaches students how to design, document, code, and test robust computer software according to object-oriented design patterns and clean coding practices
2
. The course is taught in Java and covers a range of topics related to object-oriented design principles, including use cases, CRC, UML, javadoc, patterns (adapter, builder, command, composite, decorator, facade, factory, iterator, lazy evaluation, observer, singleton, strategy, template, visitor), design by contract, loop invariants, interfaces, and inheritance hierarchies
3
.
The course is designed for students who have already taken an introductory programming course in Java (COMS W1004) or have the instructor's permission. Students who have already received credit for COMS W1007 may not take the course for credit
3
.
The course is taught by John Kender, and the syllabus includes two lectures per week, as well as assignments and projects
1
. The course aims to teach students how to improve their design skills and create robust software using object-oriented design patterns and clean coding practices
1
.
Overall, students who take this course will learn the following skills, knowledge, and abilities:
How to design, document, code, and test robust computer software according to object-oriented design patterns and clean coding practices
How to use Java to implement object-oriented design principles, including use cases, CRC, UML, javadoc, patterns, design by contract, loop invariants, interfaces, and inheritance hierarchies
How to improve their design skills and create robust software using object-oriented design patterns and clean coding practices.",,
DATA STRUCTURES IN JAVA,3,Brian Borowski,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.","COMS W3134 - Data Structures in Java is a course offered by Columbia University that introduces fundamental ways of algorithmic problem-solving by organizing and processing information efficiently
1
. The course covers basic data types and structures such as arrays, linked lists, stacks, queues, trees, sets, maps, and graphs, as well as programming techniques and algorithms that operate on them, such as sorting, searching, hashing, and finding shortest paths
1
3
. The course also covers the rudiments of analyzing space and time requirements of algorithms
1
.
The course is designed for students who have some experience with Object-Oriented Programming in Java
1
3
. The course is taught by Zeynep Ejder, Ken Aizawa, Lilly Wang, Anna Lawson, Evan Tarrh, Javier Llaca, Ruicong Xie, Linan, Joshua Keough, Martin Ong, Nick Mariconda, and Harsha Vemuri
1
.
The course is graded based on the following components
1
:
50% - 7 homework assignments (weakest dropped)
20% - Midterm Exam (in-class, tentative dates: 10/28, 10/29)
25% - Final Exam (12/16 or 12/22)
5% - Participation (class attendance, activity on Piazza)
The required textbook for the course is ""Data Structures and Algorithm Analysis in Java"" by Mark Allen Weiss
1
. The textbook is available at the Columbia Bookstore and from other book sellers. The course also has a Piazza page for class discussion and announcements
1
.
Students who take this course will learn the following skills, knowledge, and abilities
1
3
:
Fundamental ways of algorithmic problem-solving
Organizing and processing information efficiently
Basic data types and structures such as arrays, linked lists, stacks, queues, trees, sets, maps, and graphs
Programming techniques and algorithms that operate on data structures
Analyzing space and time requirements of algorithms
Object-Oriented Programming in Java
Overall, the course provides a comprehensive introduction to data structures and algorithms in Java, and is suitable for students who want to learn how to solve algorithmic problems efficiently.",,
ESSENTIAL DATA STRUCTURES,4,Timothy K Paine,"Prerequisites: (COMS W1004) or (COMS W1005) or (COMS W1007) or (ENGI E1006) A second programming course intended for nonmajors with at least one semester of introductory programming experience. Basic elements of programming in C and C++, arraybased data structures, heaps, linked lists, C programming in UNIX environment, object-oriented programming in C++, trees, graphs, generic programming, hash tables. Due to significant overlap, students may only receive credit for either COMS W3134, W3136, or W3137.","The course ""Essential Data Structures in C/C++"" is offered at Columbia University
1
. The course is designed to teach students the fundamental data structures and algorithms that are essential for computer science. The course is taught in C/C++ and focuses on programming with data structures, not mathematical analysis
4
. The course covers the following topics:
Review of basic data structures and mathematical tools
Priority queues
Binary search trees
Balanced search trees
Hash tables
Graphs
Sorting algorithms
Searching algorithms
The course is designed to be hands-on, with students working on programming assignments and projects throughout the semester. The course load and assignments are challenging, and students are expected to have a solid foundation in programming before taking the course
2
. The course is not designed for beginners, and students are expected to have experience in Java or another programming language before taking the course
2
.
The course is designed to teach students the following skills, knowledge, and abilities:
Understanding of fundamental data structures and algorithms
Ability to implement data structures and algorithms in C/C++
Ability to analyze the efficiency of algorithms using Big O notation
Ability to solve computation problems and communicate that solutions are correct and efficient
Ability to work on programming assignments and projects in a team
Overall, the course is designed to provide students with a strong foundation in data structures and algorithms that will be useful in a wide range of computer science applications.",,
ADVANCED PROGRAMMING,4,Jae W Lee,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.","COMS 3157 Advanced Programming is an introductory systems programming course offered by Columbia University
3
. The course is designed to teach students how to write complex programs in C and C++, with a focus on systems programming in the UNIX environment
2
. The course is taught by John Hui and is offered in the Fall semester
1
.
The course covers a range of topics related to systems programming, including:
UNIX programming: This includes topics such as file I/O, processes, signals, and sockets
2
.
Memory management: This includes topics such as dynamic memory allocation, garbage collection, and memory leaks
2
.
Concurrency: This includes topics such as threads, locks, and synchronization
2
.
Debugging and profiling: This includes topics such as gdb, valgrind, and strace
2
.
Makefiles and build systems: This includes topics such as make, autotools, and cmake
2
.
The course also includes several programming projects, which are designed to give students hands-on experience with systems programming. These projects include:
Project 0: This is a warm-up project that involves writing a simple C program
2
.
Project 1: This project involves writing a program that simulates a shell
2
.
Project 2: This project involves writing a program that implements a simple HTTP server
2
.
Project 3: This project involves writing a program that implements a simple distributed file system
2
.
Through these projects, students will learn how to write complex programs in C and C++, as well as how to work with the UNIX environment and various systems programming tools
2
. They will also develop skills in debugging, profiling, and memory management, which are essential for writing high-quality software
2
. By the end of the course, students will have a solid foundation in systems programming and will be well-prepared for more advanced courses in computer science
6
.",,
DISCRETE MATHEMATICS,4,Tony B Dear,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).","Discrete Mathematics is a course offered at Columbia University that serves as a bridge between introductory computer science theory and higher-level logic and math-intensive computer science material, especially computability and algorithms
2
. The course is an introductory class in Discrete Mathematics with two primary goals: to teach fundamental discrete math concepts and to teach how to write proofs
1
. The course is designed for students who have taken an introductory course in computer programming and have a background in high school mathematics
4
.
The course covers topics such as logic and formal proofs, sequences and summation, set theory, number theory, graph theory, and combinatorics
3
. Students will learn fundamental and rigorous ideas underlying discrete mathematics, such as theorems, proofs, and propositional logic, and will be able to apply these concepts to solve problems in computer science and other fields
5
. The course also emphasizes the development of problem-solving skills and the ability to write clear and concise proofs
2
.
The course is taught through lectures, assignments, and projects. Lecture notes are available online
1
. Assignments are designed to reinforce the concepts taught in class and to develop problem-solving skills. Projects are designed to give students the opportunity to apply the concepts they have learned to real-world problems
2
. The course culminates in a final project that requires students to apply the concepts they have learned to a problem of their choice
5
.
Overall, students who take Discrete Mathematics at Columbia University will gain a strong foundation in discrete math concepts and problem-solving skills, as well as the ability to write clear and concise proofs. They will be able to apply these skills to solve problems in computer science and other fields.",,
