Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Latest research in the field,Students will be exposed to and analyze research papers to stay updated with the latest advancements in intrusion detection systems.,INTRUSION DETECTION SYSTEMS,3.0,,Research
Federal regulations,Students will learn about relevant regulations and compliance requirements related to intrusion detection and prevention.,INTRUSION DETECTION SYSTEMS,3.0,,Federal regulations
Behavior of attackers,Students will gain knowledge about creating models of attackers and their behavior to identify and prevent future attacks.,INTRUSION DETECTION SYSTEMS,3.0,,Behavior of attackers
Database design,Students will learn how to design databases to store and manage intrusion detection system data effectively.,INTRUSION DETECTION SYSTEMS,3.0,,Database design
XML,Students will learn about XML and its use in storing and exchanging data related to intrusion detection systems.,INTRUSION DETECTION SYSTEMS,3.0,,SQL
Computational Complexity Theory,"Students will gain knowledge of the theoretical foundations of computational complexity, including NP-hardness, reductions, and fine-grained complexity.",ANALYSIS OF ALGORITHMS II,3.0,,Algorithm Design and Analysis
Machine Learning,"Students will learn the theoretical foundations of machine learning, including PAC learning, VC dimension, boosting, online learning, kernel methods, and support vector machines.",ANALYSIS OF ALGORITHMS II,3.0,,Supervised learning techniques
Data Science Algorithms,"Students will acquire knowledge of algorithms and data structures commonly used in data science applications, such as hashing, sketching, streaming, nearest neighbor search, and graph algorithms.",ANALYSIS OF ALGORITHMS II,3.0,,Algorithm Design and Analysis
Models of Computation,Students will learn about different models of computation and their implications in designing efficient algorithms.,ANALYSIS OF ALGORITHMS II,3.0,,Models of Computation
Circuit Complexity and Communication Complexity,"Students will gain knowledge of advanced topics in computational complexity theory, including circuit complexity and communication complexity.",ANALYSIS OF ALGORITHMS II,3.0,,Circuit Complexity and Communication Complexity
3D modeling,Students will learn the principles and techniques of creating 3D models.,VIRTUAL AND AUGMENTED REALITY,3.0,,3D graphics
Lighting and shading,Students will acquire knowledge of lighting and shading techniques to enhance the visual quality of 3D graphics.,VIRTUAL AND AUGMENTED REALITY,3.0,,Lighting and shading
Virtual environments,Students will gain knowledge of virtual environments and their applications in studying spatial cognition.,VIRTUAL AND AUGMENTED REALITY,3.0,,Virtualization tools
Haptic feedback,Students will learn about haptic feedback and its role in enhancing user experience in 3D user interfaces.,VIRTUAL AND AUGMENTED REALITY,3.0,,Mobile human-to-computer interaction (HCI)
Multimodal interfaces,"Students will acquire knowledge of designing interfaces that incorporate multiple modes of interaction, such as gesture and voice recognition.",VIRTUAL AND AUGMENTED REALITY,3.0,,Mobile human-to-computer interaction (HCI)
Natural language processing,"Students will gain knowledge about the field of natural language processing, including its fundamental concepts, techniques, and applications.",NATURAL LANG GEN SUMMARIZ,3.0,,Applying neural networks to computer vision and natural language processing
Summarization,"Students will learn about different approaches and algorithms used for summarizing text, enabling them to condense information effectively.",NATURAL LANG GEN SUMMARIZ,3.0,,Analysis
Natural language generation,"Students will acquire knowledge about generating natural language, including techniques for producing coherent and contextually appropriate text.",NATURAL LANG GEN SUMMARIZ,3.0,,Language generation
Analysis of social media,"Students will learn about methods and tools for analyzing social media data, understanding user behavior, and extracting valuable insights.",NATURAL LANG GEN SUMMARIZ,3.0,,Analysis
Controllable language generation,"Students will gain knowledge about techniques for controlling the output of language models, allowing them to generate text with specific attributes or styles.",NATURAL LANG GEN SUMMARIZ,3.0,,Language generation
Blockchain technologies,Students will gain knowledge of the underlying principles and concepts of blockchain technology.,ENGR WEB3 BLOCKCHAIN APPS,3.0,,Blockchain development
Consensus algorithms,Students will learn about different consensus algorithms used in blockchain networks.,ENGR WEB3 BLOCKCHAIN APPS,3.0,,Consensus algorithms
Decentralized applications,Students will understand the architecture and design principles of decentralized applications.,ENGR WEB3 BLOCKCHAIN APPS,3.0,,Distributed operating systems
Ethereum and Solidity programming,Students will gain knowledge of Ethereum blockchain and how to write smart contracts using Solidity.,ENGR WEB3 BLOCKCHAIN APPS,3.0,,Smart contract programming
Web3.js and front-end development,Students will learn about Web3.js library and its use in building front-end interfaces for blockchain applications.,ENGR WEB3 BLOCKCHAIN APPS,3.0,,Front-end development using Web3.js
Mobile computing research,Students will gain knowledge of key principles and current research trends in the field of mobile computing.,TOPICS IN MOBILE X,3.0,,Mobile sensing
Wireless communication principles,Students will learn about the principles and practices of wireless communication systems.,TOPICS IN MOBILE X,3.0,,Secure wireless networks
Mobile application development,Students will acquire knowledge of the process and best practices for developing mobile applications.,TOPICS IN MOBILE X,3.0,,Mobile programming
Mobile device constraints,"Students will understand the limitations and challenges of mobile devices in terms of form factor, energy, and computation power.",TOPICS IN MOBILE X,3.0,,Mobile programming
Mobile security practices,Students will learn about the best practices and techniques for securing mobile devices and networks.,TOPICS IN MOBILE X,3.0,,Mobile sensing
Dimensions of language design,Students will acquire knowledge about the various aspects and considerations involved in designing programming languages.,READINGS LANGUAGE DESIGN,3.0,,Dimensions of language design
Classical design papers,"Students will learn about influential papers in the field of language design, gaining knowledge about the historical development and key ideas in this area.",READINGS LANGUAGE DESIGN,3.0,,Classical design papers
Regression and classification,"Students will acquire knowledge of regression and classification techniques, understanding the principles and algorithms behind these methods.",HIGH PERF MACH LEARNING,3.0,,Supervised learning techniques
Probability and statistics,Students will need a solid understanding of probability and statistics to effectively apply machine learning algorithms and interpret their results.,HIGH PERF MACH LEARNING,3.0,,Econometrics
Calculus,Knowledge of calculus is necessary for understanding the optimization algorithms used in machine learning and for analyzing the performance of models.,HIGH PERF MACH LEARNING,3.0,,Calculus
Linear algebra,"Students will learn linear algebra concepts, such as matrix operations and eigenvectors, which are fundamental for understanding and implementing machine learning algorithms.",HIGH PERF MACH LEARNING,3.0,,Linear algebra
Machine learning concepts,"Students will gain knowledge of essential machine learning concepts, including supervised and unsupervised learning, model evaluation, and model selection.",HIGH PERF MACH LEARNING,3.0,,Supervised learning techniques
Anatomy of speech,Students will learn about the structure and functioning of the human speech system.,FUND SPEECH RECOGNITION,3.0,,Anatomy of speech
Signal representation,Students will gain knowledge about different methods of representing speech signals.,FUND SPEECH RECOGNITION,3.0,,Communication
Phonetics and phonology,Students will learn about the sounds and sound patterns of human language.,FUND SPEECH RECOGNITION,3.0,,Phonetics and phonology
Probability theory and statistics,Students will acquire knowledge of probability theory and statistical methods used in speech recognition.,FUND SPEECH RECOGNITION,3.0,,Econometrics
Hidden Markov modeling,Students will learn about the theory and application of hidden Markov models in speech recognition.,FUND SPEECH RECOGNITION,3.0,,Hidden Markov modeling
Cloud computing systems,Students will acquire knowledge about the architecture and functioning of cloud computing systems.,CLOUD COMPUTING & BIG DATA,3.0,,Cloud computing
Big data systems,Students will learn about the design and implementation of big data systems.,CLOUD COMPUTING & BIG DATA,3.0,,Cloud computing
Cloud security,Students will gain knowledge about the security challenges and measures in cloud computing.,CLOUD COMPUTING & BIG DATA,3.0,,Cloud computing
Data privacy,Students will understand the importance of data privacy in cloud computing and big data systems.,CLOUD COMPUTING & BIG DATA,3.0,,Data Privacy Analysis
Network security,Students will learn about network security practices in cloud computing environments.,CLOUD COMPUTING & BIG DATA,3.0,,Network analysis
Climate models,Students will acquire knowledge about climate models and their applications in understanding climate patterns and predicting extreme weather events.,MACHINE LEARNING &CLIMATE,3.0,,Climate science
Carbon cycle,"Students will learn about the carbon cycle and its role in climate change, including the sources and sinks of carbon dioxide.",MACHINE LEARNING &CLIMATE,3.0,,Carbon cycle
Extreme weather events,Students will gain knowledge about extreme weather events and how machine learning techniques can be applied to predict and analyze them.,MACHINE LEARNING &CLIMATE,3.0,,Climate science
Data interpretation,Students will learn how to interpret climate-related data and extract meaningful insights using machine learning techniques.,MACHINE LEARNING &CLIMATE,3.0,,Data processing
Machine learning applications,"Students will acquire knowledge about the application of machine learning techniques in climate science, such as analyzing satellite data and modeling the carbon cycle.",MACHINE LEARNING &CLIMATE,3.0,,Applying neural networks to computer vision and natural language processing
Human-centered design principles,Students will learn about the principles of human-centered design and how to apply them in web development. This knowledge is selected because it provides a foundation for creating user-friendly and intuitive websites.,ADV WEB DESIGN STUDIO,3.0,,Mobile human-to-computer interaction (HCI)
Web application concepts,"Students are expected to have knowledge of web application concepts, which includes understanding how web applications work and their components. This knowledge is selected because it is essential for effective web development.",ADV WEB DESIGN STUDIO,3.0,,Progressive web applications
Fundamentals of information diffusion,Students will acquire knowledge about the principles and mechanisms of information diffusion in networked applications.,ANALYSIS OF NETWORKS & CROWDS,3.0,,Fundamentals of information diffusion
Incentives in networked applications,Students will learn about the role of incentives in shaping behavior and decision-making in networked environments.,ANALYSIS OF NETWORKS & CROWDS,3.0,,Networking and authentication for enterprise apps
Structural concepts in network analysis,"Students will gain knowledge about various structural concepts in network analysis, such as random graphs, small world, weak ties, and cluster modularity.",ANALYSIS OF NETWORKS & CROWDS,3.0,,Network analysis
Link prediction and network formation,Students will acquire knowledge about predicting links in networks and the process of network formation.,ANALYSIS OF NETWORKS & CROWDS,3.0,,Link prediction and network formation
Spread of epidemic,Students will learn about the spread of epidemics in networked populations and the factors influencing their dynamics.,ANALYSIS OF NETWORKS & CROWDS,3.0,,Spread of epidemic
Computational models,"Students will learn how to think of massive datasets in terms of computational models, including streaming models, communication models, and distributed models. This knowledge is selected because it provides a framework for understanding and analyzing large datasets.",ALGORITHMS FOR MASSIVE DATA,3.0,,Models of Computation
Database design,Students will learn how to design a database. This knowledge is selected because it is essential for organizing and managing large datasets.,ALGORITHMS FOR MASSIVE DATA,3.0,,Database design
MapReduce and its variants,"Students will learn how to use MapReduce and its variants, including Hadoop and Spark, to process large datasets. This knowledge is selected because it involves understanding a specific technology used for big data processing.",ALGORITHMS FOR MASSIVE DATA,3.0,,MapReduce and its variants
Communication complexity,Students will learn about communication complexity and its applications to distributed computing and data analysis. This knowledge is selected because it provides insights into the challenges and considerations of working with distributed systems.,ALGORITHMS FOR MASSIVE DATA,3.0,,Circuit Complexity and Communication Complexity
Online learning,"The course will cover online learning algorithms for problems such as linear regression, logistic regression, and matrix factorization. This knowledge is selected because it involves understanding algorithms used for online data processing and analysis.",ALGORITHMS FOR MASSIVE DATA,3.0,,Online learning
Formal methods,"Students will acquire knowledge about mathematically based techniques for the specification, development, and verification of software and hardware systems.",FORMAL VERIFICATION SYSTEM SW,3.0,,Formal methods
Software reliability,"Students will learn about techniques for improving the reliability of computer systems, applicable to both software and hardware.",FORMAL VERIFICATION SYSTEM SW,3.0,,Software verification
Verification techniques,"Students will gain knowledge about various verification techniques, such as linearizability and information-flow security.",FORMAL VERIFICATION SYSTEM SW,3.0,,Application of cryptographic techniques
System software,Students will acquire knowledge about the design and analysis of correct (bug-free) hardware and software systems.,FORMAL VERIFICATION SYSTEM SW,3.0,,Software verification
Research in system software verification,Students will learn about current research trends and advancements in the field of system software verification.,FORMAL VERIFICATION SYSTEM SW,3.0,,Software verification
Algebraic techniques,Students will gain a deep understanding of algebraic techniques in computer science.,ALGEBRAIC TECHNIQUES IN TCS,3.0,,Linear algebra
Polynomial-time algorithms,"Students will learn about polynomial-time algorithms for linear systems, matrix multiplication, and graph algorithms.",ALGEBRAIC TECHNIQUES IN TCS,3.0,,Consensus algorithms
Computational complexity,"Students will study the computational complexity of algebraic problems, including the polynomial hierarchy, algebraic circuits, and the complexity of matrix multiplication.",ALGEBRAIC TECHNIQUES IN TCS,3.0,,Circuit Complexity and Communication Complexity
Coding theory,"Students will learn about the use of algebraic techniques in coding theory, including error-correcting codes and secret sharing schemes.",ALGEBRAIC TECHNIQUES IN TCS,3.0,,Coding theory
Cryptography,"Students will explore the use of algebraic techniques in cryptography, including homomorphic encryption.",ALGEBRAIC TECHNIQUES IN TCS,3.0,,Application of cryptographic techniques
Role of causality in AI,Students will understand the importance of causality in developing trustworthy AI systems.,CAUSAL TRUSTWORTHY AI,3.0,,Causal modeling
Limitations of current AI models,Students will gain knowledge about the limitations of existing AI models and the need for trustworthy AI systems.,CAUSAL TRUSTWORTHY AI,3.0,,Limitations of current AI models
Counterfactual inference,Students will learn about counterfactual inference methods and their relevance in AI systems.,CAUSAL TRUSTWORTHY AI,3.0,,Causal inference
Data-driven fields,Students will gain knowledge about the application of causal methods in data-driven fields such as health and social sciences.,CAUSAL TRUSTWORTHY AI,3.0,,Behavior-driven development
Trustworthiness of AI models,Students will develop knowledge about the factors that contribute to the trustworthiness of AI models.,CAUSAL TRUSTWORTHY AI,3.0,,Trustworthiness of AI models
"Essential cloud services for web applications, cloud programming, virtualization, containers, Kubernetes, and micro-services","Students will acquire knowledge of essential cloud services and technologies used in web applications, cloud programming, virtualization, containers, Kubernetes, and micro-services.",TOPICS CLOUD COMPUTING,3.0,,Cloud computing
Building blocks in the design of large-scale applications,Students will learn about the foundational components and concepts involved in designing large-scale applications.,TOPICS CLOUD COMPUTING,3.0,,Understand the underlying principles and building blocks in the design of such large-scale applications
Performance evaluation of machine learning and deep learning systems,Students will gain knowledge of techniques and methodologies for evaluating the performance of machine learning and deep learning systems.,TOPICS CLOUD COMPUTING,3.0,,Performance evaluation of machine learning and deep learning systems
"Stacks used in building extremely large-scale systems, such as Kafka for event logging and handling, Spark and Spark streaming for large-scale compute, Elastic","Students will learn about the various technology stacks used in constructing large-scale systems, including Kafka, Spark, and Elastic.",TOPICS CLOUD COMPUTING,3.0,,"Stacks used in building extremely large-scale systems, such as Kafka for event logging and handling, Spark and Spark streaming for large-scale compute, Elastic"
Cloud computing and big data systems,"Students will develop a comprehensive understanding of cloud computing and big data systems, including their architecture, principles, and applications.",TOPICS CLOUD COMPUTING,3.0,,Cloud computing
Property testing theory,Students will acquire a deep understanding of the theory and practice of property testing.,INTRO PROPERTY TESTING,3.0,,Property testing theory
Introduction to property testing,"Students will learn the definition, history, and main results and techniques of property testing.",INTRO PROPERTY TESTING,3.0,,Introduction to property testing
Testing Boolean functions,"Students will learn about testing monotonicity, testing juntas, and testing linearity.",INTRO PROPERTY TESTING,3.0,,Testing Boolean functions
Testing graph properties,"Students will gain knowledge about testing connectivity, testing bipartiteness, and testing expansion.",INTRO PROPERTY TESTING,3.0,,Testing graph properties
Lower bounds in property testing,"Students will learn about the query complexity, communication complexity, and hardness of approximation in property testing.",INTRO PROPERTY TESTING,3.0,,Lower bounds in property testing
Differential Privacy,Students will gain knowledge about the concept of differential privacy and its applications in protecting sensitive data.,FOUNDATIONS DATA PRIVACY,3.0,,Data Privacy Analysis
K-Anonymity,Students will learn about k-anonymity and its role in preserving privacy in datasets.,FOUNDATIONS DATA PRIVACY,3.0,,Legal aspects of anonymity and privacy
L-Diversity,Students will acquire knowledge about l-diversity and its significance in ensuring privacy in data sets.,FOUNDATIONS DATA PRIVACY,3.0,,L-Diversity
Mathematical Foundations of Data Privacy,Students will learn the mathematical principles underlying data privacy techniques.,FOUNDATIONS DATA PRIVACY,3.0,,Data Privacy Analysis
Recent Research in Data Privacy,Students will stay updated with the latest research and advancements in the field of data privacy.,FOUNDATIONS DATA PRIVACY,3.0,,Data Privacy Analysis
Internet traffic measurement,Students will learn about the methods and techniques used to measure Internet traffic.,INTERNET MEASUREMENT,3.0,,Network analysis
Network performance,Students will gain knowledge about analyzing and evaluating the performance of computer networks.,INTERNET MEASUREMENT,3.0,,Network analysis
Traffic analysis,Students will learn about analyzing and interpreting data related to Internet traffic.,INTERNET MEASUREMENT,3.0,,Network analysis
Security,Students may acquire knowledge about the security aspects of Internet traffic and how to identify potential threats.,INTERNET MEASUREMENT,3.0,,Protection and security
Data collection,Students will learn about collecting and managing data related to Internet traffic measurement and analysis.,INTERNET MEASUREMENT,3.0,,Data processing
Application layer protocols,"Students will learn about the various protocols used in the application layer of computer networks, such as HTTP, FTP, and DNS.",ADV COMPUTER NETWORKS,3.0,,Application layer protocols
Transport layer protocols,"Students will acquire knowledge about the protocols used in the transport layer, including TCP and UDP.",ADV COMPUTER NETWORKS,3.0,,Transport layer protocols
Big data,Students will gain knowledge about big data and its implications.,MACHINE LEARNING DATASETS,3.0,,Data visualization
Artificial intelligence,Students will learn about artificial intelligence and its applications.,MACHINE LEARNING DATASETS,3.0,,AI system deployment
Internet of things,Students will gain knowledge about the internet of things and its impact on data.,MACHINE LEARNING DATASETS,3.0,,Cloud computing
Cloud computing,Students will learn about cloud computing and its role in data management.,MACHINE LEARNING DATASETS,3.0,,Cloud computing
Data ethics,Students will gain knowledge about ethical considerations in handling and analyzing data.,MACHINE LEARNING DATASETS,3.0,,Data Privacy Analysis
Database concepts,"Students will acquire knowledge about the principles and concepts of databases, including data modeling, querying, and management.",INTRO TO INFORMATION SCIE,3.0,,Database design
Privacy and data mining,"Students will learn about the legal and social framework surrounding privacy, data mining, and the ethical considerations involved.",INTRO TO INFORMATION SCIE,3.0,,Data Privacy Analysis
Internet usage and anonymous commerce,"Students will gain knowledge about internet usage, anonymous commerce, and the associated challenges and policies.",INTRO TO INFORMATION SCIE,3.0,,Legal aspects of anonymity and privacy
Traffic analysis,Students will understand the techniques and methods used for analyzing internet traffic and its implications.,INTRO TO INFORMATION SCIE,3.0,,Network analysis
Policy and national security considerations,Students will learn about the policy and national security aspects related to information science and technology.,INTRO TO INFORMATION SCIE,3.0,,Ethical Considerations
Economics principles,Students will gain knowledge of the principles underlying economic analysis and decision-making.,COMPUTING IN ECONOMICS,4.0,,Econometrics
Statistical methods,Students will learn various statistical methods and techniques used in economics research and analysis.,COMPUTING IN ECONOMICS,4.0,,Statistical frameworks and methods
Microeconomics,"Students will acquire knowledge of microeconomic concepts, including consumer theory, producer theory, general equilibrium and welfare, social choice theory, game theory, and information economics.",COMPUTING IN ECONOMICS,4.0,,Econometrics
Financial markets,Students will gain knowledge of financial markets and their role in economic decision-making.,COMPUTING IN ECONOMICS,4.0,,Financial decision-making
Data management,Students will learn how to effectively manage and manipulate economic data for analysis purposes.,COMPUTING IN ECONOMICS,4.0,,Data processing
Fundamental concepts of computer science,"Students will acquire knowledge of basic computer science principles and concepts, providing them with a solid foundation in the field.",COMPUTING IN ART,4.0,,Models of Computation
Database design,"Although not explicitly mentioned in the course description, students may gain knowledge of database design principles as they work with data in Python and explore computational methods.",COMPUTING IN ART,4.0,,Database design
Electronics,"Students will learn about the fundamentals of electronics, including how to work with electronic components and circuits.",COMPUTING IN ART,4.0,,Electronics
Digital humanities,"Students will gain knowledge of the intersection between computing and the humanities, including how computational methods can be applied to analyze and interpret humanities data.",COMPUTING IN ART,4.0,,Digital humanities
Liberal arts disciplines,"Students will acquire knowledge of various disciplines within the liberal arts, such as social science and econ financing, and understand how computing can be applied in these fields.",COMPUTING IN ART,4.0,,Liberal arts disciplines
Computer Science Fundamentals,Students will acquire a foundational knowledge of computer science principles and concepts.,COMPUTING IN LINGUISTICS,4.0,,Designing computer systems
Linguistics,Students will learn about linguistic theories and concepts.,COMPUTING IN LINGUISTICS,4.0,,Phonetics and phonology
NLP Technologies,Students will gain knowledge of various NLP technologies and their applications.,COMPUTING IN LINGUISTICS,4.0,,Applying neural networks to computer vision and natural language processing
Syntax and Discourse Analysis,Students will learn about syntax and discourse analysis in the context of linguistics and NLP.,COMPUTING IN LINGUISTICS,4.0,,Analysis
Speech Processing,Students will acquire knowledge of speech processing techniques and technologies.,COMPUTING IN LINGUISTICS,4.0,,Speech recognition coding techniques
Bioinformatics,"Students will acquire knowledge of bioinformatics, which involves the application of computational methods to analyze biological data.",COMPUTING IN BIOLOGY,4.0,,Ability to apply machine learning methods to functional genomics datasets
Genomics,"Students will learn about the field of genomics, including the study of genomes and their functions.",COMPUTING IN BIOLOGY,4.0,,Genome assembly
Next-generation sequencing,Students will gain knowledge of next-generation sequencing technologies and their applications in biological research.,COMPUTING IN BIOLOGY,4.0,,Understanding of functional genomics and massively-parallel sequencing technologies
Computational genomics,Students will develop a deep understanding of computational methods used in genomics research.,COMPUTING IN BIOLOGY,4.0,,Ability to apply machine learning methods to functional genomics datasets
Biological research techniques,"Students will learn about various experimental techniques used in biological research, such as gene expression analysis.",COMPUTING IN BIOLOGY,4.0,,Biological research techniques
Computer science fundamentals,Students will gain a solid foundation in computer science.,INTRO-COMPUT SCI/PROG IN,3.0,,Designing computer systems
Programming principles,Students will learn software engineering principles and best practices.,INTRO-COMPUT SCI/PROG IN,3.0,,Programming
Java programming concepts,"Students will acquire knowledge of variables, control structures, functions, arrays, strings, classes, objects, inheritance, polymorphism, and exception handling.",INTRO-COMPUT SCI/PROG IN,3.0,,Object-Oriented Programming in Java
Algorithmic problem-solving,Students will learn how to approach and solve problems using algorithms.,INTRO-COMPUT SCI/PROG IN,3.0,,Problem-solving
Real-world application,Students will learn how to apply the concepts they have learned in class to solve real-world problems.,INTRO-COMPUT SCI/PROG IN,3.0,,Applying conceptual knowledge to practical use
Computer science-related topics and fields,"Students will gain a deep understanding of various computer science-related subjects, providing them with a broad knowledge base in the field.",EMERGING SCHOLARS PROG SE,1.0,,Designing computer systems
Collaborative problem-solving strategies,"Students will learn different strategies and approaches to solve problems collaboratively, enhancing their problem-solving abilities in a team setting.",EMERGING SCHOLARS PROG SE,1.0,,Collaborative leadership
"HTML5, CSS3, and JavaScript","Students will learn the fundamental concepts and best practices of HTML5, CSS3, and JavaScript, which are the building blocks of web development.",FULL STACK WEB DEVELOP,1.0,,"HTML5, CSS3, and JavaScript"
Computer science,"Students will gain knowledge of computer science principles and concepts, which will help them understand the underlying principles of web development.",FULL STACK WEB DEVELOP,1.0,,Designing computer systems
Database theory,"Students will learn the theoretical foundations of databases, including data modeling, normalization, and database management.",FULL STACK WEB DEVELOP,1.0,,Database design
Git,"Students will learn how to use Git, a version control system, to manage and track changes in their codebase.",FULL STACK WEB DEVELOP,1.0,,Git
Express.js and React.js,"Students will learn how to use Express.js and React.js, popular JavaScript frameworks for building web applications.",FULL STACK WEB DEVELOP,1.0,,Front-end development using Web3.js
Object-oriented design principles,"Students will acquire knowledge of object-oriented design principles such as use cases, CRC (Class Responsibility Collaboration), and inheritance hierarchies.",Clean Object-Oriented Des,3.0,,Object-Oriented Programming in Java
Clean coding practices,"Students will learn about clean coding practices that promote readability, maintainability, and reusability of software code.",Clean Object-Oriented Des,3.0,,Clean coding practices
Loop invariants,"Students will gain knowledge of loop invariants, which are conditions that remain true before and after each iteration of a loop.",Clean Object-Oriented Des,3.0,,Loop invariants
Interfaces,Students will learn about interfaces and how they facilitate code reusability and polymorphism in object-oriented programming.,Clean Object-Oriented Des,3.0,,Communication
Design by contract,"Students will acquire knowledge of design by contract, a software development approach that emphasizes specifying preconditions, postconditions, and invariants for software components.",Clean Object-Oriented Des,3.0,,Smart contract programming
Fundamental concepts of data structures,"Students will learn the fundamental concepts and principles behind data structures, including their characteristics, advantages, and limitations.",DATA STRUCTURES IN JAVA,3.0,,Data Structures
Algorithm analysis,"Students will acquire knowledge of analyzing algorithms, understanding their efficiency and performance in terms of space and time complexity.",DATA STRUCTURES IN JAVA,3.0,,Algorithm Design and Analysis
Programming practices,"Students will learn best practices and techniques for programming, including code organization, documentation, and debugging.",DATA STRUCTURES IN JAVA,3.0,,Programming
Java programming language,"Students will gain knowledge of the Java programming language, including its syntax, features, and libraries.",DATA STRUCTURES IN JAVA,3.0,,Object-Oriented Programming in Java
Data structure design,"Students will learn how to design and implement data structures, considering factors such as efficiency, modularity, and reusability.",DATA STRUCTURES IN JAVA,3.0,,Data Structures
Fundamental data structures and algorithms,Students will learn about the fundamental data structures and algorithms used in computer science.,ESSENTIAL DATA STRUCTURES,4.0,,Data Structures
Basic data structures and mathematical tools,Students will review basic data structures and mathematical tools.,ESSENTIAL DATA STRUCTURES,4.0,,Data Structures
Priority queues,Students will learn about priority queues and their applications.,ESSENTIAL DATA STRUCTURES,4.0,,Priority queues
Binary search trees,Students will learn about binary search trees and their operations.,ESSENTIAL DATA STRUCTURES,4.0,,Binary search trees
Balanced search trees,Students will learn about balanced search trees and their advantages.,ESSENTIAL DATA STRUCTURES,4.0,,Balanced search trees
Systems programming,Students will learn about systems programming concepts and techniques.,ADVANCED PROGRAMMING,4.0,,Designing computer systems
File I/O,Students will learn about file input/output operations in the UNIX environment.,ADVANCED PROGRAMMING,4.0,,File system design
Processes,Students will learn about processes and how to work with them in the UNIX environment.,ADVANCED PROGRAMMING,4.0,,Data processing
Signals,Students will learn about signals and how to handle them in programs.,ADVANCED PROGRAMMING,4.0,,Communication
Sockets,Students will learn about network sockets and how to use them for communication.,ADVANCED PROGRAMMING,4.0,,Sockets
Database design,"Students will learn how to design a database, providing them with the knowledge necessary for creating efficient and effective database structures.",DISCRETE MATHEMATICS,4.0,,Database design
Discrete mathematics,"Students will learn fundamental and rigorous ideas underlying discrete mathematics, such as theorems, proofs, and propositional logic, enabling them to apply these concepts to problem-solving in computer science and other fields.",DISCRETE MATHEMATICS,4.0,,Mathematical Reasoning
Models of computation,"Students will learn about different models of computation, such as Turing machines, finite automata, and pushdown automata.",COMPUTER SCIENCE THEORY,3.0,,Models of Computation
Computability,Students will gain knowledge about the concept of computability and the Church-Turing thesis.,COMPUTER SCIENCE THEORY,3.0,,Models of Computation
Complexity theory,"Students will learn about time and space complexity, including big-O notation and hierarchy theorems.",COMPUTER SCIENCE THEORY,3.0,,Coding theory
Regular languages,"Students will acquire knowledge about regular languages, deterministic and nondeterministic finite automata, and regular expressions.",COMPUTER SCIENCE THEORY,3.0,,Regular languages
Context-free grammars,"Students will learn about context-free languages, pushdown automata, and the relationship between context-free grammars and pushdown automata.",COMPUTER SCIENCE THEORY,3.0,,Context-free grammars
