Skill,Explanation,Related Course,Credits,Semester
Collaboration,Students will develop the ability to work effectively in teams to complete challenging projects.,VIRTUAL AND AUGMENTED REALITY,3,
Analytical thinking,Students will develop the ability to analyze and evaluate different approaches and techniques in the design and implementation of 3D user interfaces and augmented reality systems.,VIRTUAL AND AUGMENTED REALITY,3,
Adaptability,Students will learn to adapt to new technologies and emerging trends in the field of 3D user interfaces and augmented reality.,VIRTUAL AND AUGMENTED REALITY,3,
Problem-solving,Students will develop the ability to analyze complex problems related to natural language processing and apply appropriate techniques and algorithms to solve them.,NATURAL LANG GEN SUMMARIZ,3,
Communication,"Students will enhance their ability to effectively communicate their ideas, findings, and insights both verbally and in writing.",NATURAL LANG GEN SUMMARIZ,3,
Organization,"Students will develop the ability to organize their work, manage their time effectively, and prioritize tasks to meet project deadlines.",NATURAL LANG GEN SUMMARIZ,3,
Critical thinking,"Students will cultivate the ability to think critically, evaluate different approaches, and make informed decisions in the context of natural language processing tasks.",NATURAL LANG GEN SUMMARIZ,3,
Research skills,"Students will acquire the ability to conduct research, gather relevant information, and evaluate the credibility and applicability of different sources.",NATURAL LANG GEN SUMMARIZ,3,
Problem-solving,Students will develop problem-solving abilities while working on blockchain development projects.,ENGR WEB3 BLOCKCHAIN APPS,3,
Communication,Students will enhance their communication skills through project presentations and discussions.,ENGR WEB3 BLOCKCHAIN APPS,3,
Organization,Students will develop the ability to organize and manage their work effectively in a blockchain development environment.,ENGR WEB3 BLOCKCHAIN APPS,3,
Analytical thinking,Students will develop the ability to analyze and evaluate different aspects of blockchain technologies and applications.,ENGR WEB3 BLOCKCHAIN APPS,3,
Collaboration,"Students will learn to collaborate with team members on blockchain projects, enhancing their ability to work in a team setting.",ENGR WEB3 BLOCKCHAIN APPS,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to mobile computing and networking.,TOPICS IN MOBILE X,3,
Communication,Students will enhance their ability to effectively communicate ideas and findings related to mobile computing.,TOPICS IN MOBILE X,3,
Research skills,Students will gain the ability to carry out original research in the field of mobile computing through class projects.,TOPICS IN MOBILE X,3,
Programming,Students will develop the ability to write code and develop software for mobile devices.,TOPICS IN MOBILE X,3,
Design thinking,Students will learn to apply design thinking principles to create user-friendly and innovative mobile applications.,TOPICS IN MOBILE X,3,
Critical thinking,Students will enhance their ability to critically analyze and evaluate research papers on programming language design.,READINGS LANGUAGE DESIGN,3,
Research skills,Students will develop the ability to conduct independent research and explore topics related to language design.,READINGS LANGUAGE DESIGN,3,
Problem-solving,"Through programming projects and real-world applications, students will develop the ability to identify and solve problems using machine learning techniques.",HIGH PERF MACH LEARNING,3,
Communication,"Students will enhance their ability to communicate complex machine learning concepts and results effectively, both verbally and in writing.",HIGH PERF MACH LEARNING,3,
Data interpretation,"Students will develop the ability to interpret and analyze data, extracting meaningful insights and making informed decisions based on the results obtained from machine learning models.",HIGH PERF MACH LEARNING,3,
Technical skills,"Students will acquire technical skills in Python programming, data analysis, and machine learning algorithms, enabling them to implement and apply these techniques in various domains.",HIGH PERF MACH LEARNING,3,
Critical thinking,"Students will develop critical thinking skills, allowing them to evaluate the strengths and limitations of different machine learning approaches and make informed decisions in selecting and applying models.",HIGH PERF MACH LEARNING,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to speech recognition.,FUND SPEECH RECOGNITION,3,
Communication,Students will enhance their ability to effectively communicate ideas and findings related to speech recognition.,FUND SPEECH RECOGNITION,3,
Organization,Students will develop the ability to organize and manage their work on speech recognition projects.,FUND SPEECH RECOGNITION,3,
Analytical thinking,Students will develop the ability to analyze and evaluate speech recognition algorithms and systems.,FUND SPEECH RECOGNITION,3,
Programming,Students will gain the ability to write and modify code for speech recognition applications.,FUND SPEECH RECOGNITION,3,
Problem-solving,Students will develop the ability to solve complex problems related to cloud computing and big data systems.,CLOUD COMPUTING & BIG DATA,3,
Communication,Students will enhance their ability to effectively communicate ideas and concepts related to cloud computing and big data.,CLOUD COMPUTING & BIG DATA,3,
Design and implementation,Students will gain the ability to design and implement cloud computing and big data systems.,CLOUD COMPUTING & BIG DATA,3,
Evaluation,Students will develop the ability to evaluate the performance and effectiveness of cloud computing and big data systems.,CLOUD COMPUTING & BIG DATA,3,
Resource management,Students will learn how to effectively manage resources in cloud computing and big data environments.,CLOUD COMPUTING & BIG DATA,3,
Problem-solving,Students will develop the ability to identify and solve complex problems related to climate science using machine learning techniques.,MACHINE LEARNING &CLIMATE,3,
Communication,Students will enhance their ability to effectively communicate their findings and ideas through the completion of a final technical paper and project presentations.,MACHINE LEARNING &CLIMATE,3,
Data visualization,Students will develop the ability to visually represent and communicate climate-related data using appropriate visualization techniques.,MACHINE LEARNING &CLIMATE,3,
Critical thinking,Students will enhance their ability to think critically and analyze climate-related problems from multiple perspectives.,MACHINE LEARNING &CLIMATE,3,
Adaptability,Students will develop the ability to adapt and apply machine learning techniques to different climate-related problems and datasets.,MACHINE LEARNING &CLIMATE,3,
Problem-solving,Students will develop problem-solving abilities as they work on programming assignments and a significant course project. This ability is selected because it involves the capacity to analyze and solve issues that may arise during web development.,ADV WEB DESIGN STUDIO,3,
Communication,"Students will enhance their communication skills through class discussions, reading research papers, and working on programming assignments and a significant course project. This ability is selected because effective communication is crucial in collaborating with team members and conveying ideas in web development projects.",ADV WEB DESIGN STUDIO,3,
Problem-solving,"Students will develop the ability to identify and solve problems related to network analysis and crowds, such as optimizing network structures or addressing information diffusion challenges.",ANALYSIS OF NETWORKS & CROWDS,3,
Critical thinking,Students will enhance their ability to think critically and analyze complex network phenomena and their implications.,ANALYSIS OF NETWORKS & CROWDS,3,
Communication,"Students will improve their ability to effectively communicate their findings and ideas related to network analysis and crowds, both verbally and in writing.",ANALYSIS OF NETWORKS & CROWDS,3,
Research skills,"Students will develop the ability to conduct independent research, including formulating research questions, designing experiments, and analyzing data.",ANALYSIS OF NETWORKS & CROWDS,3,
Collaboration,"Students will enhance their ability to collaborate with others in the field of network analysis and crowds, including working on group projects and exchanging ideas and feedback.",ANALYSIS OF NETWORKS & CROWDS,3,
Problem-solving,Students will develop the ability of problem-solving as they work on programming projects. This ability is selected because it is essential for analyzing and solving complex problems.,ALGORITHMS FOR MASSIVE DATA,3,
Communication,Students will enhance their communication skills. This ability is selected because effective communication is crucial for collaborating and presenting findings in the field of data analysis.,ALGORITHMS FOR MASSIVE DATA,3,
Organizational skills,Students will develop organizational skills as they work on assignments and projects. This ability is selected because it involves the capacity to organize and manage data and tasks effectively.,ALGORITHMS FOR MASSIVE DATA,3,
Analytical skills,Students will develop analytical skills through the application of algorithmic techniques to massive datasets. This ability is selected because it involves the capacity to analyze and interpret data.,ALGORITHMS FOR MASSIVE DATA,3,
Programming skills,Students will develop programming skills through the implementation of algorithms and projects. This ability is selected because it involves the capacity to write code to manipulate and analyze data.,ALGORITHMS FOR MASSIVE DATA,3,
Problem-solving,Students will develop the ability to solve complex problems related to the verification of system software.,FORMAL VERIFICATION SYSTEM SW,3,
Communication,"Students will enhance their ability to communicate effectively, both verbally and in writing, about their research findings and project progress.",FORMAL VERIFICATION SYSTEM SW,3,
Analytical thinking,Students will develop the ability to analyze issues and challenges related to the verification of system software.,FORMAL VERIFICATION SYSTEM SW,3,
Organizational skills,Students will learn how to effectively manage their time and resources to complete the research project within the given timeframe.,FORMAL VERIFICATION SYSTEM SW,3,
Critical thinking,Students will develop the ability to critically evaluate research papers and apply the concepts and techniques learned in the course to real-world scenarios.,FORMAL VERIFICATION SYSTEM SW,3,
Algorithm implementation,Students will develop the ability to implement algorithms using algebraic techniques.,ALGEBRAIC TECHNIQUES IN TCS,3,
Problem-solving,Students will enhance their ability to solve problems using algebraic techniques.,ALGEBRAIC TECHNIQUES IN TCS,3,
Mathematical proof writing,Students will improve their ability to write mathematical proofs.,ALGEBRAIC TECHNIQUES IN TCS,3,
Communication,"Students will develop their ability to communicate their ideas clearly and concisely, both verbally and in writing.",ALGEBRAIC TECHNIQUES IN TCS,3,
Analytical thinking,Students will develop the ability to analyze theoretical results and apply algebraic techniques to real-world problems.,ALGEBRAIC TECHNIQUES IN TCS,3,
Application of causal methods,Students will be able to apply causal methods to improve the trustworthiness of AI models.,CAUSAL TRUSTWORTHY AI,3,
Communication,Students will enhance their communication skills through discussions and presentations related to trustworthy AI systems.,CAUSAL TRUSTWORTHY AI,3,
Analytical thinking,Students will develop the ability to analyze and evaluate the trustworthiness of AI models.,CAUSAL TRUSTWORTHY AI,3,
Collaboration,Students will learn to collaborate effectively with peers in designing and implementing trustworthy AI systems.,CAUSAL TRUSTWORTHY AI,3,
Critical thinking,Students will enhance their critical thinking skills in assessing the limitations and challenges of current AI models and proposing solutions for trustworthy AI systems.,CAUSAL TRUSTWORTHY AI,3,
Problem-solving,Students will enhance their problem-solving abilities through hands-on design and implementation of large-scale systems.,TOPICS CLOUD COMPUTING,3,
Communication,Students will improve their communication skills as they work on different stages of the life cycle of cloud computing and big data systems.,TOPICS CLOUD COMPUTING,3,
Organization,Students will develop the ability to organize and manage complex projects and tasks related to designing and building large-scale systems.,TOPICS CLOUD COMPUTING,3,
Analytical thinking,Students will enhance their analytical thinking skills through performance evaluation of machine learning and deep learning systems on cloud platforms.,TOPICS CLOUD COMPUTING,3,
Collaboration,Students will learn to collaborate effectively with peers and team members during the design and implementation of large-scale systems.,TOPICS CLOUD COMPUTING,3,
Problem-solving,Students will develop the ability to solve problems related to property testing.,INTRO PROPERTY TESTING,3,
Communication,"Students will enhance their communication skills, both verbally and in writing.",INTRO PROPERTY TESTING,3,
Organizational skills,Students will develop the ability to organize their work and manage project timelines.,INTRO PROPERTY TESTING,3,
Analytical thinking,Students will enhance their ability to analyze issues and make informed decisions.,INTRO PROPERTY TESTING,3,
Collaboration,Students will develop the ability to work effectively in teams and collaborate on projects.,INTRO PROPERTY TESTING,3,
Data Privacy Design,Students will develop the ability to design and implement data privacy mechanisms.,FOUNDATIONS DATA PRIVACY,3,
Data Privacy Evaluation,Students will gain the ability to evaluate the effectiveness and privacy guarantees of different data privacy techniques.,FOUNDATIONS DATA PRIVACY,3,
Communication,"Students will enhance their communication skills, both verbally and in writing, to effectively convey data privacy concepts and research findings.",FOUNDATIONS DATA PRIVACY,3,
Analytical Thinking,Students will develop the ability to analyze and interpret data privacy requirements and constraints.,FOUNDATIONS DATA PRIVACY,3,
Ethical Considerations,Students will gain an understanding of the ethical considerations and implications associated with data privacy.,FOUNDATIONS DATA PRIVACY,3,
Analytical thinking,Students will develop the ability to analyze and interpret data related to Internet traffic.,INTERNET MEASUREMENT,3,
Project management,Students may develop project management skills as they work on projects involving Internet traffic measurement and analysis.,INTERNET MEASUREMENT,3,
Research skills,Students may enhance their research skills to gather relevant information for Internet traffic analysis.,INTERNET MEASUREMENT,3,
Presentation skills,Students may improve their ability to present their findings and communicate effectively.,INTERNET MEASUREMENT,3,
Technical troubleshooting,Students may develop the ability to troubleshoot technical issues related to Internet traffic measurement and analysis.,INTERNET MEASUREMENT,3,
Problem-solving,"Students will develop the ability to solve complex problems related to computer networks, such as optimizing network performance or troubleshooting network issues.",ADV COMPUTER NETWORKS,3,
Communication,Students will enhance their ability to effectively communicate technical concepts and network-related information to others.,ADV COMPUTER NETWORKS,3,
Problem-solving,Students will develop the ability to solve problems related to data analysis and machine learning.,MACHINE LEARNING DATASETS,3,
Communication,Students will enhance their ability to communicate findings and insights from data analysis.,MACHINE LEARNING DATASETS,3,
Data visualization,Students will develop the ability to visually represent data for effective communication.,MACHINE LEARNING DATASETS,3,
Analytical thinking,Students will develop the ability to think analytically and critically analyze data.,MACHINE LEARNING DATASETS,3,
Project management,Students will gain the ability to manage and execute data analysis projects effectively.,MACHINE LEARNING DATASETS,3,
Problem-solving,Students will develop the ability to analyze and solve complex problems related to information science.,INTRO TO INFORMATION SCIE,3,
Communication,"Students will enhance their communication skills through participation in discussions, presentations, and paper writing.",INTRO TO INFORMATION SCIE,3,
Critical thinking,Students will develop the ability to think critically and evaluate information and technologies in the field of information science.,INTRO TO INFORMATION SCIE,3,
Collaboration,Students will learn to work effectively in teams and collaborate with others to accomplish common goals.,INTRO TO INFORMATION SCIE,3,
Research skills,"Students will acquire the ability to conduct research, gather relevant information, and evaluate sources in the field of information science.",INTRO TO INFORMATION SCIE,3,
Problem-solving,Students will develop the ability to apply their knowledge and skills to solve complex economic problems.,COMPUTING IN ECONOMICS,4,
Critical thinking,"Students will enhance their critical thinking abilities, particularly in analyzing economic issues and evaluating different perspectives.",COMPUTING IN ECONOMICS,4,
Data interpretation,Students will develop the ability to interpret and draw meaningful conclusions from economic data.,COMPUTING IN ECONOMICS,4,
Communication,"Students will enhance their communication skills, both verbally and in written form, to effectively communicate economic analysis and findings.",COMPUTING IN ECONOMICS,4,
Research skills,"Students will acquire research skills, including the ability to gather relevant economic data, conduct literature reviews, and write research papers.",COMPUTING IN ECONOMICS,4,
Problem-solving,"Through programming projects and algorithmic problem-solving exercises, students will develop the ability to analyze and solve complex problems.",COMPUTING IN ART,4,
Communication,"Students will enhance their communication skills through assignments, projects, and potentially presenting their work, allowing them to effectively convey their ideas and findings.",COMPUTING IN ART,4,
Technical proficiency with digital making,"Students will develop the ability to work with tools such as micro-controllers, sensors, and actuators, enabling them to create interactive projects.",COMPUTING IN ART,4,
Critical and creative thinking,The course's emphasis on creative coding and interactive artistic expression will foster students' ability to think critically and creatively.,COMPUTING IN ART,4,
Application of computational methods,"Students will learn how to apply computational methods, such as text analysis, to multiple disciplines within the liberal arts, allowing them to leverage computing in various contexts.",COMPUTING IN ART,4,
Communication,"Students will enhance their communication skills, both verbally and in writing.",COMPUTING IN LINGUISTICS,4,
Analytical Thinking,Students will develop the ability to analyze and interpret linguistic and computational data.,COMPUTING IN LINGUISTICS,4,
Research Skills,Students will learn research methodologies and develop skills in conducting research in applied linguistics and NLP.,COMPUTING IN LINGUISTICS,4,
Project Management,"Students will gain the ability to plan, organize, and manage projects in the field of linguistics and computing.",COMPUTING IN LINGUISTICS,4,
Collaboration,Students will develop teamwork and collaboration skills through group projects and discussions.,COMPUTING IN LINGUISTICS,4,
Problem-solving,Students will enhance their problem-solving abilities through the completion of projects and assignments in computational biology.,COMPUTING IN BIOLOGY,4,
Communication,Students will develop effective communication skills to present their findings and ideas in the field of computational biology.,COMPUTING IN BIOLOGY,4,
Research collaboration,Students will gain the ability to collaborate with faculty members and peers on research projects in computational biology.,COMPUTING IN BIOLOGY,4,
Data analysis,Students will develop the ability to analyze and interpret complex biological datasets using computational tools.,COMPUTING IN BIOLOGY,4,
Computational modeling,Students will acquire the ability to develop computational models of biological systems to simulate and predict their behavior.,COMPUTING IN BIOLOGY,4,
Critical thinking,Students will develop critical thinking skills through the process of designing and implementing algorithms.,INTRO-COMPUT SCI/PROG IN,3,
Logical reasoning,Students will enhance their logical reasoning abilities as they solve programming problems.,INTRO-COMPUT SCI/PROG IN,3,
Communication,Students will improve their communication skills through collaborative programming projects.,INTRO-COMPUT SCI/PROG IN,3,
Problem-solving,Students will develop the ability to analyze and solve problems using programming techniques.,INTRO-COMPUT SCI/PROG IN,3,
Efficient coding,"Students will learn how to write efficient and readable code, which is an important ability in computer science and programming.",INTRO-COMPUT SCI/PROG IN,3,
Critical thinking,"Students will develop the ability to think critically, enabling them to analyze economic data and evaluate economic theories.",COMPUTING IN ECON,COMPUTING,
Analytical skills,"Students will enhance their analytical skills, which are crucial for interpreting and drawing insights from economic data.",COMPUTING IN ECON,COMPUTING,
Organizational skills,"Students will develop organizational skills, which are essential for managing and structuring economic data and research projects.",COMPUTING IN ECON,COMPUTING,
Verbal communication,"Students will improve their ability to communicate verbally, enabling them to effectively present economic concepts and findings.",COMPUTING IN ECON,COMPUTING,
Written communication,"Students will enhance their ability to communicate in writing, which is important for writing reports, research papers, and economic analyses.",COMPUTING IN ECON,COMPUTING,
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using computational methods.,COMPUTING IN ART,COMPUTING,
Communication,"Students will enhance their ability to communicate their ideas and findings effectively, both verbally and in writing.",COMPUTING IN ART,COMPUTING,
Technical proficiency with digital making,"Students will acquire the ability to work with tools and technologies used in digital making, such as micro-controllers, sensors, and actuators.",COMPUTING IN ART,COMPUTING,
Critical and creative thinking,Students will develop the ability to think critically and creatively when approaching computational and artistic challenges.,COMPUTING IN ART,COMPUTING,
Application of skills to multiple disciplines,"Students will learn how to apply their programming and computational skills to various disciplines within the liberal arts, expanding their ability to solve problems in different contexts.",COMPUTING IN ART,COMPUTING,
Problem-solving,Students will develop the ability to solve problems related to NLP and computational linguistics as they work on programming projects.,COMPUTATIONAL LINGUISTICS,COMPUTING,
Communication,"The course emphasizes practical experience and implementation of NLP methods, indicating the need for effective communication of findings and results.",COMPUTATIONAL LINGUISTICS,COMPUTING,
Data analysis,"Students will develop the ability to analyze and interpret data, particularly in the context of NLP techniques such as topic modeling and sentiment analysis.",COMPUTATIONAL LINGUISTICS,COMPUTING,
Programming,"The course requires students to implement NLP methods in Python, developing their programming abilities.",COMPUTATIONAL LINGUISTICS,COMPUTING,
Research skills,"By the end of the course, students will be able to implement the knowledge gained in their own research work, indicating the development of research skills.",COMPUTATIONAL LINGUISTICS,COMPUTING,
Problem-solving,Students will enhance their ability to solve complex problems in computational biology.,COMPUTING IN BIOLOGY,COMPUTING,
Communication,Students will develop effective communication skills to present their findings and collaborate with others in the field.,COMPUTING IN BIOLOGY,COMPUTING,
Research skills,Students will gain the ability to conduct independent research in computational biology.,COMPUTING IN BIOLOGY,COMPUTING,
Data analysis,Students will develop the ability to analyze and interpret large-scale biological datasets.,COMPUTING IN BIOLOGY,COMPUTING,
Computational modeling,Students will acquire the ability to develop computational models of biological systems for simulation and prediction.,COMPUTING IN BIOLOGY,COMPUTING,
Effective communication,"Students will enhance their ability to communicate effectively, both verbally and in writing, as emphasized by the course's focus on presentations and in-class participation.",EMERGING SCHOLARS PROG SE,1,
Organizational skills,"Students will develop the ability to organize their work and manage their time effectively, as indicated by the course's structure and requirements.",EMERGING SCHOLARS PROG SE,1,
Problem-solving,Students will develop the ability to analyze and solve problems encountered during web development projects.,FULL STACK WEB DEVELOP,1,
Communication,Students will enhance their ability to effectively communicate their ideas and collaborate with team members.,FULL STACK WEB DEVELOP,1,
Organization,"Students will develop the ability to organize and manage their codebase, project files, and resources efficiently.",FULL STACK WEB DEVELOP,1,
Analytical thinking,Students will develop the ability to analyze and evaluate different approaches and solutions to web development challenges.,FULL STACK WEB DEVELOP,1,
Deployment/command-line fundamentals,"Students will learn how to deploy web applications and work with command-line tools, enhancing their ability to manage and deploy web projects.",FULL STACK WEB DEVELOP,1,
Problem-solving,"Students will develop problem-solving abilities as they work on designing, coding, and testing software projects.",Clean Object-Oriented Des,3,
Communication,Students will enhance their communication abilities through assignments and projects that require clear documentation and explanation of their software designs.,Clean Object-Oriented Des,3,
Analytical thinking,Students will develop the ability to analyze and evaluate different design options and make informed decisions based on their analysis.,Clean Object-Oriented Des,3,
Collaboration,"Students will have the opportunity to collaborate with their peers on assignments and projects, enhancing their ability to work effectively in a team.",Clean Object-Oriented Des,3,
Software testing,Students will gain the ability to test their software implementations and ensure their robustness and correctness.,Clean Object-Oriented Des,3,
Problem-solving,Students will develop the ability to solve algorithmic problems efficiently by applying the learned skills and knowledge.,DATA STRUCTURES IN JAVA,3,
Information organization,"Students will enhance their ability to organize and process information efficiently, enabling them to handle complex data structures effectively.",DATA STRUCTURES IN JAVA,3,
Communication,"Students will improve their communication skills, both verbally and in writing, as they engage in class discussions, participate in Piazza, and present their solutions.",DATA STRUCTURES IN JAVA,3,
Time management,"Students will develop the ability to manage their time effectively, balancing the completion of homework assignments, exams, and class participation.",DATA STRUCTURES IN JAVA,3,
Collaboration,"Students will have the opportunity to collaborate with peers, enhancing their ability to work in teams and contribute to group projects effectively.",DATA STRUCTURES IN JAVA,3,
Analytical thinking,Students will develop the ability to analyze the efficiency of algorithms.,ESSENTIAL DATA STRUCTURES,4,
Communication,Students will enhance their communication skills through presenting and explaining their solutions.,ESSENTIAL DATA STRUCTURES,4,
Problem-solving,Students will develop the ability to solve computation problems and communicate the correctness and efficiency of their solutions.,ESSENTIAL DATA STRUCTURES,4,
Teamwork,Students will enhance their ability to work on programming assignments and projects in a team.,ESSENTIAL DATA STRUCTURES,4,
Programming,Students will develop their programming abilities through hands-on assignments and projects.,ESSENTIAL DATA STRUCTURES,4,
Problem-solving,Students will develop the ability to solve complex programming problems.,ADVANCED PROGRAMMING,4,
Communication,Students will enhance their communication skills through project documentation and presentations.,ADVANCED PROGRAMMING,4,
Organization,Students will develop the ability to organize their code and project files effectively.,ADVANCED PROGRAMMING,4,
Analytical thinking,Students will develop the ability to analyze and understand complex programming concepts.,ADVANCED PROGRAMMING,4,
Collaboration,Students will develop the ability to work effectively in teams on programming projects.,ADVANCED PROGRAMMING,4,
Communication,"Students will enhance their communication skills through assignments, projects, and the ability to write clear and concise proofs.",DISCRETE MATHEMATICS,4,
Analytical thinking,Students will develop the ability to analyze issues and apply logical reasoning to solve problems in the field of discrete mathematics and computer science.,DISCRETE MATHEMATICS,4,
Problem-solving,Students will develop the ability to solve complex problems by applying computational thinking and algorithmic techniques.,COMPUTER SCIENCE THEORY,3,
Analytical thinking,Students will enhance their ability to analyze and evaluate the complexity of computational problems.,COMPUTER SCIENCE THEORY,3,
Logical reasoning,Students will develop the ability to reason logically and apply logical principles in the context of computation.,COMPUTER SCIENCE THEORY,3,
Communication,"Although not explicitly mentioned, it can be inferred that students will enhance their ability to communicate complex concepts related to computer science theory.",COMPUTER SCIENCE THEORY,3,
Time management,Students will develop the ability to manage their time effectively to complete problem sets and the final project within the given deadlines.,COMPUTER SCIENCE THEORY,3,
Problem-solving,Students will develop the ability to apply their critical thinking and analysis skills to solve problems related to computers and society.,COMPUTERS AND SOCIETY,3,
Verbal communication,"Students will enhance their ability to effectively communicate their ideas and opinions verbally, both in discussions and presentations.",COMPUTERS AND SOCIETY,3,
Written communication,"Students will improve their ability to communicate their thoughts and findings in writing, including the preparation of documents and reports.",COMPUTERS AND SOCIETY,3,
Research skills,"Students will develop the ability to conduct research, gather relevant information, and evaluate sources to support their analysis and arguments.",COMPUTERS AND SOCIETY,3,
Collaboration,"Students will enhance their ability to work collaboratively with others, both in discussions and group projects, to achieve common goals and share diverse perspectives.",COMPUTERS AND SOCIETY,3,
Problem-solving,"Through the projects and programming assignments, students will develop problem-solving abilities as they encounter challenges and find solutions in designing and implementing databases.",INTRODUCTION TO DATABASES,3,
Communication,"Students will enhance their communication abilities through class discussions and participation, allowing them to effectively express their ideas and thoughts related to database concepts and projects.",INTRODUCTION TO DATABASES,3,
Problem-solving,Students will develop problem-solving abilities as they work on coding-oriented homework assignments.,FUND-LARGE-SCALE DIST SYS,3,
Communication,Students will enhance their communication abilities through discussions and presentations related to distributed system design.,FUND-LARGE-SCALE DIST SYS,3,
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and assignments related to distributed systems. This ability is necessary to analyze and evaluate existing systems and propose improvements.,FUND-LARGE-SCALE DIST SYSTEMS,3,
Communication,"Students will enhance their communication skills through lectures, discussions, and collaborative work on distributed systems. Effective communication is essential for working in teams and conveying ideas and concepts related to distributed systems.",FUND-LARGE-SCALE DIST SYSTEMS,3,
Problem-solving,Students will develop the ability to analyze and solve programming problems.,PROGRAMMING LANG & TRANSL,3,
Communication,Students will enhance their ability to communicate programming concepts and ideas effectively.,PROGRAMMING LANG & TRANSL,3,
Organization,Students will develop the ability to organize and structure their code and projects.,PROGRAMMING LANG & TRANSL,3,
Analytical thinking,Students will develop the ability to analyze programming languages and their features.,PROGRAMMING LANG & TRANSL,3,
Adaptability,Students will gain the ability to adapt to different programming languages and paradigms.,PROGRAMMING LANG & TRANSL,3,
