Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Technical writing,"Students will learn how to effectively write technical documents such as proposals, journal articles, conference papers, theses, and technical presentations.",TECH WRITING FOR CS AND E,3,Spring 2023,Technical writing
Presentation skills,Students will develop the ability to present information in a clear and concise manner.,TECH WRITING FOR CS AND E,3,Spring 2023,Presentation Skills
Research skills,Students will learn how to conduct research and gather relevant information for their technical writing.,TECH WRITING FOR CS AND E,3,Spring 2023,Research skills
Editing and proofreading,Students will gain proficiency in editing and proofreading their own work to ensure accuracy and clarity.,TECH WRITING FOR CS AND E,3,Spring 2023,Editing and proofreading
Collaboration,Students will develop the ability to work collaboratively with others in order to produce high-quality technical writing.,TECH WRITING FOR CS AND E,3,Spring 2023,Research collaboration
Data encryption,Students will learn how to encrypt data to protect privacy.,PRIVACY PRESERVING SYS,3,Spring 2023,Data encryption
Privacy risk assessment,Students will develop the skill of assessing privacy risks in different systems.,PRIVACY PRESERVING SYS,3,Spring 2023,Risk assessment
Anonymization techniques,Students will gain proficiency in anonymizing data to preserve privacy.,PRIVACY PRESERVING SYS,3,Spring 2023,Anonymization techniques
Privacy regulations,Students will learn about various privacy regulations and their implications.,PRIVACY PRESERVING SYS,3,Spring 2023,Privacy principles
Privacy-enhancing technologies,"Students will acquire skills in using technologies that enhance privacy, such as differential privacy or homomorphic encryption.",PRIVACY PRESERVING SYS,3,Spring 2023,Privacy-enhancing technologies
Natural Language Processing (NLP),Students will gain proficiency in NLP techniques and algorithms used for processing spoken language.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Natural language generation
Speech Recognition,Students will learn how to develop and implement speech recognition systems to convert spoken language into written text.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Speech Recognition
Sentiment Analysis,Students will acquire the skill of analyzing and interpreting the sentiment expressed in spoken language data.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Sentiment Analysis
Language Modeling,Students will develop the ability to build language models that capture the statistical properties of spoken language.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Language models
Machine Learning,Students will learn how to apply machine learning algorithms to process and understand spoken language.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Advanced machine learning
Critical analysis,Students will develop the skill of critically analyzing and interpreting classic computer science texts.,READING THE CS CLASSICS,3,Spring 2023,Critical evaluation
Research skills,Students will learn how to conduct research and gather information from various sources to deepen their understanding of the course material.,READING THE CS CLASSICS,3,Spring 2023,Research skills
Writing skills,Students will enhance their writing skills through the preparation of essays and reports on the topics covered in the course.,READING THE CS CLASSICS,3,Spring 2023,Writing skills
Presentation skills,Students will practice presenting their ideas and findings in a clear and concise manner.,READING THE CS CLASSICS,3,Spring 2023,Presentation Skills
Time management,Students will learn to effectively manage their time to complete readings and assignments within given deadlines.,READING THE CS CLASSICS,3,Spring 2023,Time management
Speech recognition,Students will gain proficiency in the techniques and algorithms used in speech recognition systems.,FUND SPEECH RECOGNITION,3,Spring 2023,Speech Recognition
Programming,Students will develop programming skills in order to implement speech recognition algorithms and systems.,FUND SPEECH RECOGNITION,3,Spring 2023,Programming
Machine learning algorithms,Students will learn and apply various machine learning algorithms to solve real-world problems.,HIGH PERF MACH LEARNING,3,Spring 2023,Advanced machine learning
Data preprocessing,Students will gain proficiency in preprocessing and cleaning large datasets to prepare them for machine learning tasks.,HIGH PERF MACH LEARNING,3,Spring 2023,Data cleaning and preprocessing
Python programming,"Students will develop programming skills in Python, which is widely used in machine learning.",HIGH PERF MACH LEARNING,3,Spring 2023,Python/R programming
Statistical analysis,Students will learn statistical techniques and methods to analyze and interpret data in the context of machine learning.,HIGH PERF MACH LEARNING,3,Spring 2023,Data analysis and interpretation
Model evaluation and validation,Students will learn how to evaluate and validate machine learning models to ensure their accuracy and reliability.,HIGH PERF MACH LEARNING,3,Spring 2023,Model evaluation and validation
Cloud computing,"Students will gain proficiency in cloud computing technologies and platforms, such as Amazon Web Services (AWS) or Microsoft Azure.",CLOUD COMPUTING & BIG DATA,3,Spring 2023,Cloud computing systems
Big data analytics,Students will learn how to handle and manipulate large datasets using tools like Hadoop or Spark.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Big data storage
Virtualization,Students will develop skills in virtualizing resources and managing virtual machines in a cloud environment.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Virtualization
Data security,Students will acquire knowledge and skills in securing data in cloud computing and big data environments.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Data encryption
Data visualization,Students will learn how to visually represent and analyze big data using tools like Tableau or Power BI.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Data visualization
Programming languages,"Students will learn and gain proficiency in various programming languages, such as C++, Java, and Python. This skill is selected because it involves manipulating data and writing code to accomplish specific objectives.",TYPES LANGUAGES COMPILERS,3,Spring 2023,Tools and languages
Compiler design,Students will develop skills in designing and implementing compilers. This skill is selected because it involves manipulating and transforming code to generate executable programs.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Compiler design
Algorithm analysis,Students will learn how to analyze and evaluate the efficiency and performance of algorithms. This skill is selected because it involves manipulating and analyzing data to solve computational problems.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Algorithm design
Debugging,Students will acquire skills in identifying and fixing errors in code. This skill is selected because it involves manipulating and troubleshooting code to achieve desired outcomes.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Debugging
Software engineering,"Students will learn principles and practices of software engineering, including software development methodologies and project management. This skill is selected because it involves manipulating and organizing resources to develop software systems effectively.",TYPES LANGUAGES COMPILERS,3,Spring 2023,Software engineering practices
Natural Language Processing (NLP),Students will gain proficiency in NLP techniques and algorithms used in spoken language processing.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Natural language generation
Speech Recognition,Students will learn how to develop and implement speech recognition systems.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Speech Recognition
Machine Learning,Students will acquire skills in applying machine learning algorithms to analyze and process spoken language data.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Advanced machine learning
Data Analysis,Students will develop the ability to analyze and interpret large amounts of spoken language data.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Data analysis and interpretation
Programming,"Students will enhance their programming skills, particularly in languages commonly used in NLP such as Python or Java.",ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Programming
Speech recognition,Students will gain proficiency in the techniques and algorithms used in speech recognition systems.,FUND SPEECH RECOGNITION,3,Spring 2023,Speech Recognition
Programming,Students will develop programming skills in order to implement speech recognition algorithms and systems.,FUND SPEECH RECOGNITION,3,Spring 2023,Programming
Machine learning algorithms,Students will learn and apply various machine learning algorithms to solve real-world problems.,HIGH PERF MACH LEARNING,3,Spring 2023,Advanced machine learning
Data preprocessing,Students will gain proficiency in preprocessing and cleaning large datasets to prepare them for machine learning tasks.,HIGH PERF MACH LEARNING,3,Spring 2023,Data cleaning and preprocessing
Python programming,"Students will develop programming skills in Python, which is widely used in machine learning.",HIGH PERF MACH LEARNING,3,Spring 2023,Python/R programming
Statistical analysis,Students will learn statistical techniques and methods to analyze and interpret data in the context of machine learning.,HIGH PERF MACH LEARNING,3,Spring 2023,Data analysis and interpretation
Model evaluation and validation,Students will learn how to evaluate and validate machine learning models to ensure their accuracy and reliability.,HIGH PERF MACH LEARNING,3,Spring 2023,Model evaluation and validation
Cloud computing,"Students will gain proficiency in cloud computing technologies and platforms, such as Amazon Web Services (AWS) or Microsoft Azure.",CLOUD COMPUTING & BIG DATA,3,Spring 2023,Cloud computing systems
Big data analytics,Students will learn how to handle and manipulate large datasets using tools like Hadoop or Spark.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Big data storage
Virtualization,Students will develop skills in virtualizing resources and managing virtual machines in a cloud environment.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Virtualization
Data security,Students will acquire knowledge and skills in securing data in cloud computing and big data environments.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Data encryption
Data visualization,Students will learn how to visually represent and analyze big data using tools like Tableau or Power BI.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Data visualization
Java programming,"Students will learn introductory Java programming skills, allowing them to write and execute basic programs.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Java programming concepts
Algorithmic problem-solving,Students will develop the ability to analyze problems and devise efficient solutions using algorithms.,INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Algorithmic thinking
Data manipulation,"Students will gain proficiency in handling and manipulating data, including input/output operations and data structures.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Data manipulation
Debugging,Students will learn techniques for identifying and fixing errors in computer programs.,INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Debugging
Object-oriented programming,"Students will understand the principles and concepts of object-oriented programming, enabling them to design and implement modular and reusable code.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Object-oriented programming
Java programming,"Students will learn introductory Java programming skills, allowing them to write and execute basic programs.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Java programming concepts
Algorithmic problem-solving,Students will develop the ability to analyze problems and devise efficient solutions using algorithms.,INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Algorithmic thinking
Data manipulation,"Students will gain proficiency in handling and manipulating data, including input/output operations and data structures.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Data manipulation
Debugging,Students will learn techniques for identifying and fixing errors in computer programs.,INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Debugging
Object-oriented programming,"Students will understand the principles and concepts of object-oriented programming, enabling them to design and implement modular and reusable code.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Object-oriented programming
Programming,"Students will gain proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will acquire skills in designing and developing websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using various tools and techniques.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Problem-solving,Students will develop critical thinking and problem-solving skills through hands-on projects and assignments.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Collaboration,Students will learn how to work effectively in teams and collaborate with others to achieve common goals.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research collaboration
Presentation skills,Students will enhance their ability to effectively communicate and present their ideas and findings to others.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Presentation Skills
Programming,"Students will gain proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will acquire skills in designing and developing websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,"Students will develop proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will gain skills in designing and building websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using various tools and techniques.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Problem-solving,Students will develop critical thinking and problem-solving skills through hands-on projects and assignments.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Collaboration,Students will learn how to work effectively in teams and collaborate with others to achieve common goals.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research collaboration
Presentation skills,Students will enhance their ability to effectively communicate and present their ideas and findings to others.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Presentation Skills
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using various tools and techniques.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Problem-solving,Students will develop critical thinking and problem-solving skills through hands-on projects and assignments.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Collaboration,Students will learn how to work effectively in teams and collaborate with others to achieve common goals.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research collaboration
Presentation skills,Students will enhance their ability to effectively communicate and present their ideas and findings to others.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Presentation Skills
Programming,"Students will gain proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will acquire skills in designing and developing websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,"Students will gain proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will acquire skills in designing and developing websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,"Students will gain proficiency in programming languages such as Java, Python, or C++.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will learn how to analyze and interpret data using statistical techniques and software tools.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Web development,"Students will acquire skills in designing and developing websites using HTML, CSS, and JavaScript.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Front-end and back-end web development
Algorithm design,Students will learn how to design efficient algorithms to solve computational problems.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Algorithm design
Teamwork,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Teamwork
Programming,Students will learn programming languages and gain proficiency in coding.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Programming
Data analysis,Students will develop skills in analyzing and interpreting data.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Data analysis and interpretation
Problem-solving,Students will enhance their problem-solving abilities through various programming projects.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Collaboration,Students will learn how to effectively collaborate with peers on programming assignments and projects.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research collaboration
Technical writing,Students will improve their skills in writing technical documentation and reports.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Technical writing
Java programming,"Students will gain proficiency in Java programming, which is essential for working with data structures in Java.",DATA STRUCTURES IN JAVA,3,Spring 2023,Java programming concepts
Data structure implementation,"Students will learn how to handle and manipulate various data structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",DATA STRUCTURES IN JAVA,3,Spring 2023,Data structure design
Sorting and searching,Students will develop skills in implementing sorting and searching algorithms to efficiently process data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Sorting and searching
Hashing,Students will learn how to use hashing techniques to optimize data retrieval and storage in data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Hashing
Garbage collection,Students will acquire skills in managing memory and implementing garbage collection algorithms to optimize memory usage in data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Garbage collection
Java programming,"Students will gain proficiency in Java programming, which is essential for working with data structures in Java.",DATA STRUCTURES IN JAVA,3,Spring 2023,Java programming concepts
Data structure implementation,"Students will learn how to handle and manipulate various data structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",DATA STRUCTURES IN JAVA,3,Spring 2023,Data structure design
Sorting and searching,Students will develop skills in implementing sorting and searching algorithms to process data structures efficiently.,DATA STRUCTURES IN JAVA,3,Spring 2023,Sorting and searching
Hashing,Students will learn how to use hashing techniques to store and retrieve data in data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Hashing
Garbage collection,Students will gain knowledge and skills in managing memory and garbage collection in Java.,DATA STRUCTURES IN JAVA,3,Spring 2023,Garbage collection
Java programming,"Students will gain proficiency in programming in Java, which is the language used in the course.",HONORS DATA STRUCTURES &,4,Spring 2023,Java programming concepts
Sorting and searching,Students will learn techniques for sorting and searching data structures.,HONORS DATA STRUCTURES &,4,Spring 2023,Sorting and searching
Hashing,Students will learn about hashing and its use in data structures.,HONORS DATA STRUCTURES &,4,Spring 2023,Hashing
Garbage collection,Students will learn about garbage collection and its importance in memory management.,HONORS DATA STRUCTURES &,4,Spring 2023,Garbage collection
Algorithm design and analysis,Students will develop skills in designing and analyzing algorithms for data structures.,HONORS DATA STRUCTURES &,4,Spring 2023,Algorithm design
C++ programming,"Students will develop proficiency in C++ programming language, including its syntax, data types, and object-oriented programming concepts.",ADVANCED PROGRAMMING,4,Spring 2023,C++ programming
Git,"Students will learn how to use Git, a version control system, to manage and track changes in their codebase.",ADVANCED PROGRAMMING,4,Spring 2023,Git
Make,"Students will gain proficiency in using Make, a build automation tool, to compile and manage their software projects.",ADVANCED PROGRAMMING,4,Spring 2023,Make
TCP/IP networking,"Students will learn the basics of TCP/IP networking, including protocols, addressing, and socket programming.",ADVANCED PROGRAMMING,4,Spring 2023,TCP/IP networking
Unix systems programming,"Students will develop skills in Unix systems programming, including file I/O, process management, and inter-process communication.",ADVANCED PROGRAMMING,4,Spring 2023,Unix systems programming
C++ programming,"Students will develop proficiency in C++ programming language, including its syntax, data types, and object-oriented programming concepts.",ADVANCED PROGRAMMING,4,Spring 2023,C++ programming
Git,"Students will learn how to use Git, a version control system, to manage and track changes in their codebase.",ADVANCED PROGRAMMING,4,Spring 2023,Git
Make,"Students will gain proficiency in using Make, a build automation tool, to compile and manage their software projects.",ADVANCED PROGRAMMING,4,Spring 2023,Make
TCP/IP networking,"Students will learn the basics of TCP/IP networking, including protocols, addressing, and socket programming.",ADVANCED PROGRAMMING,4,Spring 2023,TCP/IP networking
Unix systems programming,"Students will develop skills in Unix systems programming, including file I/O, process management, and inter-process communication.",ADVANCED PROGRAMMING,4,Spring 2023,Unix systems programming
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in mathematics and computer science.",DISCRETE MATHEMATICS,4,Spring 2023,Logic and formal proofs
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics.",DISCRETE MATHEMATICS,4,Spring 2023,Sequences and summation
Mathematical induction,Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects.,DISCRETE MATHEMATICS,4,Spring 2023,Mathematical induction
Recurrence relations,"Students will gain proficiency in solving recurrence relations, which are equations that define a sequence recursively.",DISCRETE MATHEMATICS,4,Spring 2023,Recurrence relations
Graph theory,"Students will learn about the basic concepts and techniques in graph theory, such as isomorphism, traversability, planarity, and colorings.",DISCRETE MATHEMATICS,4,Spring 2023,Graph theory
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in mathematics and computer science.",DISCRETE MATHEMATICS,4,Spring 2023,Logic and formal proofs
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics.",DISCRETE MATHEMATICS,4,Spring 2023,Sequences and summation
Mathematical induction,Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects.,DISCRETE MATHEMATICS,4,Spring 2023,Mathematical induction
Recurrence relations,"Students will gain proficiency in solving recurrence relations, which are equations that define a sequence recursively.",DISCRETE MATHEMATICS,4,Spring 2023,Recurrence relations
Graph theory,"Students will learn about the basic concepts and techniques in graph theory, such as isomorphism, traversability, planarity, and colorings.",DISCRETE MATHEMATICS,4,Spring 2023,Graph theory
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in discrete mathematics.",DISCRETE MATHEMATICS,4,Spring 2023,Logic and formal proofs
Sequences and summation,"Students will develop the ability to manipulate and analyze mathematical sequences and summations, which are fundamental concepts in discrete mathematics.",DISCRETE MATHEMATICS,4,Spring 2023,Sequences and summation
Mathematical induction,Students will learn how to use mathematical induction to prove statements about integers and other discrete structures.,DISCRETE MATHEMATICS,4,Spring 2023,Mathematical induction
Recurrence relations,"Students will gain proficiency in solving and analyzing recurrence relations, which are used to describe the behavior of sequences and algorithms.",DISCRETE MATHEMATICS,4,Spring 2023,Recurrence relations
