Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
ADV SPOKEN LANGUAGE PROCESSING,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
READING THE CS CLASSICS,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
FUND SPEECH RECOGNITION,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
HIGH PERF MACH LEARNING,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
CLOUD COMPUTING & BIG DATA,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
TYPES LANGUAGES COMPILERS,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
ADV SPOKEN LANGUAGE PROCESSING,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
FUND SPEECH RECOGNITION,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
HIGH PERF MACH LEARNING,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
CLOUD COMPUTING & BIG DATA,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
INTRO-COMPUT SCI/PROG IN,3,Adam H Cannon,0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.", ,Spring 2023
INTRO-COMPUT SCI/PROG IN,3,Adam H Cannon,0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
EMERGING SCHOLARS PROG SE,1,Adam H Cannon,0,"Prerequisites: the instructors permission. Corequisites: COMS W1002 or COMS W1004 or COMS W1007 Corequisites: COMS W1004,COMS W1007,COMS W1002 Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.", ,Spring 2023
DATA STRUCTURES IN JAVA,3,Paul S Blaer,0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.", ,Spring 2023
DATA STRUCTURES IN JAVA,3,Paul S Blaer,0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.", ,Spring 2023
HONORS DATA STRUCTURES &,4,Daniel Bauer,0,"Prerequisites: (COMS W1004) or (COMS W1007) Corequisites: COMS W3203 An honors introduction to data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Design and analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, W3136, or W3137.", ,Spring 2023
ADVANCED PROGRAMMING,4,Brian Borowski,0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.", ,Spring 2023
ADVANCED PROGRAMMING,4,Brian Borowski,0,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.", ,Spring 2023
DISCRETE MATHEMATICS,4,Ansaf Salleb-Aouissi,0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).", ,Spring 2023
DISCRETE MATHEMATICS,4,Ansaf Salleb-Aouissi,0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).", ,Spring 2023
DISCRETE MATHEMATICS,4,Ansaf Salleb-Aouissi,0,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).", ,Spring 2023
COMPUTATIONAL LINEAR ALGE,4,Tony B Dear,0,"The course ""COMS 3251: Computational Linear Algebra"" at Columbia University is an introduction to linear algebra and its applications in computational settings
1
. The course covers various topics, including matrices, vector spaces, linear transformations, eigenvalues and eigenvectors, canonical forms, and applications
2
. The primary objectives of the course are to teach students how to use linear algebra as a powerful tool for computation and to develop their ability to write mathematical proofs
6
.
The course is designed for students who have already taken MATH UN1201 Calculus III or its equivalent, although it is strongly recommended for students to have a background in calculus
2
. The textbook used for the course is ""Linear Algebra with Applications, 5th edition"" by Otto Bretscher
2
.
The course syllabus provides a detailed outline of the topics covered in the course
3
. Here is a summary of the main topics:
Linear Equations:
Introduction to Linear Systems
Matrices, Vectors, and Gauss-Jordan Elimination
Solutions of Linear Systems; Matrix Algebra
Linear Transformations:
Introduction to Linear Transformations and Their Inverses
Linear Transformations in Geometry
Matrix Products
The Inverse of a Linear Transformation
Subspaces of Rn and Their Dimensions
Eigenvalues and Eigenvectors:
Introduction to Eigenvalues and Eigenvectors
Diagonalization
Applications of Eigenvalues and Eigenvectors
Orthogonality and Least Squares:
Inner Products and Orthogonal Vectors
Orthogonal Projections and the Gram-Schmidt Process
Least Squares Approximations
Determinants:
Introduction to Determinants
Properties of Determinants
Cramer's Rule and Volume
Canonical Forms:
Introduction to Canonical Forms
Jordan Canonical Form
Applications of Linear Algebra:
Markov Chains
Linear Programming
Computer Graphics
The course also includes programming assignments and projects that allow students to apply the concepts and techniques learned in class to real-world problems
1
. Students will gain the following skills, knowledge, and abilities through this course:
Understanding of fundamental concepts in linear algebra, such as matrices, vector spaces, and linear transformations
Ability to perform computations involving matrices and vectors
Familiarity with various applications of linear algebra in fields such as computer science, engineering, and economics
Proficiency in writing mathematical proofs
Experience in using programming languages and software tools for solving computational problems in linear algebra
1
5", ,Spring 2023
COMPUTER SCIENCE THEORY,3,Xi Chen,0,"Prerequisites: (COMS W3203) Corequisites: COMS W3134,COMS W3136,COMS W3137 Regular languages: deterministic and non-deterministic finite automata, regular expressions. Context-free languages: context-free grammars, push-down automata. Turing machines, the Chomsky hierarchy, and the Church-Turing thesis. Introduction to Complexity Theory and NP-Completeness.", ,Spring 2023
COMPUTER SCIENCE THEORY,3,Xi Chen,0,"Prerequisites: (COMS W3203) Corequisites: COMS W3134,COMS W3136,COMS W3137 Regular languages: deterministic and non-deterministic finite automata, regular expressions. Context-free languages: context-free grammars, push-down automata. Turing machines, the Chomsky hierarchy, and the Church-Turing thesis. Introduction to Complexity Theory and NP-Completeness.", ,Spring 2023
COMPUTER SCIENCE THEORY,3,Xi Chen,0,"Prerequisites: (COMS W3203) Corequisites: COMS W3134,COMS W3136,COMS W3137 Regular languages: deterministic and non-deterministic finite automata, regular expressions. Context-free languages: context-free grammars, push-down automata. Turing machines, the Chomsky hierarchy, and the Church-Turing thesis. Introduction to Complexity Theory and NP-Completeness.", ,Spring 2023
INTRODUCTION TO DATABASES,3,"Donald F Ferguson, Kenneth A Ross",0,"Prerequisites: (COMS W3134) or (COMS W3137) or (COMS W3136) and fluency in Java); or the instructor's permission. The fundamentals of database design and application development using databases: entity-relationship modeling, logical design of relational databases, relational data definition and manipulation languages, SQL, XML, query processing, physical database tuning, transaction processing, security. Programming projects are required.", ,Spring 2023
INTRODUCTION TO DATABASES,3,"Donald F Ferguson, Kenneth A Ross",0,"Prerequisites: (COMS W3134) or (COMS W3137) or (COMS W3136) and fluency in Java); or the instructor's permission. The fundamentals of database design and application development using databases: entity-relationship modeling, logical design of relational databases, relational data definition and manipulation languages, SQL, XML, query processing, physical database tuning, transaction processing, security. Programming projects are required.", ,Spring 2023
INTRODUCTION TO DATABASES,3,"Donald F Ferguson, Kenneth A Ross",0,"Prerequisites: (COMS W3134) or (COMS W3137) or (COMS W3136) and fluency in Java); or the instructor's permission. The fundamentals of database design and application development using databases: entity-relationship modeling, logical design of relational databases, relational data definition and manipulation languages, SQL, XML, query processing, physical database tuning, transaction processing, security. Programming projects are required.", ,Spring 2023
PROGRAMMING LANG & TRANSL,3,Baishakhi Ray,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (COMS W3261) and (CSEE W3827) or equivalent, or the instructors permission. Modern programming languages and compiler design. Imperative, object-oriented, declarative, functional, and scripting languages. Language syntax, control structures, data types, procedures and parameters, binding, scope, run-time organization, and exception handling. Implementation of language translation tools including compilers and interpreters. Lexical, syntactic and semantic analysis; code generation; introduction to code optimization. Teams implement a language and its compiler.", ,Spring 2023
PROGRAMMING LANG-TRANSLATORS,3,Baishakhi Ray,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (COMS W3261) and (CSEE W3827) or equivalent, or the instructors permission. Modern programming languages and compiler design. Imperative, object-oriented, declarative, functional, and scripting languages. Language syntax, control structures, data types, procedures and parameters, binding, scope, run-time organization, and exception handling. Implementation of language translation tools including compilers and interpreters. Lexical, syntactic and semantic analysis; code generation; introduction to code optimization. Teams implement a language and its compiler.", ,Spring 2023
OPERATING SYSTEMS I,3,Jae W Lee,0,"Prerequisites: (CSEE W3827) and knowledge of C and programming tools as covered in COMS W3136, W3157, or W3101, or the instructors permission. Design and implementation of operating systems. Topics include process management, process synchronization and interprocess communication, memory management, virtual memory, interrupt handling, processor scheduling, device management, I/O, and file systems. Case study of the UNIX operating system. A programming project is required.", ,Spring 2023
OPERATING SYSTEMS I,3,Jae W Lee,0,"Prerequisites: (CSEE W3827) and knowledge of C and programming tools as covered in COMS W3136, W3157, or W3101, or the instructors permission. Design and implementation of operating systems. Topics include process management, process synchronization and interprocess communication, memory management, virtual memory, interrupt handling, processor scheduling, device management, I/O, and file systems. Case study of the UNIX operating system. A programming project is required.", ,Spring 2023
3D UI AND AUGMENTED REALI,3,Steven K Feiner,0,"Prerequisites: (COMS W4160) or (COMS W4170) or the instructors permission. Design, development, and evaluation of 3D user interfaces. Interaction techniques and metaphors, from desktop to immersive. Selection and manipulation. Travel and navigation. Symbolic, menu, gestural, and multimodal interaction. Dialogue design. 3D software support. 3D interaction devices and displays. Virtual and augmented reality. Tangible user interfaces. Review of relevant 3D math.", ,Spring 2023
SECURITY II,3,Steven M Bellovin,0,"Advanced security. Centralized, distributed, and cloud system security. Cryptographic protocol design choices. Hardware and software security techniques. Security testing and fuzzing. Blockchain. Human security issues. Note: May not earn credit for both W4182 and W4180 or W4187.", ,Spring 2023
SECURITY II,3,Steven M Bellovin,0,"Advanced security. Centralized, distributed, and cloud system security. Cryptographic protocol design choices. Hardware and software security techniques. Security testing and fuzzing. Blockchain. Human security issues. Note: May not earn credit for both W4182 and W4180 or W4187.", ,Spring 2023
Advanced Algorithms,3,Alexandr Andoni,0,"Introduces classic and modern algorithmic ideas that are central to many areas of Computer Science. The focus is on most powerful paradigms and techniques of how to design algorithms, and how to measure their efficiency. The intent is to be broad, covering a diversity of algorithmic techniques, rather than be deep. The covered topics have all been implemented and are widely used in industry. Topics include: hashing, sketching/streaming, nearest neighbor search, graph algorithms, spectral graph theory, linear programming, models for large-scale computation, and other related topics", ,Spring 2023
Advanced Algorithms,3,Alexandr Andoni,0,"Introduces classic and modern algorithmic ideas that are central to many areas of Computer Science. The focus is on most powerful paradigms and techniques of how to design algorithms, and how to measure their efficiency. The intent is to be broad, covering a diversity of algorithmic techniques, rather than be deep. The covered topics have all been implemented and are widely used in industry. Topics include: hashing, sketching/streaming, nearest neighbor search, graph algorithms, spectral graph theory, linear programming, models for large-scale computation, and other related topics", ,Spring 2023
INTRO-COMPUTATIONAL COMPL,3,Rocco Servedio,0,"Prerequisites: (COMS W3261) Develops a quantitative theory of the computational difficulty of problems in terms of the resources (e.g. time, space) needed to solve them. Classification of problems into complexity classes, reductions, and completeness. Power and limitations of different modes of computation such as nondeterminism, randomization, interaction, and parallelism.", ,Spring 2023
INTRO-COMPUTATIONAL COMPL,3,Rocco Servedio,0,"Prerequisites: (COMS W3261) Develops a quantitative theory of the computational difficulty of problems in terms of the resources (e.g. time, space) needed to solve them. Classification of problems into complexity classes, reductions, and completeness. Power and limitations of different modes of computation such as nondeterminism, randomization, interaction, and parallelism.", ,Spring 2023
PRIN-INNOVATN/ENTREPRENEU,3,William Reinisch,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) or the instructor's permission. Team project centered course focused on principles of planning, creating, and growing a technology venture. Topics include: identifying and analyzing opportunities created by technology paradigm shifts, designing innovative products, protecting intellectual property, engineering innovative business models.", ,Spring 2023
ARTIFICIAL INTELLIGENCE,3,Tony B Dear,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and any course on probability. Prior knowledge of Python is recommended. Provides a broad understanding of the basic techniques for building intelligent computer systems. Topics include state-space problem representations, problem reduction and and-or graphs, game playing and heuristic search, predicate calculus, and resolution theorem proving, AI systems and languages for knowledge representation, machine learning and concept formation and other topics such as natural language processing may be included as time permits.", ,Spring 2023
ARTIFICIAL INTELLIGENCE,3,Tony B Dear,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and any course on probability. Prior knowledge of Python is recommended. Provides a broad understanding of the basic techniques for building intelligent computer systems. Topics include state-space problem representations, problem reduction and and-or graphs, game playing and heuristic search, predicate calculus, and resolution theorem proving, AI systems and languages for knowledge representation, machine learning and concept formation and other topics such as natural language processing may be included as time permits.", ,Spring 2023
ARTIFICIAL INTELLIGENCE,3,Tony B Dear,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and any course on probability. Prior knowledge of Python is recommended. Provides a broad understanding of the basic techniques for building intelligent computer systems. Topics include state-space problem representations, problem reduction and and-or graphs, game playing and heuristic search, predicate calculus, and resolution theorem proving, AI systems and languages for knowledge representation, machine learning and concept formation and other topics such as natural language processing may be included as time permits.", ,Spring 2023
NATURAL LANGUAGE PROCESSI,3,Daniel Bauer,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) or the instructors permission. Computational approaches to natural language generation and understanding. Recommended preparation: some previous or concurrent exposure to AI or Machine Learning. Topics include information extraction, summarization, machine translation, dialogue systems, and emotional speech. Particular attention is given to robust techniques that can handle understanding and generation for the large amounts of text on the Web or in other large corpora. Programming exercises in several of these areas.", ,Spring 2023
NATURAL LANGUAGE PROCESSI,3,Daniel Bauer,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) or the instructors permission. Computational approaches to natural language generation and understanding. Recommended preparation: some previous or concurrent exposure to AI or Machine Learning. Topics include information extraction, summarization, machine translation, dialogue systems, and emotional speech. Particular attention is given to robust techniques that can handle understanding and generation for the large amounts of text on the Web or in other large corpora. Programming exercises in several of these areas.", ,Spring 2023
NATURAL LANGUAGE PROCESSI,3,Daniel Bauer,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) or the instructors permission. Computational approaches to natural language generation and understanding. Recommended preparation: some previous or concurrent exposure to AI or Machine Learning. Topics include information extraction, summarization, machine translation, dialogue systems, and emotional speech. Particular attention is given to robust techniques that can handle understanding and generation for the large amounts of text on the Web or in other large corpora. Programming exercises in several of these areas.", ,Spring 2023
MACHINE LEARNING FOR DATA,3,John W Paisley,0,"The course ""Machine Learning for Data"" is a graduate-level introduction to machine learning offered by Columbia University. The course focuses on a hands-on approach to machine learning and data science, covering basic statistical principles of supervised machine learning and common algorithmic paradigms
1
. The course is part of the Machine Learning Track, which is intended for students who wish to develop their knowledge of machine learning techniques and applications
3
.
The course covers the following topics:
Fundamentals of probability theory and statistical inference used in data science
Probabilistic models, random variables, useful distributions, expectations, law of large numbers, central limit theorem
Statistical inference, point and confidence interval estimation, hypothesis tests, linear regression
Introduction to statistical modeling, maximum likelihood estimates, hypothesis testing, likelihood ratio test, Bayesian inference, etc.
1
Students are expected to have a basic knowledge of programming, calculus, and linear algebra. The course provides a foundation of basic theory and methodology with applied examples to analyze data
1
.
In addition to the theoretical concepts, students will also learn practical skills such as:
Importing, exporting, manipulating, transforming, and visualizing data
Using statistical summaries
Running and evaluating machine learning models
2
4
The course features real-world applications of data analytics across industries and challenges students to think critically and creatively
2
. Students will gain familiarity with machine learning algorithms and applications, as well as a solid foundation in statistics/mathematics and problem-solving skills to help them solve enterprise-level problems
5
.", ,Spring 2023
MACHINE LEARNING FOR DATA,3,John W Paisley,0,"The course ""Machine Learning for Data"" is a graduate-level introduction to machine learning offered by Columbia University. The course focuses on a hands-on approach to machine learning and data science, covering basic statistical principles of supervised machine learning and common algorithmic paradigms
1
. The course is part of the Machine Learning Track, which is intended for students who wish to develop their knowledge of machine learning techniques and applications
3
.
The course covers the following topics:
Fundamentals of probability theory and statistical inference used in data science
Probabilistic models, random variables, useful distributions, expectations, law of large numbers, central limit theorem
Statistical inference, point and confidence interval estimation, hypothesis tests, linear regression
Introduction to statistical modeling, maximum likelihood estimates, hypothesis testing, likelihood ratio test, Bayesian inference, etc.
1
Students are expected to have a basic knowledge of programming, calculus, and linear algebra. The course provides a foundation of basic theory and methodology with applied examples to analyze data
1
.
In addition to the theoretical concepts, students will also learn practical skills such as:
Importing, exporting, manipulating, transforming, and visualizing data
Using statistical summaries
Running and evaluating machine learning models
2
4
The course features real-world applications of data analytics across industries and challenges students to think critically and creatively
2
. Students will gain familiarity with machine learning algorithms and applications, as well as a solid foundation in statistics/mathematics and problem-solving skills to help them solve enterprise-level problems
5
.", ,Spring 2023
Computer Vision II: Learn,3,Carl Vondrick,0,"Advanced course in computer vision. Topics include convolutional networks and back-propagation, object and action recognition, self-supervised and few-shot learning, image synthesis and generative models, object tracking, vision and language, vision and audio, 3D representations, interpretability, and bias, ethics, and media deception.", ,Spring 2023
Computer Vision II: Learn,3,Carl Vondrick,0,"Advanced course in computer vision. Topics include convolutional networks and back-propagation, object and action recognition, self-supervised and few-shot learning, image synthesis and generative models, object tracking, vision and language, vision and audio, 3D representations, interpretability, and bias, ethics, and media deception.", ,Spring 2023
