Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Presentation skills,Students will improve their ability to effectively communicate and present their findings and solutions to database-related problems.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Presentation Skills
Critical thinking,Students will develop the ability to analyze complex database problems and propose effective solutions.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Critical thinking
Collaboration,"Students will enhance their ability to work in teams and collaborate on database projects, reflecting real-world scenarios.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Research collaboration
Research skills,"Students will learn how to conduct research in the field of database systems, including literature review, experimental design, and data analysis.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Research skills
Presentation skills,Students will improve their ability to effectively communicate and present their findings and solutions to database-related problems.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Presentation Skills
Adaptability,Students will develop the ability to adapt to new technologies and trends in the rapidly evolving field of database systems.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Adaptability
Systems design,"The course will explore various design principles and techniques for building efficient and scalable database systems, developing students' ability to design and implement such systems.",Topics in Database System,3,Spring 2023,Systems engineering
Problem-solving,"Through programming projects and studying advanced concepts, students will develop their ability to analyze and solve problems related to database systems.",Topics in Database System,3,Spring 2023,Collaborative problem-solving
Problem-solving,Students will develop the ability to analyze and solve complex problems encountered in software engineering.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Collaborative problem-solving
Collaboration,Students will enhance their ability to work effectively in teams and collaborate with other software engineers.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Research collaboration
Critical thinking,Students will develop the ability to think critically and evaluate different approaches to software engineering problems.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Critical thinking
Time management,Students will learn to effectively manage their time and prioritize tasks in software development projects.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Time management
Adaptability,Students will develop the ability to adapt to changing technologies and requirements in the field of software engineering.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to analyze and evaluate user interface designs critically.,Human-Computer Interactio,3,Spring 2023,Critical thinking
Collaboration,Students will enhance their ability to work effectively in interdisciplinary teams to solve complex design problems.,Human-Computer Interactio,3,Spring 2023,Research collaboration
Presentation skills,Students will improve their ability to communicate and present their design ideas and research findings to diverse audiences.,Human-Computer Interactio,3,Spring 2023,Presentation Skills
User empathy,"Students will cultivate the ability to understand and empathize with the needs, goals, and challenges of users.",Human-Computer Interactio,3,Spring 2023,User empathy
Iterative design,Students will learn to iterate and refine their designs based on user feedback and usability testing results.,Human-Computer Interactio,3,Spring 2023,Iterative design
Critical thinking,Students will develop the ability to analyze and evaluate user interface designs and propose improvements based on usability principles.,Human-Computer Interactio,3,Spring 2023,Critical thinking
Collaboration,Students will enhance their ability to work effectively in interdisciplinary teams to design and evaluate interactive systems.,Human-Computer Interactio,3,Spring 2023,Research collaboration
Presentation skills,Students will improve their ability to communicate and present their HCI research findings and design recommendations.,Human-Computer Interactio,3,Spring 2023,Presentation Skills
Problem-solving,Students will apply problem-solving skills to address challenges and optimize user experiences in various HCI contexts.,Human-Computer Interactio,3,Spring 2023,Collaborative problem-solving
Adaptability,"Students will develop the ability to adapt their design approaches and strategies to different user needs, technological constraints, and emerging trends in HCI.",Human-Computer Interactio,3,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to think critically and analyze information in order to produce well-reasoned technical writing.,TECH WRITING FOR CS AND E,3,Spring 2023,Critical thinking
Time management,Students will enhance their ability to manage their time effectively in order to meet deadlines for technical writing assignments.,TECH WRITING FOR CS AND E,3,Spring 2023,Time management
Adaptability,Students will learn to adapt their writing style and approach based on the requirements of different technical writing tasks.,TECH WRITING FOR CS AND E,3,Spring 2023,Adaptability
Attention to detail,Students will develop the ability to pay close attention to detail in order to ensure accuracy and precision in their technical writing.,TECH WRITING FOR CS AND E,3,Spring 2023,Attention to detail
Self-reflection,Students will cultivate the ability to reflect on their own writing and identify areas for improvement.,TECH WRITING FOR CS AND E,3,Spring 2023,Self-reflection
Privacy impact assessment,Students will develop the ability to assess the impact of privacy on different systems or projects.,PRIVACY PRESERVING SYS,3,Spring 2023,Privacy impact assessment
Ethical decision-making,Students will enhance their ability to make ethical decisions regarding privacy issues.,PRIVACY PRESERVING SYS,3,Spring 2023,Ethical decision-making
Privacy policy development,Students will acquire the ability to develop privacy policies and guidelines for organizations.,PRIVACY PRESERVING SYS,3,Spring 2023,Privacy policy development
Privacy-aware system design,Students will develop the ability to design systems with privacy considerations in mind.,PRIVACY PRESERVING SYS,3,Spring 2023,Privacy-aware system design
Privacy communication,Students will enhance their ability to effectively communicate privacy-related concepts and concerns.,PRIVACY PRESERVING SYS,3,Spring 2023,Privacy communication
Problem-solving,Students will develop the ability to identify and solve complex problems related to spoken language processing.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Collaborative problem-solving
Critical Thinking,Students will enhance their ability to analyze and evaluate different approaches and algorithms in spoken language processing.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Critical thinking
Collaboration,Students will develop the ability to work effectively in teams to design and implement spoken language processing systems.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Research collaboration
Research Skills,"Students will acquire the ability to conduct literature reviews, analyze research papers, and contribute to the advancement of spoken language processing.",ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Research skills
Presentation Skills,Students will enhance their ability to effectively communicate their research findings and project outcomes to both technical and non-technical audiences.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Presentation Skills
Critical thinking,Students will develop the ability to think critically and analyze complex ideas and arguments presented in the classic computer science texts.,READING THE CS CLASSICS,3,Spring 2023,Critical thinking
Synthesis,Students will develop the ability to synthesize information from multiple sources and integrate it into their own understanding of computer science.,READING THE CS CLASSICS,3,Spring 2023,Synthesis
Discussion and debate,Students will enhance their ability to engage in meaningful discussions and debates about the concepts and ideas presented in the course.,READING THE CS CLASSICS,3,Spring 2023,Discussion and debate
Reflection,Students will develop the ability to reflect on their own learning and make connections between the classic texts and contemporary computer science.,READING THE CS CLASSICS,3,Spring 2023,Reflection
Independent learning,Students will cultivate the ability to independently explore and learn from additional resources beyond the assigned readings.,READING THE CS CLASSICS,3,Spring 2023,Independent learning
Problem-solving,Students will develop the ability to analyze and solve problems related to speech recognition.,FUND SPEECH RECOGNITION,3,Spring 2023,Collaborative problem-solving
Critical thinking,Students will enhance their critical thinking skills by evaluating and improving speech recognition algorithms.,FUND SPEECH RECOGNITION,3,Spring 2023,Critical thinking
Data analysis,Students will develop the ability to analyze and interpret complex datasets to extract insights and make informed decisions.,HIGH PERF MACH LEARNING,3,Spring 2023,Data analysis and interpretation
Critical thinking,Students will enhance their critical thinking skills by applying machine learning techniques to solve real-world problems.,HIGH PERF MACH LEARNING,3,Spring 2023,Critical thinking
Model selection,Students will develop the ability to select appropriate machine learning models based on the characteristics of the data and the problem at hand.,HIGH PERF MACH LEARNING,3,Spring 2023,Model selection
Collaboration,Students will enhance their ability to collaborate effectively with team members on machine learning projects.,HIGH PERF MACH LEARNING,3,Spring 2023,Research collaboration
Presentation skills,Students will improve their ability to present and communicate their machine learning findings and results to both technical and non-technical audiences.,HIGH PERF MACH LEARNING,3,Spring 2023,Presentation Skills
Problem-solving,Students will develop the ability to analyze and solve complex problems related to cloud computing and big data.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Collaborative problem-solving
Collaboration,Students will enhance their ability to work effectively in teams and collaborate on cloud computing and big data projects.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Research collaboration
Critical thinking,Students will develop the ability to think critically and evaluate different approaches and solutions in cloud computing and big data scenarios.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Critical thinking
Adaptability,Students will learn to adapt to evolving technologies and industry trends in cloud computing and big data.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Adaptability
Project management,"Students will gain the ability to plan, organize, and manage cloud computing and big data projects effectively.",CLOUD COMPUTING & BIG DATA,3,Spring 2023,Software project management
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using programming languages and compiler techniques. This ability is selected because it is crucial for addressing challenges in computer science.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Collaborative problem-solving
Critical thinking,Students will enhance their ability to think critically and evaluate different approaches to solving programming and compiler-related problems. This ability is selected because it promotes logical reasoning and decision-making skills.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Critical thinking
Collaboration,Students will develop the ability to work effectively in teams and collaborate with others on programming and compiler projects. This ability is selected because it fosters teamwork and communication skills.,TYPES LANGUAGES COMPILERS,3,Spring 2023,Research collaboration
Research skills,"Students will acquire the ability to conduct research and explore advanced topics in computer science related to types, languages, and compilers. This ability is selected because it encourages independent learning and staying updated with the latest advancements in the field.",TYPES LANGUAGES COMPILERS,3,Spring 2023,Research skills
Documentation,"Students will improve their ability to document their code, design decisions, and project progress effectively. This ability is selected because it promotes clear communication and facilitates future maintenance and understanding of software systems.",TYPES LANGUAGES COMPILERS,3,Spring 2023,Documentation
Problem-solving,Students will develop the ability to identify and solve complex problems related to spoken language processing.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Collaborative problem-solving
Critical Thinking,Students will enhance their critical thinking skills in analyzing and evaluating different approaches and algorithms in spoken language processing.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Critical thinking
Collaboration,Students will develop the ability to work effectively in teams on spoken language processing projects.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Research collaboration
Presentation,Students will improve their presentation skills through regular presentations of their research findings and project outcomes.,ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Presentation
Research Skills,"Students will acquire the ability to conduct independent research in the field of spoken language processing, including literature review and experimental design.",ADV SPOKEN LANGUAGE PROCESSING,3,Spring 2023,Research skills
Problem-solving,Students will develop the ability to analyze and solve problems related to speech recognition.,FUND SPEECH RECOGNITION,3,Spring 2023,Collaborative problem-solving
Critical thinking,Students will enhance their critical thinking skills by evaluating and improving speech recognition systems.,FUND SPEECH RECOGNITION,3,Spring 2023,Critical thinking
Data analysis,Students will develop the ability to analyze and interpret complex datasets to extract insights and make informed decisions.,HIGH PERF MACH LEARNING,3,Spring 2023,Data analysis and interpretation
Critical thinking,Students will enhance their critical thinking skills by applying machine learning techniques to solve real-world problems.,HIGH PERF MACH LEARNING,3,Spring 2023,Critical thinking
Model selection,Students will develop the ability to select appropriate machine learning models based on the characteristics of the data and the problem at hand.,HIGH PERF MACH LEARNING,3,Spring 2023,Model selection
Collaboration,Students will enhance their ability to collaborate effectively with team members on machine learning projects.,HIGH PERF MACH LEARNING,3,Spring 2023,Research collaboration
Presentation skills,Students will improve their ability to present and communicate their machine learning findings and results to both technical and non-technical audiences.,HIGH PERF MACH LEARNING,3,Spring 2023,Presentation Skills
Problem-solving,Students will develop the ability to analyze and solve complex problems related to cloud computing and big data.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Collaborative problem-solving
Collaboration,Students will enhance their ability to work effectively in teams and collaborate on cloud computing and big data projects.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Research collaboration
Critical thinking,Students will develop the ability to think critically and evaluate different approaches and solutions in cloud computing and big data scenarios.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Critical thinking
Adaptability,Students will learn to adapt to evolving technologies and industry trends in cloud computing and big data.,CLOUD COMPUTING & BIG DATA,3,Spring 2023,Adaptability
Project management,"Students will gain the ability to plan, organize, and manage cloud computing and big data projects effectively.",CLOUD COMPUTING & BIG DATA,3,Spring 2023,Software project management
Problem-solving,"Students will develop the ability to analyze complex problems, break them down into smaller sub-problems, and devise effective solutions.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Collaborative problem-solving
Logical reasoning,"Students will enhance their logical reasoning skills, enabling them to think critically and make sound decisions in the context of computer science and programming.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Mathematical Reasoning
Collaboration,"Students will develop the ability to work effectively in teams, collaborating with others to solve programming challenges and complete projects.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Research collaboration
Time management,"Students will learn to manage their time efficiently, balancing multiple programming tasks and meeting project deadlines.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Time management
Debugging and troubleshooting,"Students will acquire the ability to identify and resolve software bugs and errors, using systematic approaches to diagnose and fix issues in their programs.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Debugging
Problem-solving,"Students will develop the ability to analyze complex problems, break them down into smaller sub-problems, and devise effective solutions.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Collaborative problem-solving
Logical reasoning,"Students will enhance their logical reasoning skills, enabling them to think critically and make sound decisions in the context of computer science and programming.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Mathematical Reasoning
Collaboration,"Students will develop the ability to work effectively in teams, collaborating with others to solve programming challenges and complete projects.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Research collaboration
Time management,"Students will learn to manage their time efficiently, balancing multiple programming tasks and meeting project deadlines.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Time management
Debugging and troubleshooting,"Students will acquire the ability to identify and resolve software bugs and errors, using systematic approaches to diagnose and fix issues in their programs.",INTRO-COMPUT SCI/PROG IN,3,Spring 2023,Debugging
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate ideas and concepts both verbally and in writing.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will develop the ability to prioritize tasks and manage their time efficiently.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will learn to adapt to new technologies and changing environments in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Analytical thinking,"Students will develop the ability to analyze complex problems and break them down into smaller, manageable components.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Analytical skills
Time management,Students will enhance their ability to effectively manage their time and prioritize tasks.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will learn how to adapt to new technologies and changing environments in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Research skills,Students will develop research skills to explore and gather information on various computer science topics.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research skills
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in software programs.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Debugging
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate technical concepts and ideas both verbally and in writing.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will learn to prioritize tasks and manage their time efficiently to meet project deadlines.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will develop the ability to adapt to new technologies and programming languages as they evolve in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate technical concepts and ideas.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will learn to prioritize tasks and manage their time efficiently to meet project deadlines.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will develop the ability to adapt to new technologies and programming languages as they emerge in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Analytical thinking,"Students will develop the ability to analyze complex problems and break them down into smaller, manageable components.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Analytical skills
Time management,Students will enhance their ability to effectively manage their time and prioritize tasks.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will learn how to adapt to new technologies and changing environments in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Research skills,Students will develop research skills to explore and gather information on various computer science topics.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research skills
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in software programs.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Debugging
Analytical thinking,"Students will develop the ability to analyze complex problems and break them down into smaller, manageable components.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Analytical skills
Time management,Students will enhance their ability to effectively manage their time and prioritize tasks.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will learn how to adapt to new technologies and changing environments in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Research skills,Students will develop research skills to explore and gather information on various computer science topics.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Research skills
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in software programs.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Debugging
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate technical concepts and ideas.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will develop the ability to prioritize tasks and manage their time efficiently.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will learn to adapt to new technologies and programming languages as they continue their studies in computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate technical concepts and ideas.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will learn to prioritize tasks and manage their time efficiently to meet project deadlines.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will develop the ability to adapt to new technologies and programming languages as they evolve in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to analyze and evaluate complex problems and make informed decisions.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Problem-solving,Students will enhance their problem-solving skills by applying logical reasoning and algorithmic thinking.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Collaborative problem-solving
Communication,Students will improve their ability to effectively communicate technical concepts and ideas both verbally and in writing.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will learn to prioritize tasks and manage their time efficiently to meet project deadlines.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Adaptability,Students will develop the ability to adapt to new technologies and programming languages as they evolve in the field of computer science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Critical thinking,Students will develop the ability to think critically and analyze problems from different perspectives.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Critical thinking
Communication,"Students will enhance their communication skills, both verbally and in written form, to effectively convey technical information.",EMERGING SCHOLARS PROG SE,1,Spring 2023,Communication
Time management,Students will learn how to manage their time effectively to meet project deadlines.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Time management
Debugging,Students will acquire the ability to identify and fix errors in code.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Debugging
Adaptability,Students will develop the ability to adapt to new technologies and programming languages as they continue their studies in Computer Science.,EMERGING SCHOLARS PROG SE,1,Spring 2023,Adaptability
Problem-solving,Students will develop the ability to analyze and solve problems related to data structures and algorithms.,DATA STRUCTURES IN JAVA,3,Spring 2023,Collaborative problem-solving
Programming,Students will enhance their programming abilities by implementing and manipulating various data structures in Java.,DATA STRUCTURES IN JAVA,3,Spring 2023,Programming
Critical thinking,Students will develop critical thinking skills to evaluate and select appropriate data structures for different scenarios.,DATA STRUCTURES IN JAVA,3,Spring 2023,Critical thinking
Analytical skills,Students will enhance their ability to analyze and evaluate the efficiency and performance of data structures and algorithms.,DATA STRUCTURES IN JAVA,3,Spring 2023,Analytical skills
Collaboration,Students will develop the ability to collaborate and work effectively in teams while implementing and optimizing data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Research collaboration
Problem-solving,Students will enhance their ability to analyze and solve problems related to data structures and algorithms.,DATA STRUCTURES IN JAVA,3,Spring 2023,Collaborative problem-solving
Programming,Students will develop their ability to write efficient and optimized code to implement and manipulate data structures.,DATA STRUCTURES IN JAVA,3,Spring 2023,Programming
Analytical thinking,Students will improve their ability to analyze and evaluate the efficiency and performance of algorithms used in data structure operations.,DATA STRUCTURES IN JAVA,3,Spring 2023,Analytical skills
Communication,"Students will enhance their ability to communicate their ideas, algorithms, and solutions effectively, both verbally and in writing.",DATA STRUCTURES IN JAVA,3,Spring 2023,Communication
Collaboration,Students will develop their ability to work collaboratively in teams to design and implement data structures and algorithms.,DATA STRUCTURES IN JAVA,3,Spring 2023,Research collaboration
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,HONORS DATA STRUCTURES &,4,Spring 2023,Collaborative problem-solving
Analytical thinking,Students will enhance their ability to analyze and evaluate different approaches to solving problems.,HONORS DATA STRUCTURES &,4,Spring 2023,Analytical skills
Programming,Students will improve their programming abilities through hands-on coding exercises and projects.,HONORS DATA STRUCTURES &,4,Spring 2023,Programming
Communication,Students will enhance their ability to communicate their ideas and solutions effectively.,HONORS DATA STRUCTURES &,4,Spring 2023,Communication
Collaboration,Students will develop the ability to work collaboratively in teams on programming projects and assignments.,HONORS DATA STRUCTURES &,4,Spring 2023,Research collaboration
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using their programming skills and knowledge.,ADVANCED PROGRAMMING,4,Spring 2023,Collaborative problem-solving
Collaboration,"Students will enhance their ability to work collaboratively in a team environment, including effective communication, task delegation, and conflict resolution.",ADVANCED PROGRAMMING,4,Spring 2023,Research collaboration
Code optimization,"Students will develop the ability to optimize their code for performance, memory usage, and maintainability.",ADVANCED PROGRAMMING,4,Spring 2023,Efficient coding
Software testing,"Students will acquire the ability to design and implement effective software testing strategies, including unit testing, integration testing, and regression testing.",ADVANCED PROGRAMMING,4,Spring 2023,Software reliability
Documentation,"Students will enhance their ability to document their code and software projects effectively, including writing clear and concise comments, user manuals, and technical documentation.",ADVANCED PROGRAMMING,4,Spring 2023,Documentation
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using their programming skills and knowledge.,ADVANCED PROGRAMMING,4,Spring 2023,Collaborative problem-solving
Collaboration,"Students will enhance their ability to work collaboratively in a team environment, including effective communication, task delegation, and conflict resolution.",ADVANCED PROGRAMMING,4,Spring 2023,Research collaboration
Code optimization,"Students will develop the ability to optimize their code for performance, memory usage, and maintainability.",ADVANCED PROGRAMMING,4,Spring 2023,Efficient coding
Software testing,"Students will acquire the ability to design and implement effective software testing strategies, including unit testing, integration testing, and regression testing.",ADVANCED PROGRAMMING,4,Spring 2023,Software reliability
Documentation,"Students will enhance their ability to document their code and software projects effectively, including writing clear and concise comments, user manuals, and technical documentation.",ADVANCED PROGRAMMING,4,Spring 2023,Documentation
Problem-solving,Students will develop strong problem-solving skills through the application of logical reasoning and mathematical techniques to solve complex problems in discrete mathematics.,DISCRETE MATHEMATICS,4,Spring 2023,Collaborative problem-solving
Analytical thinking,"Students will enhance their ability to analyze and evaluate mathematical statements, proofs, and algorithms.",DISCRETE MATHEMATICS,4,Spring 2023,Analytical skills
Abstract reasoning,Students will develop the ability to think abstractly and generalize mathematical concepts and principles.,DISCRETE MATHEMATICS,4,Spring 2023,Abstract reasoning
Mathematical communication,"Students will improve their ability to communicate mathematical ideas and solutions effectively, both orally and in writing.",DISCRETE MATHEMATICS,4,Spring 2023,Mathematical communication
Critical thinking,Students will cultivate critical thinking skills by evaluating and critiquing mathematical arguments and proofs.,DISCRETE MATHEMATICS,4,Spring 2023,Critical thinking
Problem-solving,Students will develop strong problem-solving skills through the application of logical reasoning and mathematical techniques to solve complex problems in discrete mathematics.,DISCRETE MATHEMATICS,4,Spring 2023,Collaborative problem-solving
Analytical thinking,"Students will enhance their ability to analyze and interpret mathematical structures and relationships, enabling them to approach problems from a logical and systematic perspective.",DISCRETE MATHEMATICS,4,Spring 2023,Analytical skills
Abstract reasoning,"Students will develop the ability to think abstractly and generalize mathematical concepts, allowing them to apply their knowledge to various real-world scenarios.",DISCRETE MATHEMATICS,4,Spring 2023,Abstract reasoning
Communication,"Students will improve their communication skills by effectively explaining mathematical concepts, proofs, and solutions both orally and in written form.",DISCRETE MATHEMATICS,4,Spring 2023,Communication
Critical thinking,"Students will cultivate critical thinking skills by evaluating and critiquing mathematical arguments and proofs, enabling them to make informed judgments and decisions based on logical reasoning.",DISCRETE MATHEMATICS,4,Spring 2023,Critical thinking
