Skill,Explanation,Related Course,Credits,Collapsed Skill
Insider threat detection,"Students will acquire the ability to identify and prevent insider attacks, such as masquerading and impersonation.",INTRUSION DETECTION SYSTEM,3,Insider threat detection
Human-computer interface design,Students will learn how to design user-friendly interfaces for digital systems.,INTRO TO INFORMATION SCIENCE,3,Human-computer interface design
Information organization,Students will develop skills in organizing and categorizing information effectively.,INTRO TO INFORMATION SCIENCE,3,Information organization
Algorithmic problem-solving,Students will learn problem-solving techniques and algorithms to solve computational problems.,INTRO TO INFORMATION SCIENCE,3,Algorithmic problem-solving
Database concepts,Students will gain proficiency in understanding and working with databases.,INTRO TO INFORMATION SCIENCE,3,Database concepts
Python programming,Students will learn the fundamentals of programming using Python.,INTRO TO INFORMATION SCIENCE,3,Python programming
Python programming,"Students will gain proficiency in Python programming, which is a widely used language in the field of economics and finance.",COMPUTING IN ECONOMICS,3,Python programming
Data analysis,"Students will learn how to handle and manipulate data using Python programming, allowing them to analyze economic data effectively.",COMPUTING IN ECONOMICS,3,Data analysis
Statistical analysis,"Students will develop skills in statistical analysis using Python, enabling them to interpret and draw conclusions from economic data.",COMPUTING IN ECONOMICS,3,Statistical analysis
Problem-solving,"Through programming projects and assignments, students will enhance their problem-solving skills, which are essential in the field of economics.",COMPUTING IN ECONOMICS,3,Problem-solving
Data visualization,"Students will learn how to visually represent and present data using Python libraries, enhancing their ability to communicate complex economic concepts effectively.",COMPUTING IN ECONOMICS,3,Data visualization
Java programming,Students will develop introductory Java programming skills through hands-on assignments and projects.,"INTRO-COMPUT SCI/PROG IN JAVA
",3,Java programming
Algorithmic problem-solving,Students will learn and apply problem-solving techniques to develop efficient algorithms.,"INTRO-COMPUT SCI/PROG IN JAVA
",3,Algorithmic problem-solving
Class design,Students will gain the skill of designing and implementing classes to represent and manipulate data.,"INTRO-COMPUT SCI/PROG IN JAVA
",3,Class design
Arrays and ArrayLists,Students will learn how to work with arrays and ArrayLists to store and manipulate collections of data.,"INTRO-COMPUT SCI/PROG IN JAVA
",3,Arrays and ArrayLists
File IO,Students will acquire the skill of reading and writing files using Java's input/output mechanisms.,"INTRO-COMPUT SCI/PROG IN JAVA
",3,File IO
