Skill,Explanation,Related Course,Credits
Problem-solving,Students will develop the ability to solve programming problems by applying their knowledge of programming languages and compiler design. This ability is selected because problem-solving is a key ability required in programming.,PROGRAMMING LANG & TRANSL,3
Communication,Students will enhance their communication skills through team projects and discussions. This ability is selected because effective communication is essential for collaborating with team members and conveying ideas and concepts.,PROGRAMMING LANG & TRANSL,3
Analytical thinking,Students will develop the ability to analyze programming issues and identify solutions. This ability is selected because analytical thinking is crucial for debugging and optimizing code.,PROGRAMMING LANG & TRANSL,3
Collaboration,Students will develop the ability to work effectively in teams while implementing a language and its compiler. This ability is selected because collaboration and teamwork are important skills in the software development industry.,PROGRAMMING LANG & TRANSL,3
Adaptability,Students will develop the ability to adapt to different programming languages and paradigms. This ability is selected because being adaptable to different programming languages and paradigms is valuable in a rapidly evolving field like software development.,PROGRAMMING LANG & TRANSL,3
Programming,Students will develop the ability to write code for implementing computer graphics algorithms and systems.,COMPUTER GRAPHICS,3
Problem-solving,Students will enhance their problem-solving abilities through the implementation of graphics techniques and the final project.,COMPUTER GRAPHICS,3
Communication,Students will improve their ability to communicate their ideas and findings related to computer graphics.,COMPUTER GRAPHICS,3
Analytical Thinking,Students will develop the ability to analyze and evaluate different approaches and techniques in computer graphics.,COMPUTER GRAPHICS,3
Project Management,Students will gain the ability to effectively manage and organize their work for the final project in computer graphics.,COMPUTER GRAPHICS,3
Problem-solving,"Students will develop the ability to analyze and solve problems related to user interface design, such as identifying usability issues and proposing effective solutions.",USER INTERFACE DESIGN,3
Communication,"Students will enhance their ability to effectively communicate their design ideas and rationale to stakeholders, including clients, users, and development teams.",USER INTERFACE DESIGN,3
Collaboration,"Students will develop the ability to work collaboratively in multidisciplinary teams, as user interface design often involves collaboration with developers, graphic designers, and usability experts.",USER INTERFACE DESIGN,3
User research,"Students will gain the ability to conduct user research, including user interviews, surveys, and usability testing, to inform the design of user interfaces.",USER INTERFACE DESIGN,3
Usability evaluation,"Students will learn how to evaluate the usability of user interfaces through methods such as heuristic evaluation, cognitive walkthroughs, and user testing, and make improvements based on the findings.",USER INTERFACE DESIGN,3
Problem-solving,Students will develop the ability to identify and solve complex problems related to machine learning algorithms and data analysis.,MACHINE LEARNING,3
Critical thinking,Students will enhance their critical thinking skills by evaluating and selecting appropriate machine learning techniques for different tasks.,MACHINE LEARNING,3
Data interpretation,Students will develop the ability to interpret and analyze data to extract meaningful insights and make informed decisions.,MACHINE LEARNING,3
Algorithm implementation,"Students will gain the ability to implement machine learning algorithms in MATLAB, demonstrating their understanding of the underlying concepts.",MACHINE LEARNING,3
Communication,Students will enhance their ability to effectively communicate their findings and insights from machine learning experiments through written reports and presentations.,MACHINE LEARNING,3
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using programming techniques.,ADVANCED PROGRAMMING,4
Collaboration,"Students will enhance their ability to work collaboratively in a team, including effective communication, task delegation, and conflict resolution.",ADVANCED PROGRAMMING,4
Code optimization,Students will develop the ability to optimize their code for improved performance and efficiency.,ADVANCED PROGRAMMING,4
Debugging,Students will acquire the ability to debug and troubleshoot their programs to identify and fix errors.,ADVANCED PROGRAMMING,4
Software documentation,Students will enhance their ability to document their code and software projects effectively for future reference and maintenance.,ADVANCED PROGRAMMING,4
Problem-solving,Students will develop the ability to analyze and solve complex problems related to intrusion detection and prevention.,INTRUSION DETECTION SYSTEM,3
Communication,Students will enhance their ability to effectively communicate and present their findings and recommendations related to computer security.,INTRUSION DETECTION SYSTEM,3
Critical thinking,Students will develop critical thinking skills to evaluate and assess the effectiveness of different security solutions and approaches.,INTRUSION DETECTION SYSTEM,3
Risk assessment,Students will acquire the ability to assess and evaluate the risks associated with computer and network security and make informed decisions.,INTRUSION DETECTION SYSTEM,3
System analysis,Students will develop the ability to analyze computer systems and networks to identify vulnerabilities and potential security weaknesses.,INTRUSION DETECTION SYSTEM,3
Problem-solving,Students will develop the ability to analyze and solve problems using computational thinking.,INTRO TO INFORMATION SCIENCE,3
Communication,Students will enhance their ability to effectively communicate ideas and concepts related to information science.,INTRO TO INFORMATION SCIENCE,3
Critical thinking,Students will develop the ability to think critically and evaluate information and solutions.,INTRO TO INFORMATION SCIENCE,3
Collaboration,Students will learn to work effectively in teams and collaborate on information science projects.,INTRO TO INFORMATION SCIENCE,3
Information literacy,Students will develop the ability to evaluate and critically assess information from various sources.,INTRO TO INFORMATION SCIENCE,3
Analytical thinking,"Students will develop the ability to analyze economic problems and datasets critically, allowing them to make informed decisions and recommendations.",COMPUTING IN ECONOMICS,3
Collaboration,"Through group projects and discussions, students will enhance their ability to collaborate effectively with others, reflecting the importance of teamwork in the field of economics.",COMPUTING IN ECONOMICS,3
Written communication,Students will improve their ability to communicate economic concepts and analysis through written reports and assignments.,COMPUTING IN ECONOMICS,3
Research skills,"Students will develop research skills, including the ability to gather and evaluate economic data from various sources, enabling them to conduct independent research in the field.",COMPUTING IN ECONOMICS,3
Critical evaluation,"Students will learn how to critically evaluate economic models, theories, and empirical studies, enhancing their ability to assess the validity and reliability of economic analysis.",COMPUTING IN ECONOMICS,3
Problem-solving,Students will develop the ability to analyze and solve complex problems using algorithmic thinking.,"INTRO-COMPUT SCI/PROG IN JAVA
",3
Communication,Students will enhance their ability to effectively communicate their ideas and solutions to technical problems.,"INTRO-COMPUT SCI/PROG IN JAVA
",3
Organization,Students will develop the ability to organize and manage their code and project files in a structured manner.,"INTRO-COMPUT SCI/PROG IN JAVA
",3
Analytical thinking,Students will cultivate the ability to analyze and evaluate different approaches to problem-solving.,"INTRO-COMPUT SCI/PROG IN JAVA
",3
Debugging,Students will learn how to identify and fix errors in their code through systematic debugging techniques.,"INTRO-COMPUT SCI/PROG IN JAVA
",3
